"","que","le","et","de","a","mais"
"A01 vie saint alexis",0.96877,0.5843,0.08916,0.00357,0.17424,1e-05
"A02 vie saint barbre",0.00352,0,0.0053,0.79577,0.57948,0.40825
"A03 vie saint basille",0.40381,0.00498,3e-05,0.5665,0.47209,0.02912
"A04 vie saint christofle",0.68395,0.70805,0.28917,0.2005,0.42507,3e-05
"A05 vie sainte dieudonnee",0.14038,0.82711,0.04557,0.27786,0.0515,4e-05
"A06 saint jean evangeliste",0.03413,0.06975,0.0071,0.59238,0.04747,0.58257
"A07 vie saint jean paulus",0.06485,0.8518,0.02164,0.4504,0.37682,0.65985
"A08 vie glorieux confesseur",0.80484,0.01315,0.01984,0.00371,0.94622,0.04293
"A09 vie saint leu",0.66731,0.0631,0.57159,0.978,0.15723,0.15646
"A10 poines enfer",0.01427,0.33655,0.20867,0.6329,0.03213,0.00088
"A11 vie saint sebastien",0.72916,0.1091,0.01405,0.81099,0.04198,0.72482
"A12 miracle saint servais",0.00406,0.15536,0.02341,0.41508,0.33946,0.03694
"A13 vie seint thibault",0.38991,0.86596,0.93393,5e-05,0,0
"A14 miracle seint thomas",0.03815,0.50893,0.60168,0.22244,0.28445,0.2436
"A15 vie saint yves",0.2708,0.39932,0.86205,0.00246,0.04463,0.8183
"A16 guillaume angleterre",0.936,0,0.00011,0.16976,0.40642,0.00282
"A17 robert deable",0.06912,0.01845,0.00081,0.0726,0.58841,4e-04
"A18 richart sans peour",0.00912,2e-05,0.03859,0.28478,0.1708,0
"A19 elegy troyes",0.15287,0.73326,0.57398,0.00331,0.64422,0.11565
"A20 vieillards tués",0.04506,0.2631,0.17132,0.96738,0.21855,0.75572
"A21 mauvais riche homme",0.33564,0.48699,0.01046,0.2655,0.3599,0.2002
"A22 jeu des dez",0.33229,0.97972,0.28893,0.05679,0.45888,0.62074
"A23 roy avoit amie",0.45823,0.4945,0.07458,0.02874,0.42338,0.92246
"A24 dieu damours",0.85972,0.16563,0.84449,0.81842,0.39248,0.39025
"A25 quatre sereurs",0.91808,0.01478,0.54107,0.51262,0.64238,0.17246
