"","et","que","quant","de","a","le"
"A01 vie saint alexis",0.15743,0.13791,1e-04,0.02999,0.24417,0.83682
"A02 vie saint barbre",0.002,0.2442,0.40409,0.37068,0.78008,0.00342
"A03 vie saint basille",2e-05,0.82121,0.20837,0.9568,0.6267,0.87851
"A04 vie saint christofle",0.15906,0.43714,0.23984,0.37014,0.25328,2e-05
"A05 vie sainte dieudonnee",0.08375,0.00736,0.78873,0.38458,0.21761,0.01492
"A06 saint jean evangeliste",0.00197,0,0,0.60455,0.06171,3e-05
"A07 vie saint jean paulus",0.01031,0.22352,0.66267,0.29968,0.52452,0.99011
"A08 vie glorieux confesseur",0.03129,0.95387,0.42298,0.01007,0.19971,0.18639
"A09 vie saint leu",0.69123,0.84459,0.29655,0.64916,0.09332,0.38591
"A10 poines enfer",0.13166,0.99347,0.58299,0.38784,0.091,0.01323
"A11 vie saint sebastien",0.00766,0.9507,0.47617,0.96232,0.10486,0.41177
"A12 miracle saint servais",0.04069,0.42497,0.01844,0.94235,0.07845,1e-04
"A13 vie seint thibault",0.64703,0.30671,0.46003,3e-05,0,0
"A14 miracle seint thomas",0.01164,0.19957,0.40333,0.12727,0.4421,0.12901
"A15 vie saint yves",0.86432,0.25822,0.8185,0.03014,0.02105,0.82233
"A16 guillaume angleterre",0.00043,0.01143,0.38769,0.01636,0.11388,0
"A17 robert deable",0.00263,0.00532,0.37705,0.11486,0.94546,0.03077
"A18 richart sans peour",0.01473,0.02391,0.07483,0.38306,0.26049,0.11625
"A19 elegy troyes",0.01875,0.08892,0.11532,0.21669,0.34685,0.1814
"A20 vieillards tués",0.21197,0.18081,0.26906,0.84515,0.62505,0.12598
"A21 mauvais riche homme",0.00679,0.52507,0.32522,0.05962,0.28575,0.45504
"A22 jeu des dez",0.22904,0.77909,0.12393,0.04322,0.05948,0.74798
"A23 roy avoit amie",0.00349,0.00388,0.61347,0.00239,0.29959,0.55467
"A24 dieu damours",0.59615,0.4104,0.3915,0.83163,0.39046,0.39059
"A25 quatre sereurs",0.4314,0.83188,0.27977,0.91428,0.52272,0.01637
