"","X1","X2","X3","X4","X5","X6","X7"
"1","A01 vie saint alexis","et","quant","car","il","mez","que"
"2","A02 vie saint barbre","et","en","de","quant","car","que"
"3","A03 vie saint basille","et","quant","que","les","li","de"
"4","A04 vie saint christofle","et","le","que","maiz","il","qui"
"5","A06 saint jean evangeliste","et","ke","ker","si","de","li"
"6","A07 vie saint jean paulus","et","la","quant","en","l","mais"
"7","A08 vie glorieux confesseur","de","et","que","a","ne","qui"
"8","A09 vie saint leu","et","en","a","l","qu","que"
"9","A10 poines enfer","qui","et","saint","que","de","quant"
"10","A11 vie saint sebastien","et","qui","a","que","le","saint"
"11","A12 miracle saint servais","le","et","quant","a","en","que"
"12","A13 vie seint thibault","et","a","de","que","li","par"
"13","A14 miracle seint thomas","e","cum","si","il","mult","mais"
"14","A15 vie saint yves","a","de","et","je","onques","bien"
"15","A16 guillaume angleterre","le","que","mes","et","quant","pour"
"16","A17 robert deable","que","et","mais","robert","le","il"
"17","A18 richart sans peour","et","mais","que","quant","qui","richart"
"18","A19 elegy troyes","d","de","e","a","car","ce"
"19","A20 vieillards tués","et","quant","lors","au","de","pour"
"20","A21 mauvais riche homme","et","car","pour","si","quant","en"
"21","A22 jeu des dez","et","li","quar","ainsi","que","en"
"22","A23 roy avoit amie","e","qe","de","la","par","si"
"23","A24 dieu damours","je","et","asses","beneoiz","bien","ce"
"24","A25 quatre sereurs","et","quant","que","en","car","de"
