"","text","obs_freq","exp_freq","p_value"
"1","A01 vie saint alexis",75,74.6866845397676,0.96877
"2","A02 vie saint barbre",25,42.6781054512958,0.00352
"3","A03 vie saint basille",29,33.5327971403038,0.40381
"4","A04 vie saint christofle",75,78.3067024128686,0.68395
"5","A05 vie sainte dieudonnee",79,67.8277033065237,0.14038
"6","A06 saint jean evangeliste",106,87.9283288650581,0.03413
"7","A07 vie saint jean paulus",25,35.2475424486148,0.06485
"8","A08 vie glorieux confesseur",37,35.6285969615728,0.80484
"9","A09 vie saint leu",26,24.0064343163539,0.66731
"10","A10 poines enfer",71,54.3002680965147,0.01427
"11","A11 vie saint sebastien",26,24.3874888293119,0.72916
"12","A12 miracle saint servais",30,48.6797140303843,0.00406
"13","A13 vie seint thibault",93,100.788918677391,0.38991
"14","A14 miracle seint thomas",2,7.24003574620197,0.03815
"15","A15 vie saint yves",1,2.66738159070599,0.2708
"16","A16 guillaume angleterre",91,90.3099195710456,0.936
"17","A17 robert deable",113,96.7878462913315,0.06912
"18","A18 richart sans peour",99,77.9256478999106,0.00912
"19","A19 elegy troyes",3,6.47792672028597,0.15287
"20","A20 vieillards tués",7,14.0990169794459,0.04506
"21","A21 mauvais riche homme",7,9.90741733690795,0.33564
"22","A22 jeu des dez",9,12.1937444146559,0.33229
"23","A23 roy avoit amie",16,19.0527256478999,0.45823
"24","A24 dieu damours",2,1.90527256478999,0.85972
"25","A25 quatre sereurs",19,19.4337801608579,0.91808
