"","text","obs_freq","exp_freq","p_value"
"1","A01 vie saint alexis",72,67.6494091643288,0.56797
"2","A02 vie saint barbre",11,38.6568052367593,0
"3","A03 vie saint basille",45,30.3732041145966,0.00486
"4","A04 vie saint christofle",74,70.9283346085182,0.69428
"5","A05 vie sainte dieudonnee",60,61.4367083227068,0.84403
"6","A06 vie saint gregoire",47,49.4427441979087,0.71175
"7","A07 saint jean evangeliste",65,79.6433732891269,0.07337
"8","A08 vie saint jean paulus",33,31.9263793250021,0.83899
"9","A09 vie glorieux confesseur",19,32.2715293717589,0.01243
"10","A10 vie saint leu",30,21.7444529456771,0.06089
"11","A11 poines enfer",43,49.1838816628411,0.34365
"12","A12 vie saint sebastien",15,22.0896029924339,0.10911
"13","A13 miracle saint servais",53,44.0929184731786,0.14989
"14","A14 vie seint thibault",93,91.2921873671682,0.8454
"15","A15 miracle seint thomas",5,6.55785088837882,0.51823
"16","A16 vie saint yves",1,2.41605032729746,0.39952
"17","A17 guillaume angleterre",143,81.8005610813568,0
"18","A18 robert deable",108,87.6681118762221,0.01703
"19","A19 richart sans peour",38,70.5831845617615,3e-05
"20","A20 elegy troyes",5,5.86755079486526,0.73373
"21","A21 vieillards tués",9,12.7705517300009,0.26833
"22","A22 mauvais riche homme",7,8.97390121567627,0.49583
"23","A23 jeu des dez",11,11.044801496217,0.98649
"24","A24 roy avoit amie",20,17.257502337839,0.48641
"25","A25 dieu damours",NA,1.7257502337839,0.16755
"26","A26 quatre sereurs",8,17.6026523845958,0.01532
