"","text","obs_freq","exp_freq","p_value"
"1","A01 vie saint alexis",25,32.0274887849575,0.18506
"2","A02 vie saint barbre",14,18.3014221628329,0.29595
"3","A03 vie saint basille",14,14.3796888422258,0.9199
"4","A04 vie saint christofle",39,33.5798415576978,0.32082
"5","A06 saint jean evangeliste",12,37.7058318220865,1e-05
"6","A07 vie saint jean paulus",11,15.1150138398396,0.273
"7","A08 vie glorieux confesseur",16,15.2784193948649,0.84739
"8","A09 vie saint leu",10,10.2945499665935,0.92717
"9","A10 poines enfer",24,23.244440202348,0.87062
"10","A11 vie saint sebastien",11,10.4579555216188,0.86431
"11","A12 miracle saint servais",18,20.8750596544812,0.51215
"12","A13 vie seint thibault",51,43.2207693041901,0.20206
"13","A14 miracle seint thomas",1,3.10470554548058,0.20267
"14","A15 vie saint yves",NA,1.14383888517705,0.25422
"15","A16 guillaume angleterre",55,38.7271165409946,0.00501
"16","A17 robert deable",60,41.5050109764246,0.0023
"17","A18 richart sans peour",47,33.4164360026725,0.01287
"18","A19 elegy troyes",NA,2.77789443542999,0.08524
"19","A20 vieillards tués",3,6.04600553593586,0.20015
"20","A21 mauvais riche homme",3,4.24854443065763,0.53939
"21","A22 jeu des dez",6,5.22897776080939,0.73982
"22","A23 roy avoit amie",NA,8.17027775126467,0.00405
"23","A24 dieu damours",NA,0.817027775126468,0.41214
"24","A25 quatre sereurs",8,8.33368330628997,0.90678
