"","text","obs_freq","exp_freq","p_value"
"1","A01 vie saint alexis",16,20.9946442234124,0.25392
"2","A02 vie saint barbre",13,11.9969395562357,0.76518
"3","A03 vie saint basille",8,9.42616679418516,0.63334
"4","A04 vie saint christofle",17,22.0122417750574,0.2637
"5","A05 vie sainte dieudonnee",14,19.0665646518745,0.22612
"6","A06 vie saint gregoire",14,15.3442999234889,0.72494
"7","A07 saint jean evangeliste",16,24.716908951798,0.06297
"8","A08 vie saint jean paulus",8,9.90818668706962,0.53516
"9","A09 vie glorieux confesseur",14,10.0153022188217,0.19219
"10","A10 vie saint leu",11,6.74827850038256,0.08957
"11","A11 poines enfer",9,15.2639632746748,0.09465
"12","A12 vie saint sebastien",11,6.85539403213466,0.10014
"13","A13 miracle saint servais",20,13.6840091813313,0.07626
"14","A14 vie seint thibault",64,28.3320581484315,0
"15","A15 miracle seint thomas",1,2.03519510328998,0.45302
"16","A16 vie saint yves",3,0.749808722264728,0.02171
"17","A17 guillaume angleterre",18,25.3863810252487,0.12236
"18","A18 robert deable",27,27.2073450650344,0.96717
"19","A19 richart sans peour",17,21.9051262433053,0.26922
"20","A20 elegy troyes",3,1.82096403978577,0.34864
"21","A21 vieillards tués",3,3.96327467482785,0.63664
"22","A22 mauvais riche homme",1,2.78500382555471,0.28327
"23","A23 jeu des dez",NA,3.42769701606733,0.06038
"24","A24 roy avoit amie",3,5.3557765876052,0.30624
"25","A25 dieu damours",NA,0.53557765876052,0.39035
"26","A26 quatre sereurs",4,5.46289211935731,0.52943
