"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"agreer",13,0.00110516024823599,13,0.000126757542073753,102558,0,0,90795,Inf
"embraser",12,0.00102014792144861,12,0.000117006961914234,102558,0,0,90795,Inf
"demeurée",11,0.000935135594661226,11,0.000107256381754714,102558,0,0,90795,Inf
"droiturier",10,0.000850123267873842,10,9.75058015951949e-05,102558,0,0,90795,Inf
"passion",11,0.000935135594661226,12,0.000117006961914234,102558,1,1.10138223470455e-05,90795,84.905636317266
"débonnairement",10,0.000850123267873842,11,0.000107256381754714,102558,1,1.10138223470455e-05,90795,77.1869421066055
"lumière",10,0.000850123267873842,11,0.000107256381754714,102558,1,1.10138223470455e-05,90795,77.1869421066055
"renommée",10,0.000850123267873842,11,0.000107256381754714,102558,1,1.10138223470455e-05,90795,77.1869421066055
"targer",10,0.000850123267873842,11,0.000107256381754714,102558,1,1.10138223470455e-05,90795,77.1869421066055
"oublier",9,0.000765110941086458,10,9.75058015951949e-05,102558,1,1.10138223470455e-05,90795,69.4682478959449
"honorer",17,0.00144520955538553,19,0.00018526102303087,102558,2,2.20276446940911e-05,90795,65.6089007906146
"contraire",10,0.000850123267873842,12,0.000117006961914234,102558,2,2.20276446940911e-05,90795,38.5934710533027
"droiture",10,0.000850123267873842,12,0.000117006961914234,102558,2,2.20276446940911e-05,90795,38.5934710533027
"vis",10,0.000850123267873842,12,0.000117006961914234,102558,2,2.20276446940911e-05,90795,38.5934710533027
"folie",19,0.0016152342089603,23,0.000224263343668948,102558,4,4.40552893881822e-05,90795,36.6637975006376
"retraire",19,0.0016152342089603,23,0.000224263343668948,102558,4,4.40552893881822e-05,90795,36.6637975006376
"saisir",14,0.00119017257502338,17,0.000165759862711831,102558,3,3.30414670411366e-05,90795,36.0205729830826
"prouver",9,0.000765110941086458,11,0.000107256381754714,102558,2,2.20276446940911e-05,90795,34.7341239479725
"remüer",9,0.000765110941086458,11,0.000107256381754714,102558,2,2.20276446940911e-05,90795,34.7341239479725
"courage",16,0.00136019722859815,20,0.00019501160319039,102558,4,4.40552893881822e-05,90795,30.8747768426422
"choisir",8,0.000680098614299073,10,9.75058015951949e-05,102558,2,2.20276446940911e-05,90795,30.8747768426422
"pensée",25,0.0021253081696846,32,0.000312018565104624,102558,7,7.70967564293188e-05,90795,27.5667650380734
"envie",14,0.00119017257502338,18,0.000175510442871351,102558,4,4.40552893881822e-05,90795,27.0154297373119
"ébahir",24,0.00204029584289722,31,0.000302267984945104,102558,7,7.70967564293188e-05,90795,26.4640944365504
"tendre",10,0.000850123267873842,13,0.000126757542073753,102558,3,3.30414670411366e-05,90795,25.7289807022018
