"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"poissant",24,0.0297029702970297,33,0.000338035094188869,97623,0.000104126895977231,86433,285.257425742574
"bonnement",10,0.0123762376237624,14,0.000143408827837702,97623,4.62786204343249e-05,86433,267.428836633663
"vraiment",13,0.0160891089108911,19,0.000194626266351167,97623,6.94179306514873e-05,86433,231.771658415842
"sauvement",6,0.00742574257425743,10,0.00010243487702693,97623,4.62786204343249e-05,86433,160.457301980198
"semblant",6,0.00742574257425743,12,0.000122921852432316,97623,6.94179306514873e-05,86433,106.971534653465
"puant",5,0.00618811881188119,10,0.00010243487702693,97623,5.78482755429061e-05,86433,106.971534653465
"dévotement",6,0.00742574257425743,13,0.000133165340135009,97623,8.09875857600685e-05,86433,91.6898868458274
"commandement",5,0.00618811881188119,11,0.000112678364729623,97623,6.94179306514873e-05,86433,89.1429455445545
"jugement",5,0.00618811881188119,11,0.000112678364729623,97623,6.94179306514873e-05,86433,89.1429455445545
"tourment",19,0.0235148514851485,46,0.000471200434323879,97623,0.000312380687931693,86433,75.2762651265127
"seulement",8,0.0099009900990099,20,0.00020486975405386,97623,0.000138835861302975,86433,71.3143564356436
"briément",5,0.00618811881188119,14,0.000143408827837702,97623,0.000104126895977231,86433,59.4286303630363
"longuement",11,0.0136138613861386,31,0.000317548118783483,97623,0.000231393102171624,86433,58.8343440594059
"errer",9,0.0111386138613861,26,0.000266330680270018,97623,0.000196684136845881,86433,56.6319889341875
"hautement",7,0.00866336633663366,21,0.000215113241756553,97623,0.000161975171520137,86433,53.4857673267327
"avant",15,0.0185643564356436,49,0.000501930897431958,97623,0.000393368273691761,86433,47.1933241118229
"avenir",3,0.00371287128712871,13,0.000133165340135009,97623,0.000115696551085812,86433,32.0914603960396
"tendrement",5,0.00618811881188119,23,0.000235600217161939,97623,0.000208253791954462,86433,29.7143151815182
"mentir",7,0.00866336633663366,33,0.000338035094188869,97623,0.000300811032823112,86433,28.8000285605484
"enfant",35,0.0433168316831683,188,0.00192577568810629,97623,0.00177015723161293,86433,24.4706125024267
"sëoir",4,0.00495049504950495,22,0.000225356729459246,97623,0.000208253791954462,86433,23.7714521452145
"marchëant",2,0.00247524752475248,11,0.000112678364729623,97623,0.000104126895977231,86433,23.7714521452145
"marchéant",3,0.00371287128712871,18,0.000184382778648474,97623,0.000173544826628718,86433,21.3943069306931
"doucement",10,0.0123762376237624,66,0.000676070188377739,97623,0.000647900686080548,86433,19.1020597595474
"vivre",7,0.00866336633663366,52,0.000532661360540037,97623,0.000520634479886155,86433,16.6400165016502
"tirer",4,0.00495049504950495,30,0.00030730463108079,97623,0.000300811032823112,86433,16.4571591774562
"fortement",14,0.0173267326732673,108,0.00110629667189085,97623,0.00108754758020663,86433,15.9319306930693
"maintenant",2,0.00247524752475248,17,0.000174139290945781,97623,0.000173544826628718,86433,14.2628712871287
"querre",6,0.00742574257425743,52,0.000532661360540037,97623,0.000532204134994736,86433,13.9528088678433
"an",9,0.0111386138613861,81,0.000829722503918134,97623,0.000833015167817847,86433,13.3714418316832
"dolent",3,0.00371287128712871,28,0.000286817655675404,97623,0.00028924137771453,86433,12.8365841584158
"aider",1,0.00123762376237624,10,0.00010243487702693,97623,0.000104126895977231,86433,11.8857260726073
"doter",1,0.00123762376237624,10,0.00010243487702693,97623,0.000104126895977231,86433,11.8857260726073
"honnir",1,0.00123762376237624,10,0.00010243487702693,97623,0.000104126895977231,86433,11.8857260726073
"targer",1,0.00123762376237624,10,0.00010243487702693,97623,0.000104126895977231,86433,11.8857260726073
"sergent",3,0.00371287128712871,31,0.000317548118783483,97623,0.000323950343040274,86433,11.4612358557284
"comment",10,0.0123762376237624,108,0.00110629667189085,97623,0.00113382620064096,86433,10.9154627197414
"attendre",2,0.00247524752475248,22,0.000225356729459246,97623,0.000231393102171624,86433,10.6971534653465
"obéir",1,0.00123762376237624,11,0.000112678364729623,97623,0.000115696551085812,86433,10.6971534653465
"celer",2,0.00247524752475248,23,0.000235600217161939,97623,0.000242962757280205,86433,10.1877652050919
"grand",6,0.00742574257425743,70,0.000717044139188511,97623,0.000740457926949198,86433,10.0285813737624
"courir",3,0.00371287128712871,35,0.000358522069594255,97623,0.000370228963474599,86433,10.0285813737624
"combattre",1,0.00123762376237624,12,0.000122921852432316,97623,0.000127266206194393,86433,9.72468496849685
"sonner",1,0.00123762376237624,12,0.000122921852432316,97623,0.000127266206194393,86433,9.72468496849685
"pan",1,0.00123762376237624,13,0.000133165340135009,97623,0.000138835861302975,86433,8.91429455445545
"tendre",1,0.00123762376237624,13,0.000133165340135009,97623,0.000138835861302975,86433,8.91429455445545
"tyran",3,0.00371287128712871,42,0.000430226483513107,97623,0.000451216549234667,86433,8.2285795887281
"talent",2,0.00247524752475248,28,0.000286817655675404,97623,0.000300811032823112,86433,8.2285795887281
"deviser",1,0.00123762376237624,14,0.000143408827837702,97623,0.000150405516411556,86433,8.2285795887281
"rire",1,0.00123762376237624,14,0.000143408827837702,97623,0.000150405516411556,86433,8.2285795887281
"ardre",3,0.00371287128712871,45,0.000460956946621186,97623,0.000485925514560411,86433,7.64082390381895
"salir",1,0.00123762376237624,15,0.000153652315540395,97623,0.000161975171520137,86433,7.64082390381895
"Sans",1,0.00123762376237624,15,0.000153652315540395,97623,0.000161975171520137,86433,7.64082390381895
"plorer",1,0.00123762376237624,16,0.000163895803243088,97623,0.000173544826628718,86433,7.13143564356436
"taire",1,0.00123762376237624,18,0.000184382778648474,97623,0.000196684136845881,86433,6.29244321490973
"crïer",2,0.00247524752475248,37,0.000379009044999641,97623,0.000404937928800342,86433,6.11265912305516
"commander",3,0.00371287128712871,57,0.000583878799053502,97623,0.000624761375863385,86433,5.94286303630363
"atendre",1,0.00123762376237624,19,0.000194626266351167,97623,0.000208253791954462,86433,5.94286303630363
"repentir",1,0.00123762376237624,19,0.000194626266351167,97623,0.000208253791954462,86433,5.94286303630363
"pleurer",3,0.00371287128712871,59,0.000604365774458888,97623,0.000647900686080548,86433,5.73061792786421
"torner",1,0.00123762376237624,21,0.000215113241756553,97623,0.000231393102171624,86433,5.34857673267327
"lire",1,0.00123762376237624,25,0.000256087192567325,97623,0.000277671722605949,86433,4.45714727722772
"franc",1,0.00123762376237624,26,0.000266330680270018,97623,0.00028924137771453,86433,4.27886138613861
"tant",13,0.0160891089108911,347,0.00355449023283448,97623,0.00386426480626613,86433,4.16356272603308
"devant",5,0.00618811881188119,135,0.00138287083986356,97623,0.00150405516411556,86433,4.11428979436405
"demander",2,0.00247524752475248,55,0.000563391823648116,97623,0.000613191720754804,86433,4.03666168503643
"jeter",2,0.00247524752475248,57,0.000583878799053502,97623,0.000636331030971967,86433,3.88987398739874
"chanter",1,0.00123762376237624,30,0.00030730463108079,97623,0.000335519998148855,86433,3.68867360874018
"gésir",1,0.00123762376237624,30,0.00030730463108079,97623,0.000335519998148855,86433,3.68867360874018
"plaire",2,0.00247524752475248,61,0.000624852749864274,97623,0.000682609651406292,86433,3.62615371706662
"grant",19,0.0235148514851485,596,0.00610511867080504,97623,0.00667569099765136,86433,3.52245954664791
"fuir",1,0.00123762376237624,33,0.000338035094188869,97623,0.000370228963474599,86433,3.34286045792079
"Jehan",1,0.00123762376237624,34,0.000348278581891562,97623,0.00038179861858318,86433,3.24156165616562
"monter",1,0.00123762376237624,35,0.000358522069594255,97623,0.000393368273691761,86433,3.14622160745486
"montrer",1,0.00123762376237624,36,0.000368765557296948,97623,0.000404937928800342,86433,3.05632956152758
"quérir",1,0.00123762376237624,39,0.000399496020405027,97623,0.000439646894126086,86433,2.81504038561751
"dormir",1,0.00123762376237624,40,0.000409739508107721,97623,0.000451216549234667,86433,2.74285986290937
"douter",1,0.00123762376237624,43,0.0004404699712158,97623,0.000485925514560411,86433,2.54694130127298
"connaître",1,0.00123762376237624,45,0.000460956946621186,97623,0.000509064824777573,86433,2.43117124212421
"valoir",1,0.00123762376237624,49,0.000501930897431958,97623,0.000555343445211898,86433,2.22857363861386
"lever",1,0.00123762376237624,52,0.000532661360540037,97623,0.000590052410537642,86433,2.09748107163658
"penser",1,0.00123762376237624,54,0.000553148335945423,97623,0.000613191720754804,86433,2.01833084251821
"nommer",1,0.00123762376237624,56,0.000573635311350809,97623,0.000636331030971967,86433,1.94493699369937
"issir",1,0.00123762376237624,65,0.000665826700675046,97623,0.000740457926949198,86433,1.6714302289604
"conter",1,0.00123762376237624,66,0.000676070188377739,97623,0.000752027582057779,86433,1.64571591774562
"öir",1,0.00123762376237624,71,0.000727287626891204,97623,0.000809875857600685,86433,1.52816478076379
"entrer",1,0.00123762376237624,76,0.000778505065404669,97623,0.000867724133143591,86433,1.42628712871287
"souffrir",1,0.00123762376237624,91,0.000932157380945064,97623,0.00104126895977231,86433,1.18857260726073
"porter",1,0.00123762376237624,100,0.0010243487702693,97623,0.00114539585574954,86433,1.08052055205521
