"","type_a","type_b","type_c","type_d","total","obs_rate_a","obs_rate_b","obs_rate_c","obs_rate_d","p_value_type_a","p_value_type_b","p_value_type_c","p_value_type_d"
"A01_vie_saint_alexis",13,0,48,0,61,0.213114754098361,0,0.786885245901639,0,0.1914,0.60861,0.05651,0.15022
"A02_vie_saint_barbre",7,1,16,1,25,0.28,0.04,0.64,0.04,0.95076,0.07324,0.67985,0.83495
"A03_vie_saint_basille",7,0,6,2,15,0.466666666666667,0,0.4,0.133333333333333,0.11516,0.58709,0.01681,0.03366
"A04_vie_saint_christofle",12,0,68,2,82,0.146341463414634,0,0.829268292682927,0.024390243902439,0.00275,0.4688,0.00171,0.78974
"A05_vie_sainte_dieudonnee",9,0,47,0,56,0.160714285714286,0,0.839285714285714,0,0.0299,0.62514,0.0065,0.16316
"A06_saint_jean_evangeliste",8,0,21,1,30,0.266666666666667,0,0.7,0.0333333333333333,0.8149,0.61224,0.79945,0.88786
"A07_vie_saint_jean_paulus",10,0,10,2,22,0.454545454545455,0,0.454545454545455,0.0909090909090909,0.074,0.60044,0.02113,0.07518
"A08_vie_glorieux_confesseur",2,0,3,2,7,0.285714285714286,0,0.428571428571429,0.285714285714286,1,0.57703,0.15838,0.00733
"A09_vie_saint_leu",5,0,10,0,15,0.333333333333333,0,0.666666666666667,0,0.6868,0.5886,0.91321,0.62439
"A10_poines_enfer",6,0,5,1,12,0.5,0,0.416666666666667,0.0833333333333333,0.09166,0.58353,0.04425,0.17638
"A11_vie_saint_sebastien",5,0,7,0,12,0.416666666666667,0,0.583333333333333,0,0.30725,0.58449,0.46514,0.64969
"A12_miracle_saint_servais",20,0,5,0,25,0.8,0,0.2,0,0,0.60433,0,0.38641
"A13_vie_seint_thibault",10,0,6,0,16,0.625,0,0.375,0,0.00208,0.59263,0.00741,0.58635
"A14_miracle_seint_thomas",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A15_vie_saint_yves",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A16_guillaume_angleterre",22,0,81,0,103,0.213592233009709,0,0.786407766990291,0,0.07722,0.40708,0.01123,0.05166
"A17_robert_deable",19,0,68,1,88,0.215909090909091,0,0.772727272727273,0.0113636363636364,0.11688,0.47066,0.0415,0.28238
"A18_richart_sans_peour",12,1,17,1,31,0.387096774193548,0.032258064516129,0.548387096774194,0.032258064516129,0.20228,0.09247,0.11173,0.90976
"A19_elegy_troyes",4,1,4,2,11,0.363636363636364,0.0909090909090909,0.363636363636364,0.181818181818182,0.61505,0.03055,0.02453,0.0188
"A20_vieillards_tués",2,0,7,3,12,0.166666666666667,0,0.583333333333333,0.25,0.38675,0.58139,0.46309,0.00184
"A21_mauvais_riche_homme",5,0,2,0,7,0.714285714285714,0,0.285714285714286,0,0.01151,0.5771,0.01946,0.60364
"A22_jeu_des_dez",0,0,3,0,3,0,0,1,0,0.37224,0.5719,0.37161,0.56501
"A23_roy_avoit_amie",1,1,1,1,4,0.25,0.25,0.25,0.25,0.79571,0.01139,0.05276,0.05586
"A24_dieu_damours",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A25_quatre_sereurs",5,0,2,0,7,0.714285714285714,0,0.285714285714286,0,0.01155,0.57544,0.02018,0.60632
