,A,B,B1,C,D
A01_vie_saint_alexis,13,9,0,48,0
A02_vie_saint_barbre,7,13,1,16,1
A03_vie_saint_basille,7,4,0,6,2
A04_vie_saint_christofle,12,16,0,68,2
A05_vie_sainte_dieudonnee,9,6,0,47,0
A06_vie_saint_gregoire,14,19,0,28,3
A07_saint_jean_evangeliste,8,43,0,21,1
A08_vie_saint_jean_paulus,10,20,0,10,2
A09_vie_glorieux_confesseur,2,0,0,3,2
A10_vie_saint_leu,5,2,0,10,0
A11_poines_enfer,6,7,0,5,1
A12_vie_saint_sebastien,5,0,0,7,0
A13_miracle_saint_servais,20,40,0,5,0
A14_vie_seint_thibault,10,8,0,6,0
A15_miracle_seint_thomas,0,0,0,0,0
A16_vie_saint_yves,0,0,0,0,0
A17_guillaume_angleterre,22,3,0,81,0
A18_robert_deable,19,9,0,68,1
A19_richart_sans_peour,12,52,1,17,1
A20_elegy_troyes,4,0,1,4,2
A21_vieillards_tués,2,9,0,7,3
A22_mauvais_riche_homme,5,1,0,2,0
A23_jeu_des_dez,0,2,0,3,0
A24_roy_avoit_amie,1,4,1,1,1
A25_dieu_damours,0,0,0,0,0
A26_quatre_sereurs,5,4,0,2,0
