"","que","et","le","si","a","de"
"F001_AmantEpee1_BnF-12581",0.46252,0.68914,0.08082,0.575,0.90378,0.69546
"F002_AnelRoides_BnF-1593",0.0669,0.91242,0.90499,0.6269,0.81857,0.66533
"F003_Auberee_Berlin-257",0.29277,0.19961,0.41376,0.74669,0.05044,0.53377
"F004_BaratHaimetBodel_BnF-19152",0.69732,0.01794,0.01842,0.00552,0.16575,0.03173
"F005_Berangier1_Bern-354",0.48384,0.10411,0.2011,0.45329,0.00645,0.94348
"F006_Boivin_BnF-837",0.78541,0.50211,0.03082,0.06746,0.89572,0.31717
"F007_BorgeoiseOrliens_Berlin-257",0.66983,0.03093,0.41278,0.73088,0.1624,0.8364
"F008_BotaPierre1_Bern-354",0.5065,0.76789,0.00065,0.88901,0.57792,0.86681
"F009_BouchierAbeville_BnF-837",0.06992,0.0189,0.00428,0.03399,0.07856,0.48199
"F010_BraiesPriestreJeanDeConde_Rome-1598",0.13803,0.05137,0.00011,0.96399,0.78058,0.7485
"F011_Brifaut_Bern-354",0.65644,0.65784,0.9105,0.51713,0.15035,0.87113
"F012_BrunainBodel_BnF-837",0.24651,0.01461,0.00746,0.49039,0.86466,0.8635
"F013_CharlotRutebeuf_BnF-1635",0.83122,0.71014,0.45476,0.01331,0.31644,0.13954
"F014_Charme1_BnF-12581",0.54107,0.52738,0.62557,0.1681,0.74036,0.38727
"F015_ChevalierConfesse_BnF-837",0.37578,0.21193,0.01061,0.03377,0.05936,0.38504
"F016_ChevalierParlerCons1Guerin_BnF-19152",0.7393,0.33857,0.02795,0.11499,0.56858,0.19804
"F017_ConBesche_BnF-837",0.34166,0.78702,0.67421,0.77336,0.32822,0.67951
"F018_ConGautierLeLeu_BnF-19152",0.00365,0.16845,0.07196,0.15949,0.00989,0.01044
"F019_ConnebertGautierLeLeu_Bern-354",0.74879,0.79424,0.60083,0.02958,0.6395,0.36654
"F020_Cons_BnF-837",0.02995,0.14471,0.20337,0.05748,0.17426,0.17243
"F021_ContrarieuseMarieDeFrance_BnF-1593",0.81602,0.89908,0.62318,0.57508,0.81776,0.81634
"F022_ContrarieuseMarieDeFrance_York-16",0.89716,0.68944,0.62258,0.6187,0.25734,0.25675
"F023_CovoteusEnvieusBodel_BnF-19152",0.03521,0.0892,0.05045,0.90183,0.08251,0.87155
"F024_Crote_BnF-1593",0.92436,0.75702,0.89936,0.28146,0.02502,0.5772
"F025_CugnieMarieDeFrance_Nott-6",0.56969,0.15971,0.81562,0.39374,0.24978,0.23354
"F026_DameChastiee_BnF-1630",0.68607,0.88268,0.182,0.52441,0.8172,0.03595
"F027_DameEscoillee_Nott-6",0.04166,0.266,0.00035,0.03919,0.68992,0.48688
"F028_DameTorsMoustierRutebeuf_BnF-837",0.5165,0.11582,0.68899,0.10121,0.59918,0.9612
"F029_DamoiseleFoutre1_BnF-837",0.00262,0.69992,0.01712,0.02923,0.36058,0.36001
"F030_DamoiseleFoutre2_Bern-354",0.25795,0.26043,0.09619,0.28729,0.78056,0.18311
"F031_DamoiseleSonjoit_Bern-354",0.13493,0.56979,0.47948,0.68349,0.12349,0.40246
"F032_deAngloys_BnF-19152",0.53006,0.82382,0.43324,0.38886,0.41653,0.83275
"F033_DebatCulCon_BnF-837",0.6072,0.78549,0.30388,0.8981,0.88817,0.48627
"F034_deChevausBodel_BnF-837",0.4038,0.24914,0.24509,0.05092,0.22788,0.45169
"F035_deVilains_Nott-6",0.37641,0.23337,0.12499,0.401,0.28996,0.14208
"F036_DieuPescour_Nott-6",0.06152,0.52738,0.00373,0.04087,0.0381,0.54456
"F037_EscuiersBregoigne_BnF-1630",0.72901,0.31299,0.44737,0.071,0.78063,0.74849
"F038_EstormiHuesPiaucele_BnF-837",0.56249,0.07738,0.04288,0.45644,0.00128,0.1309
"F039_Estula_Bern-354",0.99716,1,0.04256,0.0296,0.71817,0.54867
"F040_FemmeCunquieBaron_BnF-12603",0.67268,0.5936,0.59217,0.89098,0.68403,0.11993
"F041_FemmePendreMarieDeFrance_BnF-1593",0.32623,0.0906,0.26405,0.5732,0.81869,0.5238
"F042_FolVilain_Nott-6",0.07172,0.09458,0.03573,4e-05,0.31707,0.51339
"F043_FoutreFosse_Bern-354",0.29835,0.65774,0.03673,0.44089,0.69564,0.00782
"F044_FrereDeniseRutebeuf_BnF-1635",0.0907,0.02428,0.09545,0.53639,0.11371,0.52525
"F045_GauteronMarion_Berlin-257",0.62408,0.31106,0.54185,0.27975,0.37883,0.86438
"F046_Gombert2ClersBodel_Berlin-257",0.33726,0.31054,0.28738,0.00091,0.92111,0.46274
"F047_Grue1_Bern-354",0.91873,0.17615,0.07336,0.93337,0.30238,0.07489
"F048_LaidChevalier_BnF-1630",0.13061,0.89687,0.64513,0.86338,0.82346,0.52979
"F049_Linceul1_BnF-12581",0.02762,0.92591,0.55153,0.68043,0.40717,0.86501
"F050_MaignienDame_Bern-354",0.95907,0.60583,0.03697,0.72357,0.0657,0.48447
"F051_MaleHonte1Guillaume_BnF-2173",0.33824,0.32241,0.582,0.90939,0.4153,0.28471
"F052_MaleHonte2HuonDeCambrai_Bern-354",0.64521,0.3904,0.00123,0.34143,0.25735,0.94513
"F053_MaleHonte2HuonDeCambrai_BnF-837",0.94036,0.81746,0,0.9219,0.04238,0.41842
"F054_MarcheantAsne_BnF-1630",0.71843,0.49254,0.53194,0.19787,0.48555,0.68427
"F055_MariEborgne1_BnF-12581",0.54162,0.52512,0.62571,0.16728,0.74119,0.38618
"F056_MellinMellot_BnF-1630",0.01546,0.80576,0.06896,0.43669,8e-04,0.02771
"F057_Meunier2Clers_Bern-354",0.01533,0.17808,0.00031,0.016,0.15384,0.23987
"F058_Nonete2_BnF-1630",0.5246,0.67579,0.20526,0.28199,0.28418,0.39811
"F059_OueChapelain_Berlin-257",0.77079,0.1678,0.02085,0.84479,0.88864,0.05666
"F060_Perdris_BnF-837",0.04683,0.73259,0.2201,0.78086,0.56278,0.73996
"F061_PetVilainRutebeuf_BnF-837",0.55111,0.51246,0.19316,0.88841,0.62813,0.12515
"F062_Porcelet_Bern-354",0.09988,0.16886,0.69361,0.2819,0.57921,0.35083
"F063_PrestreAbevete_BnF-12603",0.67326,0.36649,0.72408,0.89253,0.41711,0.33196
"F064_PrestreCrucefie_BnF-837",0.07349,1,0.68224,0.71966,0.24562,0.26853
"F065_PrestreLardier_BnF-12483",0.72906,0.00322,0.28353,0.00609,0.31286,0.09068
"F066_PrestreLeu_Berlin-257",0.19293,0.273,8e-05,0.52213,0.12535,0.41189
"F067_PrestreMoutonHaisiau_Berlin-257",0.20728,0.56708,0.05383,0.81683,0.38559,0.84016
