"","et","que","qui","si","li","a"
"F001_AmantEpee1_BnF-12581",0.67073,0.47699,0.04491,0.73073,0.0619,0.68444
"F002_AnelRoides_BnF-1593",0.92457,0.67708,0.11983,0.3501,0.1052,0.52534
"F003_Auberee_Berlin-257",0.18272,0.01388,0.6506,0.96276,0.00113,0.0106
"F004_BaratHaimetBodel_BnF-19152",0.01867,0.48518,0.67224,0.05359,0.0567,0.01018
"F005_Berangier1_Bern-354",0.09811,0.02687,0.80127,0.5353,0.07992,0.00716
"F006_Boivin_BnF-837",0.48184,0.63645,0.90702,0.02532,0.08447,0.95087
"F007_BorgeoiseOrliens_Berlin-257",0.02862,0.5724,0.39608,0.3856,0.32337,0.04381
"F008_BotaPierre1_Bern-354",0.76108,0.88598,0.88574,0.62901,0.8667,0.57324
"F009_BouchierAbeville_BnF-837",0.01366,0.52175,0.45014,0.04121,0.14963,0.21637
"F010_BraiesPriestreJeanDeConde_Rome-1598",0.04896,0.10663,0.05385,0.90073,0,0.23664
"F011_Brifaut_Bern-354",0.65451,0.90161,0.23234,0.32293,0.63215,0.23086
"F012_BrunainBodel_BnF-837",0.01544,0.22765,0.88653,0.28501,0.00216,0.86564
"F013_CharlotRutebeuf_BnF-1635",0.71977,0.50319,0.06555,0.02537,0.89528,0.46969
"F014_Charme1_BnF-12581",0.52427,0.38475,0.2221,0.20341,0.05044,0.86291
"F015_ChevalierConfesse_BnF-837",0.20069,0.20128,0.02875,0.03555,0.07616,0.03349
"F016_ChevalierParlerCons1Guerin_BnF-19152",0.32163,0.46075,0.67445,0.05119,0.20567,0.79016
"F017_ConBesche_BnF-837",0.78558,0.38184,0.70769,0.49794,0.86396,0.62672
"F018_ConGautierLeLeu_BnF-19152",0.1539,0.39815,0.01102,0.67438,0.60789,0.10258
"F019_ConnebertGautierLeLeu_Bern-354",0.8147,0.07955,0.22003,0.02744,0.12215,0.69839
"F020_Cons_BnF-837",0.13895,0.03824,0.64227,0.03512,0.61402,0.28092
"F021_ContrarieuseMarieDeFrance_BnF-1593",0.8984,0.57415,0.57109,0.8256,0.42075,0.82161
"F022_ContrarieuseMarieDeFrance_York-16",0.03475,0.17888,0.16918,0.82401,0.25007,0.42401
"F023_CovoteusEnvieusBodel_BnF-19152",0.08987,0.06208,0.69526,0.88641,0.13201,0.12075
"F024_Crote_BnF-1593",0.7563,0.32119,0.2832,0.13028,0.06096,0.01353
"F025_CugnieMarieDeFrance_Nott-6",0.15991,0.81817,0.39385,0.38633,0.2145,0.20066
"F026_DameChastiee_BnF-1630",0.88354,0.86168,0.82208,0.81762,0.82003,0.82093
"F027_DameEscoillee_Nott-6",0.28876,0.95262,0.01877,0.01262,0.02201,0.87955
"F028_DameTorsMoustierRutebeuf_BnF-837",0.12113,0.59031,0.09725,0.17921,0.42115,0.25696
"F029_DamoiseleFoutre1_BnF-837",0.70962,0.00565,0.74822,0.01042,0.20498,0.48653
"F030_DamoiseleFoutre2_Bern-354",0.24919,0.26846,0.04573,0.24068,0.23945,0.79843
"F031_DamoiseleSonjoit_Bern-354",0.58788,0.35452,0.88585,0.45289,0.42244,0.18753
"F032_deAngloys_BnF-19152",0.83274,0.60323,0.15348,0.53953,0.48301,0.2421
"F033_DebatCulCon_BnF-837",0.79822,0.47258,0.41326,0.95526,0.25466,0.65046
"F034_deChevausBodel_BnF-837",0.23865,0.72111,0.29315,0.44751,0.85179,0.38335
"F035_deVilains_Nott-6",0.22174,0.07838,0.24856,0.37903,0.66674,0.42058
"F036_DieuPescour_Nott-6",0.54212,0.3022,0.00051,0.36012,0.13501,0.02899
"F037_EscuiersBregoigne_BnF-1630",0.30499,0.34171,0.15245,0.10536,0.32578,0.58457
"F038_EstormiHuesPiaucele_BnF-837",0.08338,0.77811,0.94094,0.76307,0.95047,0.00075
"F039_Estula_Bern-354",0.9802,0.05087,0.10526,0.02887,0.00951,0.71269
"F040_FemmeCunquieBaron_BnF-12603",0.8347,0.53603,0.35807,0.88841,0.86728,0.86569
"F041_FemmePendreMarieDeFrance_BnF-1593",0.09027,0.41366,0.0646,0.63071,0.81756,0.25662
"F042_FolVilain_Nott-6",0.10127,0.03618,0.01331,0.00148,0.9283,0.82406
"F043_FoutreFosse_Bern-354",0.67372,0.25591,0.10557,0.28508,0.06436,0.88583
