"","X1","X2","X3","X4","X5","X6","X7"
"1","F001_AmantEpee1_BnF-12581","que","et","car","ne","a","je"
"2","F002_AnelRoides_BnF-1593","et","tant","le","quand","si","un"
"3","F003_Auberee_Berlin-257","que","et","le","a","si","de"
"4","F004_BaratHaimetBodel_BnF-19152","que","et","si","le","faire","mais"
"5","F005_Berangier1_Bern-354","que","et","le","a","ne","si"
"6","F006_Boivin_BnF-837","que","et","le","a","il","mais"
"7","F007_BorgeoiseOrliens_Berlin-257","et","que","le","si","a","quand"
"8","F008_BotaPierre1_Bern-354","le","et","que","dame","je","ne"
"9","F009_BouchierAbeville_BnF-837","que","et","le","il","je","seignor"
"10","F010_BraiesPriestreJeanDeConde_Rome-1598","et","le","que","il","si","de"
"11","F011_Brifaut_Bern-354","que","et","a","le","si","se"
"12","F012_BrunainBodel_BnF-837","que","le","par","por","a","aler"
"13","F013_CharlotRutebeuf_BnF-1635","que","et","le","ne","assez","se"
"14","F014_Charme1_BnF-12581","que","et","le","car","cel","quand"
"15","F015_ChevalierConfesse_BnF-837","et","que","a","car","de","dame"
"16","F016_ChevalierParlerCons1Guerin_BnF-19152","que","et","le","si","a","car"
"17","F017_ConBesche_BnF-837","que","et","a","le","por","un"
"18","F018_ConGautierLeLeu_BnF-19152","que","et","ne","si","de","car"
"19","F019_ConnebertGautierLeLeu_Bern-354","que","et","le","si","de","je"
"20","F020_Cons_BnF-837","que","et","si","ja","cest","ne"
"21","F021_ContrarieuseMarieDeFrance_BnF-1593","et","que","le","ains","là","nul"
"22","F022_ContrarieuseMarieDeFrance_York-16","que","et","le","là","mais","nul"
"23","F023_CovoteusEnvieusBodel_BnF-19152","que","et","je","saint","si","cel"
"24","F024_Crote_BnF-1593","que","et","par","a","or","faire"
"25","F025_CugnieMarieDeFrance_Nott-6","en","a","à.lequel","adonc","communément","de"
"26","F026_DameChastiee_BnF-1630","de","et","que","celui","il","pour"
"27","F027_DameEscoillee_Nott-6","que","le","et","ne","de","a"
"28","F028_DameTorsMoustierRutebeuf_BnF-837","que","et","le","por","ne","de"
"29","F029_DamoiseleFoutre1_BnF-837","que","et","si","seignor","ne","puis"
"30","F030_DamoiseleFoutre2_Bern-354","que","et","si","ne","faire","por"
"31","F031_DamoiseleSonjoit_Bern-354","et","que","si","car","le","mais"
"32","F032_deAngloys_BnF-19152","que","et","le","Alain","il","moi"
"33","F033_DebatCulCon_BnF-837","je","que","et","mais","si","ce"
"34","F034_deChevausBodel_BnF-837","que","et","si","ne","le","mais"
"35","F035_deVilains_Nott-6","que","et","si","il","car","le"
"36","F036_DieuPescour_Nott-6","que","et","si","je","de","ne"
"37","F037_EscuiersBregoigne_BnF-1630","et","que","le","lors","dire","sus"
"38","F038_EstormiHuesPiaucele_BnF-837","que","et","a","le","de","si"
"39","F039_Estula_Bern-354","que","et","le","si","en","a"
"40","F040_FemmeCunquieBaron_BnF-12603","et","que","de","car","le","lors"
"41","F041_FemmePendreMarieDeFrance_BnF-1593","que","le","son","de","par","se"
"42","F042_FolVilain_Nott-6","que","si","et","il","mais","puis"
"43","F043_FoutreFosse_Bern-354","que","et","de","si","cant","en"
"44","F044_FrereDeniseRutebeuf_BnF-1635","que","et","a","le","ne","si"
"45","F045_GauteronMarion_Berlin-257","et","que","bien","car","je","par"
"46","F046_Gombert2ClersBodel_Berlin-257","que","si","et","le","a","car"
"47","F047_Grue1_Bern-354","que","le","et","a","si","dame"
"48","F048_LaidChevalier_BnF-1630","et","de","lait","le","mais","plus"
"49","F049_Linceul1_BnF-12581","et","le","car","por","quand","si"
"50","F050_MaignienDame_Bern-354","que","et","le","je","dame","il"
"51","F051_MaleHonte1Guillaume_BnF-2173","que","et","le","de","mais","si"
"52","F052_MaleHonte2HuonDeCambrai_Bern-354","le","que","et","a","ne","mais"
"53","F053_MaleHonte2HuonDeCambrai_BnF-837","le","que","et","a","si","car"
"54","F054_MarcheantAsne_BnF-1630","et","que","car","le","par","de"
"55","F055_MariEborgne1_BnF-12581","que","et","le","car","cel","quand"
"56","F056_MellinMellot_BnF-1630","a","et","de","Mellin","ne","or"
"57","F057_Meunier2Clers_Bern-354","le","et","que","a","ne","il"
"58","F058_Nonete2_BnF-1630","et","le","lors","que","de","dire"
"59","F059_OueChapelain_Berlin-257","et","que","le","si","mais","or"
"60","F060_Perdris_BnF-837","et","le","que","mais","a","si"
"61","F061_PetVilainRutebeuf_BnF-837","que","et","ne","en","tant","a"
"62","F062_Porcelet_Bern-354","que","dame","de","et","le","ne"
"63","F063_PrestreAbevete_BnF-12603","et","que","le","a","dire","par"
"64","F064_PrestreCrucefie_BnF-837","que","et","il","le","lors","quand"
"65","F065_PrestreLardier_BnF-12483","que","le","mais","il","de","quand"
"66","F066_PrestreLeu_Berlin-257","le","a","en","si","un","ainz"
"67","F067_PrestreMoutonHaisiau_Berlin-257","que","le","un","car","contre","de"
"68","F068_PrestreMures1Guerin_BnF-19152","que","et","si","le","car","de.le"
"69","F069_PrestrePassion_BnF-19152","que","et","si","de","mais","dire"
"70","F070_PrestreTeint_Berlin-257","que","le","et","si","ne","de"
"71","F071_PreudomeCompereNoier_BnF-19152","cel","que","de","en","et","a"
"72","F072_Puis1_BnF-12581","et","que","le","quand","si","mais"
"73","F073_PutainsLecheors_Nott-6","et","le","si","cant","de","que"
"74","F074_quPrestresHaisiau_Berlin-257","et","que","le","a","en","si"
