"","X1","X2","X3","X4","X5","X6","X7"
"1","F001_AmantEpee1_BnF-12581","et","qui","que","quant","car","a"
"2","F002_AnelRoides_BnF-1593","et","tant","i","li","quant","si"
"3","F003_Auberee_Berlin-257","et","que","a","qui","le","si"
"4","F004_BaratHaimetBodel_BnF-19152","et","si","qui","que","mais","fait"
"5","F005_Berangier1_Bern-354","et","que","a","li","qui","ne"
"6","F006_Boivin_BnF-837","et","que","qui","a","mes","qu"
"7","F007_BorgeoiseOrliens_Berlin-257","et","quant","si","a","que","qu"
"8","F008_BotaPierre1_Bern-354","et","la","dame","je","ne","que"
"9","F009_BouchierAbeville_BnF-837","et","que","qui","je","par","de"
"10","F010_BraiesPriestreJeanDeConde_Rome-1598","et","li","il","qu","quant","sa"
"11","F011_Brifaut_Bern-354","et","qui","si","a","que","car"
"12","F012_BrunainBodel_BnF-837","li","que","par","por","qui","a"
"13","F013_CharlotRutebeuf_BnF-1635","et","qui","ne","asseiz","la","que"
"14","F014_Charme1_BnF-12581","et","que","qui","li","car","quant"
"15","F015_ChevalierConfesse_BnF-837","et","que","quar","a","dame","en"
"16","F016_ChevalierParlerCons1Guerin_BnF-19152","et","si","qui","que","li","qu"
"17","F017_ConBesche_BnF-837","et","que","por","qu","a","de"
"18","F018_ConGautierLeLeu_BnF-19152","et","qui","ne","que","quar","de"
"19","F019_ConnebertGautierLeLeu_Bern-354","et","si","qui","li","je","mais"
"20","F020_Cons_BnF-837","et","que","si","ja","qu","qui"
"21","F021_ContrarieuseMarieDeFrance_BnF-1593","et","la","ainz","li","se","a"
"22","F022_ContrarieuseMarieDeFrance_York-16","e","la","li","mes","nul","par"
"23","F023_CovoteusEnvieusBodel_BnF-19152","que","qu","et","cil","de","mais"
"24","F024_Crote_BnF-1593","et","par","a","or","que","fet"
"25","F025_CugnieMarieDeFrance_Nott-6","a","adont","auquel","communement","de","devant"
"26","F026_DameChastiee_BnF-1630","de","et","celle","pour","que","se"
"27","F027_DameEscoillee_Nott-6","et","que","li","de","la","a"
"28","F028_DameTorsMoustierRutebeuf_BnF-837","et","por","que","qu","de","mes"
"29","F029_DamoiseleFoutre1_BnF-837","que","et","si","qu","qui","sire"
"30","F030_DamoiseleFoutre2_Bern-354","et","qui","que","si","fait","por"
"31","F031_DamoiseleSonjoit_Bern-354","et","si","car","mais","qui","esploitiez"
"32","F032_deAngloys_BnF-19152","et","mi","que","quant","se","son"
"33","F033_DebatCulCon_BnF-837","je","et","que","mes","ce","si"
"34","F034_deChevausBodel_BnF-837","et","que","qu","si","mes","se"
"35","F035_deVilains_Nott-6","et","qui","qu","si","car","mais"
"36","F036_DieuPescour_Nott-6","qui","et","que","si","ne","sire"
"37","F037_EscuiersBregoigne_BnF-1630","et","que","lors","li","sus","a"
"38","F038_EstormiHuesPiaucele_BnF-837","et","que","a","qui","mes","si"
"39","F039_Estula_Bern-354","et","qui","si","li","en","mais"
