"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",18,15.3113122171946,0.46252
"2","F002_AnelRoides_BnF-1593",2,6.1974358974359,0.0669
"3","F003_Auberee_Berlin-257",88,79.3514831573655,0.29277
"4","F004_BaratHaimetBodel_BnF-19152",59,61.8528406234289,0.69732
"5","F005_Berangier1_Bern-354",40,36.0909502262443,0.48384
"6","F006_Boivin_BnF-837",48,46.2984917043741,0.78541
"7","F007_BorgeoiseOrliens_Berlin-257",37,39.4934640522876,0.66983
"8","F008_BotaPierre1_Bern-354",6,7.7771744595274,0.5065
"9","F009_BouchierAbeville_BnF-837",55,68.9009049773756,0.06992
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",9,14.2176470588235,0.13803
"11","F011_Brifaut_Bern-354",12,10.5720965309201,0.65644
"12","F012_BrunainBodel_BnF-837",12,8.87083961789844,0.24651
"13","F013_CharlotRutebeuf_BnF-1635",17,16.1619406737054,0.83122
"14","F014_Charme1_BnF-12581",12,10.0860231271996,0.54107
"15","F015_ChevalierConfesse_BnF-837",30,34.8757667169432,0.37578
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",78,75.3413775766717,0.7393
"17","F017_ConBesche_BnF-837",13,10.0860231271996,0.34166
"18","F018_ConGautierLeLeu_BnF-19152",66,47.270638511815,0.00365
"19","F019_ConnebertGautierLeLeu_Bern-354",40,38.1567621920563,0.74879
"20","F020_Cons_BnF-837",12,6.80502765208648,0.02995
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",4,4.49617898441428,0.81602
"22","F022_ContrarieuseMarieDeFrance_York-16",4,4.37466063348416,0.89716
"23","F023_CovoteusEnvieusBodel_BnF-19152",17,10.5720965309201,0.03521
"24","F024_Crote_BnF-1593",8,7.65565610859729,0.92436
"25","F025_CugnieMarieDeFrance_Nott-6",1,1.94429361488185,0.56969
"26","F026_DameChastiee_BnF-1630",3,3.76706887883358,0.68607
"27","F027_DameEscoillee_Nott-6",65,82.0248868778281,0.04166
"28","F028_DameTorsMoustierRutebeuf_BnF-837",18,20.7796380090498,0.5165
"29","F029_DamoiseleFoutre1_BnF-837",26,14.9467571644042,0.00262
"30","F030_DamoiseleFoutre2_Bern-354",31,25.6403720462544,0.25795
"31","F031_DamoiseleSonjoit_Bern-354",5,9.11387631975867,0.13493
"32","F032_deAngloys_BnF-19152",12,14.2176470588235,0.53006
"33","F033_DebatCulCon_BnF-837",15,13.2455002513826,0.6072
"34","F034_deChevausBodel_BnF-837",33,28.7998491704374,0.4038
"35","F035_deVilains_Nott-6",26,22.116339869281,0.37641
"36","F036_DieuPescour_Nott-6",40,30.3795877325289,0.06152
"37","F037_EscuiersBregoigne_BnF-1630",13,14.2176470588235,0.72901
"38","F038_EstormiHuesPiaucele_BnF-837",72,76.678079436903,0.56249
"39","F039_Estula_Bern-354",17,17.0125691302162,0.99716
"40","F040_FemmeCunquieBaron_BnF-12603",9,10.3290598290598,0.67268
"41","F041_FemmePendreMarieDeFrance_BnF-1593",7,4.98225238813474,0.32623
"42","F042_FolVilain_Nott-6",57,45.6908999497235,0.07172
"43","F043_FoutreFosse_Bern-354",19,15.1897938662645,0.29835
"44","F044_FrereDeniseRutebeuf_BnF-1635",51,40.951684263449,0.0907
"45","F045_GauteronMarion_Berlin-257",5,4.01010558069382,0.62408
"46","F046_Gombert2ClersBodel_Berlin-257",19,23.3315233785822,0.33726
"47","F047_Grue1_Bern-354",20,19.5644544997486,0.91873
"48","F048_LaidChevalier_BnF-1630",2,5.34680744092509,0.13061
"49","F049_Linceul1_BnF-12581",3,9.3569130216189,0.02762
"50","F050_MaignienDame_Bern-354",14,13.8530920060332,0.95907
"51","F051_MaleHonte1Guillaume_BnF-2173",23,19.0783810960282,0.33824
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",23,25.1542986425339,0.64521
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",19,19.3214177978884,0.94036
"54","F054_MarcheantAsne_BnF-1630",12,13.2455002513826,0.71843
"55","F055_MariEborgne1_BnF-12581",12,10.0860231271996,0.54162
"56","F056_MellinMellot_BnF-1630",5,13.1239819004525,0.01546
"57","F057_Meunier2Clers_Bern-354",25,39.1289089994972,0.01533
"58","F058_Nonete2_BnF-1630",3,4.13162393162393,0.5246
"59","F059_OueChapelain_Berlin-257",14,13.0024635495224,0.77079
"60","F060_Perdris_BnF-837",11,19.0783810960282,0.04683
"61","F061_PetVilainRutebeuf_BnF-837",11,9.3569130216189,0.55111
"62","F062_Porcelet_Bern-354",12,7.7771744595274,0.09988
"63","F063_PrestreAbevete_BnF-12603",9,10.3290598290598,0.67326
"64","F064_PrestreCrucefie_BnF-837",18,12.1518350930116,0.07349
"65","F065_PrestreLardier_BnF-12483",20,21.5087481146305,0.72906
"66","F066_PrestreLeu_Berlin-257",1,3.40251382604324,0.19293
"67","F067_PrestreMoutonHaisiau_Berlin-257",4,2.18733031674208,0.20728
"68","F068_PrestreMures1Guerin_BnF-19152",14,11.9087983911513,0.50641
"69","F069_PrestrePassion_BnF-19152",11,7.89869281045752,0.22144
"70","F070_PrestreTeint_Berlin-257",56,53.8326294620412,0.75043
"71","F071_PreudomeCompereNoier_BnF-19152",6,9.47843137254902,0.23059
"72","F072_Puis1_BnF-12581",40,28.3137757667169,0.01843
"73","F073_PutainsLecheors_Nott-6",5,10.5720965309201,0.06286
"74","F074_quPrestresHaisiau_Berlin-257",7,9.72146807440925,0.34933
"75","F075_quSohaisMartin_Bern-354",19,24.3036701860231,0.25037
"76","F076_RoiRibaud_BnF-1630",2,2.18733031674208,0.8563
"77","F077_Saineresse_BnF-837",10,14.2176470588235,0.22727
"78","F078_Segretain2_Berlin-257",81,98.4298642533937,0.05593
"79","F079_Sohais_Nott-6",28,23.088486676722,0.27185
