"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",14,12.6,0.68914
"2","F002_AnelRoides_BnF-1593",5,5.1,0.91242
"3","F003_Auberee_Berlin-257",75,65.3,0.19961
"4","F004_BaratHaimetBodel_BnF-19152",35,50.9,0.01794
"5","F005_Berangier1_Bern-354",38,29.7,0.10411
"6","F006_Boivin_BnF-837",42,38.1,0.50211
"7","F007_BorgeoiseOrliens_Berlin-257",44,32.5,0.03093
"8","F008_BotaPierre1_Bern-354",7,6.4,0.76789
"9","F009_BouchierAbeville_BnF-837",40,56.7,0.0189
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",18,11.7,0.05137
"11","F011_Brifaut_Bern-354",10,8.7,0.65784
"12","F012_BrunainBodel_BnF-837",1,7.3,0.01461
"13","F013_CharlotRutebeuf_BnF-1635",12,13.3,0.71014
"14","F014_Charme1_BnF-12581",10,8.3,0.52738
"15","F015_ChevalierConfesse_BnF-837",35,28.7,0.21193
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",69,62,0.33857
"17","F017_ConBesche_BnF-837",9,8.3,0.78702
"18","F018_ConGautierLeLeu_BnF-19152",47,38.9,0.16845
"19","F019_ConnebertGautierLeLeu_Bern-354",30,31.4,0.79424
"20","F020_Cons_BnF-837",9,5.6,0.14471
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",4,3.7,0.89908
"22","F022_ContrarieuseMarieDeFrance_York-16",3,3.6,0.68944
"23","F023_CovoteusEnvieusBodel_BnF-19152",4,8.7,0.0892
"24","F024_Crote_BnF-1593",7,6.3,0.75702
"25","F025_CugnieMarieDeFrance_Nott-6",NA,1.6,0.15971
"26","F026_DameChastiee_BnF-1630",3,3.1,0.88268
"27","F027_DameEscoillee_Nott-6",59,67.5,0.266
"28","F028_DameTorsMoustierRutebeuf_BnF-837",11,17.1,0.11582
"29","F029_DamoiseleFoutre1_BnF-837",11,12.3,0.69992
"30","F030_DamoiseleFoutre2_Bern-354",26,21.1,0.26043
"31","F031_DamoiseleSonjoit_Bern-354",6,7.5,0.56979
"32","F032_deAngloys_BnF-19152",11,11.7,0.82382
"33","F033_DebatCulCon_BnF-837",10,10.9,0.78549
"34","F034_deChevausBodel_BnF-837",29,23.7,0.24914
"35","F035_deVilains_Nott-6",23,18.2,0.23337
"36","F036_DieuPescour_Nott-6",22,25,0.52738
"37","F037_EscuiersBregoigne_BnF-1630",15,11.7,0.31299
"38","F038_EstormiHuesPiaucele_BnF-837",50,63.1,0.07738
"39","F039_Estula_Bern-354",14,14,1
"40","F040_FemmeCunquieBaron_BnF-12603",10,8.5,0.5936
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,4.1,0.0906
"42","F042_FolVilain_Nott-6",28,37.6,0.09458
"43","F043_FoutreFosse_Bern-354",11,12.5,0.65774
"44","F044_FrereDeniseRutebeuf_BnF-1635",46,33.7,0.02428
"45","F045_GauteronMarion_Berlin-257",5,3.3,0.31106
"46","F046_Gombert2ClersBodel_Berlin-257",15,19.2,0.31054
"47","F047_Grue1_Bern-354",11,16.1,0.17615
"48","F048_LaidChevalier_BnF-1630",4,4.4,0.89687
"49","F049_Linceul1_BnF-12581",8,7.7,0.92591
"50","F050_MaignienDame_Bern-354",13,11.4,0.60583
"51","F051_MaleHonte1Guillaume_BnF-2173",12,15.7,0.32241
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",17,20.7,0.3904
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",15,15.9,0.81746
"54","F054_MarcheantAsne_BnF-1630",13,10.9,0.49254
"55","F055_MariEborgne1_BnF-12581",10,8.3,0.52512
"56","F056_MellinMellot_BnF-1630",10,10.8,0.80576
"57","F057_Meunier2Clers_Bern-354",25,32.2,0.17808
"58","F058_Nonete2_BnF-1630",4,3.4,0.67579
"59","F059_OueChapelain_Berlin-257",15,10.7,0.1678
"60","F060_Perdris_BnF-837",17,15.7,0.73259
"61","F061_PetVilainRutebeuf_BnF-837",6,7.7,0.51246
"62","F062_Porcelet_Bern-354",3,6.4,0.16886
"63","F063_PrestreAbevete_BnF-12603",11,8.5,0.36649
"64","F064_PrestreCrucefie_BnF-837",10,10,1
"65","F065_PrestreLardier_BnF-12483",6,17.7,0.00322
"66","F066_PrestreLeu_Berlin-257",1,2.8,0.273
"67","F067_PrestreMoutonHaisiau_Berlin-257",1,1.8,0.56708
"68","F068_PrestreMures1Guerin_BnF-19152",11,9.8,0.67948
"69","F069_PrestrePassion_BnF-19152",9,6.5,0.30588
"70","F070_PrestreTeint_Berlin-257",41,44.3,0.59825
"71","F071_PreudomeCompereNoier_BnF-19152",4,7.8,0.15719
"72","F072_Puis1_BnF-12581",40,23.3,0.00033
"73","F073_PutainsLecheors_Nott-6",11,8.7,0.42194
"74","F074_quPrestresHaisiau_Berlin-257",8,8,1
"75","F075_quSohaisMartin_Bern-354",22,20,0.63753
"76","F076_RoiRibaud_BnF-1630",2,1.8,0.85971
"77","F077_Saineresse_BnF-837",17,11.7,0.10216
"78","F078_Segretain2_Berlin-257",79,81,0.81201
"79","F079_Sohais_Nott-6",18,19,0.8108
"80","F080_SohaizDesvezBodel_Bern-354",25,21.8,0.46964
"81","F081_SotChevalierGautierLeLeu_BnF-837",35,31.9,0.55934
"82","F082_SotChevalierGautierLeLeu_Nott-6",32,32.3,0.95589
