"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",3,7.55113122171946,0.08082
"2","F002_AnelRoides_BnF-1593",3,3.05641025641026,0.90499
"3","F003_Auberee_Berlin-257",44,39.1340372046254,0.41376
"4","F004_BaratHaimetBodel_BnF-19152",18,30.5041729512318,0.01842
"5","F005_Berangier1_Bern-354",23,17.7990950226244,0.2011
"6","F006_Boivin_BnF-837",13,22.8331825037707,0.03082
"7","F007_BorgeoiseOrliens_Berlin-257",16,19.4771241830065,0.41278
"8","F008_BotaPierre1_Bern-354",11,3.83549522373052,0.00065
"9","F009_BouchierAbeville_BnF-837",18,33.9800904977376,0.00428
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",18,7.01176470588235,0.00011
"11","F011_Brifaut_Bern-354",5,5.21387631975867,0.9105
"12","F012_BrunainBodel_BnF-837",10,4.37486173956762,0.00746
"13","F013_CharlotRutebeuf_BnF-1635",10,7.97063851181498,0.45476
"14","F014_Charme1_BnF-12581",6,4.97415786827552,0.62557
"15","F015_ChevalierConfesse_BnF-837",7,17.1997988939165,0.01061
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",50,37.1563599798894,0.02795
"17","F017_ConBesche_BnF-837",4,4.97415786827552,0.67421
"18","F018_ConGautierLeLeu_BnF-19152",15,23.3126194067371,0.07196
"19","F019_ConnebertGautierLeLeu_Bern-354",21,18.8178984414279,0.60083
"20","F020_Cons_BnF-837",1,3.3560583207642,0.20337
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",3,2.21739567621921,0.62318
"22","F022_ContrarieuseMarieDeFrance_York-16",3,2.15746606334842,0.62258
"23","F023_CovoteusEnvieusBodel_BnF-19152",1,5.21387631975867,0.05045
"24","F024_Crote_BnF-1593",4,3.77556561085973,0.89936
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.958873805932629,0.81562
"26","F026_DameChastiee_BnF-1630",NA,1.85781799899447,0.182
"27","F027_DameEscoillee_Nott-6",62,40.4524886877828,0.00035
"28","F028_DameTorsMoustierRutebeuf_BnF-837",9,10.247963800905,0.68899
"29","F029_DamoiseleFoutre1_BnF-837",1,7.37134238310709,0.01712
"30","F030_DamoiseleFoutre2_Bern-354",7,12.6451483157366,0.09619
"31","F031_DamoiseleSonjoit_Bern-354",3,4.4947209653092,0.47948
"32","F032_deAngloys_BnF-19152",5,7.01176470588235,0.43324
"33","F033_DebatCulCon_BnF-837",4,6.53232780291604,0.30388
"34","F034_deChevausBodel_BnF-837",10,14.2033182503771,0.24509
"35","F035_deVilains_Nott-6",6,10.9071895424837,0.12499
"36","F036_DieuPescour_Nott-6",4,14.9824032176973,0.00373
"37","F037_EscuiersBregoigne_BnF-1630",9,7.01176470588235,0.44737
"38","F038_EstormiHuesPiaucele_BnF-837",26,37.8155857214681,0.04288
"39","F039_Estula_Bern-354",14,8.39014580191051,0.04256
"40","F040_FemmeCunquieBaron_BnF-12603",4,5.09401709401709,0.59217
"41","F041_FemmePendreMarieDeFrance_BnF-1593",4,2.45711412770236,0.26405
"42","F042_FolVilain_Nott-6",13,22.5335344394168,0.03573
"43","F043_FoutreFosse_Bern-354",2,7.49120160884867,0.03673
"44","F044_FrereDeniseRutebeuf_BnF-1635",13,20.196279537456,0.09545
"45","F045_GauteronMarion_Berlin-257",1,1.97767722473605,0.54185
"46","F046_Gombert2ClersBodel_Berlin-257",15,11.5064856711916,0.28738
"47","F047_Grue1_Bern-354",15,9.64866767219708,0.07336
"48","F048_LaidChevalier_BnF-1630",2,2.63690296631473,0.64513
"49","F049_Linceul1_BnF-12581",6,4.61458019105078,0.55153
"50","F050_MaignienDame_Bern-354",12,6.83197586726999,0.03697
"51","F051_MaleHonte1Guillaume_BnF-2173",11,9.40894922071393,0.582
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",24,12.4054298642534,0.00123
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",25,9.52880844645551,0
"54","F054_MarcheantAsne_BnF-1630",5,6.53232780291604,0.53194
"55","F055_MariEborgne1_BnF-12581",6,4.97415786827552,0.62571
"56","F056_MellinMellot_BnF-1630",2,6.47239819004525,0.06896
"57","F057_Meunier2Clers_Bern-354",35,19.2973353443942,0.00031
"58","F058_Nonete2_BnF-1630",4,2.03760683760684,0.20526
"59","F059_OueChapelain_Berlin-257",12,6.41246857717446,0.02085
"60","F060_Perdris_BnF-837",13,9.40894922071393,0.2201
"61","F061_PetVilainRutebeuf_BnF-837",2,4.61458019105078,0.19316
"62","F062_Porcelet_Bern-354",3,3.83549522373052,0.69361
"63","F063_PrestreAbevete_BnF-12603",6,5.09401709401709,0.72408
"64","F064_PrestreCrucefie_BnF-837",5,5.99296128707893,0.68224
"65","F065_PrestreLardier_BnF-12483",14,10.6075414781297,0.28353
"66","F066_PrestreLeu_Berlin-257",8,1.6780291603821,8e-05
"67","F067_PrestreMoutonHaisiau_Berlin-257",3,1.07873303167421,0.05383
"68","F068_PrestreMures1Guerin_BnF-19152",5,5.87310206133736,0.73888
"69","F069_PrestrePassion_BnF-19152",2,3.89542483660131,0.35532
"70","F070_PrestreTeint_Berlin-257",43,26.5488185017597,0.00121
"71","F071_PreudomeCompereNoier_BnF-19152",2,4.67450980392157,0.19123
"72","F072_Puis1_BnF-12581",12,13.9635997988939,0.59065
