"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",4,5.33393665158371,0.575
"2","F002_AnelRoides_BnF-1593",3,2.15897435897436,0.6269
"3","F003_Auberee_Berlin-257",26,27.6433383609854,0.74669
"4","F004_BaratHaimetBodel_BnF-19152",34,21.5474107591755,0.00552
"5","F005_Berangier1_Bern-354",10,12.572850678733,0.45329
"6","F006_Boivin_BnF-837",9,16.1288084464555,0.06746
"7","F007_BorgeoiseOrliens_Berlin-257",15,13.7581699346405,0.73088
"8","F008_BotaPierre1_Bern-354",3,2.70930115635998,0.88901
"9","F009_BouchierAbeville_BnF-837",14,24.0027149321267,0.03399
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",5,4.95294117647059,0.96399
"11","F011_Brifaut_Bern-354",5,3.68295625942685,0.51713
"12","F012_BrunainBodel_BnF-837",2,3.0902966314731,0.49039
"13","F013_CharlotRutebeuf_BnF-1635",NA,5.63026646556058,0.01331
"14","F014_Charme1_BnF-12581",1,3.51362493715435,0.1681
"15","F015_ChevalierConfesse_BnF-837",5,12.1495223730518,0.03377
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",34,26.2463549522373,0.11499
"17","F017_ConBesche_BnF-837",3,3.51362493715435,0.77336
"18","F018_ConGautierLeLeu_BnF-19152",22,16.4674710910005,0.15949
"19","F019_ConnebertGautierLeLeu_Bern-354",21,13.2925087983912,0.02958
"20","F020_Cons_BnF-837",5,2.37063851181498,0.05748
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,1.56631473102061,0.57508
"22","F022_ContrarieuseMarieDeFrance_York-16",1,1.52398190045249,0.6187
"23","F023_CovoteusEnvieusBodel_BnF-19152",4,3.68295625942685,0.90183
"24","F024_Crote_BnF-1593",1,2.66696832579186,0.28146
"25","F025_CugnieMarieDeFrance_Nott-6",NA,0.677325289089995,0.39374
"26","F026_DameChastiee_BnF-1630",2,1.31231774761187,0.52441
"27","F027_DameEscoillee_Nott-6",18,28.5746606334842,0.03919
"28","F028_DameTorsMoustierRutebeuf_BnF-837",3,7.23891402714932,0.10121
"29","F029_DamoiseleFoutre1_BnF-837",10,5.20693815987934,0.02923
"30","F030_DamoiseleFoutre2_Bern-354",12,8.93222724987431,0.28729
"31","F031_DamoiseleSonjoit_Bern-354",4,3.17496229260935,0.68349
"32","F032_deAngloys_BnF-19152",3,4.95294117647059,0.38886
"33","F033_DebatCulCon_BnF-837",5,4.61427853192559,0.8981
"34","F034_deChevausBodel_BnF-837",16,10.0328808446456,0.05092
"35","F035_deVilains_Nott-6",10,7.70457516339869,0.401
"36","F036_DieuPescour_Nott-6",17,10.5832076420312,0.04087
"37","F037_EscuiersBregoigne_BnF-1630",1,4.95294117647059,0.071
