"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",4,3.78190045248869,0.90378
"2","F002_AnelRoides_BnF-1593",2,1.53076923076923,0.81857
"3","F003_Auberee_Berlin-257",28,19.5998491704374,0.05044
"4","F004_BaratHaimetBodel_BnF-19152",10,15.277677224736,0.16575
"5","F005_Berangier1_Bern-354",17,8.91447963800905,0.00645
"6","F006_Boivin_BnF-837",11,11.4357466063348,0.89572
"7","F007_BorgeoiseOrliens_Berlin-257",14,9.75490196078431,0.1624
"8","F008_BotaPierre1_Bern-354",1,1.9209653092006,0.57792
"9","F009_BouchierAbeville_BnF-837",10,17.0185520361991,0.07856
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",3,3.51176470588235,0.78058
"11","F011_Brifaut_Bern-354",5,2.61131221719457,0.15035
"12","F012_BrunainBodel_BnF-837",2,2.19110105580694,0.86466
"13","F013_CharlotRutebeuf_BnF-1635",2,3.9920060331825,0.31644
"14","F014_Charme1_BnF-12581",3,2.49125188536953,0.74036
"15","F015_ChevalierConfesse_BnF-837",14,8.61432880844646,0.05936
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",21,18.6093514328808,0.56858
"17","F017_ConBesche_BnF-837",4,2.49125188536953,0.32822
"18","F018_ConGautierLeLeu_BnF-19152",3,11.6758672699849,0.00989
"19","F019_ConnebertGautierLeLeu_Bern-354",8,9.42473604826546,0.6395
"20","F020_Cons_BnF-837",NA,1.68084464555053,0.17426
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,1.1105580693816,0.81776
"22","F022_ContrarieuseMarieDeFrance_York-16",NA,1.08054298642534,0.25734
"23","F023_CovoteusEnvieusBodel_BnF-19152",NA,2.61131221719457,0.08251
"24","F024_Crote_BnF-1593",5,1.89095022624434,0.02502
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.480241327300151,0.24978
"26","F026_DameChastiee_BnF-1630",1,0.930467571644042,0.8172
"27","F027_DameEscoillee_Nott-6",22,20.2601809954751,0.68992
"28","F028_DameTorsMoustierRutebeuf_BnF-837",4,5.13257918552036,0.59918
"29","F029_DamoiseleFoutre1_BnF-837",2,3.69185520361991,0.36058
"30","F030_DamoiseleFoutre2_Bern-354",7,6.33318250377074,0.78056
"31","F031_DamoiseleSonjoit_Bern-354",NA,2.25113122171946,0.12349
"32","F032_deAngloys_BnF-19152",2,3.51176470588235,0.41653
"33","F033_DebatCulCon_BnF-837",3,3.27164404223228,0.88817
"34","F034_deChevausBodel_BnF-837",4,7.11357466063348,0.22788
"35","F035_deVilains_Nott-6",3,5.46274509803922,0.28996
"36","F036_DieuPescour_Nott-6",2,7.50377073906486,0.0381
"37","F037_EscuiersBregoigne_BnF-1630",3,3.51176470588235,0.78063
"38","F038_EstormiHuesPiaucele_BnF-837",33,18.9395173453997,0.00128
"39","F039_Estula_Bern-354",5,4.20211161387632,0.71817
"40","F040_FemmeCunquieBaron_BnF-12603",2,2.55128205128205,0.68403
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,1.23061840120664,0.81869
"42","F042_FolVilain_Nott-6",8,11.2856711915535,0.31707
"43","F043_FoutreFosse_Bern-354",3,3.75188536953243,0.69564
"44","F044_FrereDeniseRutebeuf_BnF-1635",15,10.1150829562594,0.11371
"45","F045_GauteronMarion_Berlin-257",NA,0.990497737556561,0.37883
"46","F046_Gombert2ClersBodel_Berlin-257",6,5.76289592760181,0.92111
"47","F047_Grue1_Bern-354",7,4.83242835595777,0.30238
"48","F048_LaidChevalier_BnF-1630",1,1.32066365007541,0.82346
"49","F049_Linceul1_BnF-12581",1,2.31116138763198,0.40717
"50","F050_MaignienDame_Bern-354",NA,3.42171945701357,0.0657
"51","F051_MaleHonte1Guillaume_BnF-2173",3,4.71236802413273,0.4153
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",9,6.2131221719457,0.25735
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",9,4.77239819004525,0.04238
"54","F054_MarcheantAsne_BnF-1630",2,3.27164404223228,0.48555
"55","F055_MariEborgne1_BnF-12581",3,2.49125188536953,0.74119
"56","F056_MellinMellot_BnF-1630",10,3.24162895927602,8e-04
"57","F057_Meunier2Clers_Bern-354",14,9.66485671191553,0.15384
"58","F058_Nonete2_BnF-1630",NA,1.02051282051282,0.28418
"59","F059_OueChapelain_Berlin-257",3,3.21161387631976,0.88864
"60","F060_Perdris_BnF-837",6,4.71236802413273,0.56278
"61","F061_PetVilainRutebeuf_BnF-837",3,2.31116138763198,0.62813
"62","F062_Porcelet_Bern-354",1,1.9209653092006,0.57921
"63","F063_PrestreAbevete_BnF-12603",4,2.55128205128205,0.41711
"64","F064_PrestreCrucefie_BnF-837",1,3.00150829562594,0.24562
"65","F065_PrestreLardier_BnF-12483",3,5.31266968325792,0.31286
"66","F066_PrestreLeu_Berlin-257",2,0.840422322775264,0.12535
"67","F067_PrestreMoutonHaisiau_Berlin-257",NA,0.54027149321267,0.38559
"68","F068_PrestreMures1Guerin_BnF-19152",1,2.94147812971342,0.27731
"69","F069_PrestrePassion_BnF-19152",1,1.95098039215686,0.56386
"70","F070_PrestreTeint_Berlin-257",14,13.2966817496229,0.84414
"71","F071_PreudomeCompereNoier_BnF-19152",3,2.34117647058824,0.63093
"72","F072_Puis1_BnF-12581",6,6.99351432880845,0.709
"73","F073_PutainsLecheors_Nott-6",3,2.61131221719457,0.88579
"74","F074_quPrestresHaisiau_Berlin-257",5,2.40120663650075,0.06162
"75","F075_quSohaisMartin_Bern-354",2,6.00301659125189,0.09378
"76","F076_RoiRibaud_BnF-1630",NA,0.54027149321267,0.388
"77","F077_Saineresse_BnF-837",1,3.51176470588235,0.17194
"78","F078_Segretain2_Berlin-257",28,24.3122171945701,0.43974
"79","F079_Sohais_Nott-6",2,5.70286576168929,0.10731
"80","F080_SohaizDesvezBodel_Bern-354",5,6.54328808446455,0.53701
"81","F081_SotChevalierGautierLeLeu_BnF-837",10,9.57481146304676,0.89079
"82","F082_SotChevalierGautierLeLeu_Nott-6",9,9.6948717948718,0.82014
"83","F083_TestamentAsneRutebeuf_BnF-1635",8,5.13257918552036,0.20477
"84","F084_trAveuglesCortebarbe_BnF-12603",10,9.96500754147813,0.99019
"85","F085_trAveuglesCortebarbe_BnF-837",8,10.0550527903469,0.51051
"86","F086_trBocusDurant_BnF-837",16,8.94449472096531,0.01625
"87","F087_trChanoinessesWatriquet_Ars-3525",10,6.03303167420814,0.09925
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525",7,9.21463046757165,0.45536
"89","F089_trDamesVit1_BnF-1593",3,3.87194570135747,0.68848
"90","F090_Tresces1Garin_Bern-354",10,9.42473604826546,0.84737
"91","F091_Tresces1Garin_BnF-12581",9,8.04404223227753,0.73679
"92","F092_Tresces2_BnF-19152",12,13.1165912518854,0.75321
"93","F093_unFemme100Chevaliers_BnF-25545",2,5.79291101055807,0.10622
"94","F094_Veuve_Nott-6",4,15.037556561086,0.00401
"95","F095_VieillePalme_BnF-2173",2,1.68084464555053,0.86846
"96","F096_VilainAsnier_BnF-19152",3,1.56078431372549,0.33681
"97","F097_VilainBailluelBodel_BnF-837",1,3.51176470588235,0.17057
"98","F098_VilainFarbuBodel_BnF-2168",4,4.08205128205128,0.93292
"99","F099_VilainMire_Berlin-257",11,11.5558069381599,0.86993
"100","F100_VilainOstelSire_Lyon-5495",6,3.1815987933635,0.10697
"101","F101_VilainParadis_Nott-6",4,5.19260935143288,0.58503
