"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",3,3.73122171945701,0.69546
"2","F002_AnelRoides_BnF-1593",1,1.51025641025641,0.66533
"3","F003_Auberee_Berlin-257",22,19.3372046254399,0.53377
"4","F004_BaratHaimetBodel_BnF-19152",7,15.0729512317748,0.03173
"5","F005_Berangier1_Bern-354",9,8.79502262443439,0.94348
"6","F006_Boivin_BnF-837",8,11.2825037707391,0.31717
"7","F007_BorgeoiseOrliens_Berlin-257",9,9.62418300653595,0.8364
"8","F008_BotaPierre1_Bern-354",2,1.89522373051785,0.86681
"9","F009_BouchierAbeville_BnF-837",14,16.7904977375566,0.48199
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",4,3.46470588235294,0.7485
"11","F011_Brifaut_Bern-354",3,2.5763197586727,0.87113
"12","F012_BrunainBodel_BnF-837",2,2.16173956762192,0.8635
"13","F013_CharlotRutebeuf_BnF-1635",1,3.9385118149824,0.13954
"14","F014_Charme1_BnF-12581",1,2.45786827551533,0.38727
"15","F015_ChevalierConfesse_BnF-837",11,8.49889391654098,0.38504
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",13,18.3599798893917,0.19804
"17","F017_ConBesche_BnF-837",3,2.45786827551533,0.67951
"18","F018_ConGautierLeLeu_BnF-19152",20,11.5194067370538,0.01044
"19","F019_ConnebertGautierLeLeu_Bern-354",12,9.29844142785319,0.36654
"20","F020_Cons_BnF-837",NA,1.65832076420312,0.17243
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,1.09567621920563,0.81634
"22","F022_ContrarieuseMarieDeFrance_York-16",NA,1.06606334841629,0.25675
"23","F023_CovoteusEnvieusBodel_BnF-19152",3,2.5763197586727,0.87155
"24","F024_Crote_BnF-1593",1,1.86561085972851,0.5772
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.473805932629462,0.23354
"26","F026_DameChastiee_BnF-1630",3,0.917998994469583,0.03595
"27","F027_DameEscoillee_Nott-6",23,19.9886877828054,0.48688
"28","F028_DameTorsMoustierRutebeuf_BnF-837",5,5.06380090497738,0.9612
"29","F029_DamoiseleFoutre1_BnF-837",2,3.64238310708899,0.36001
"30","F030_DamoiseleFoutre2_Bern-354",3,6.24831573655103,0.18311
"31","F031_DamoiseleSonjoit_Bern-354",1,2.2209653092006,0.40246
"32","F032_deAngloys_BnF-19152",3,3.46470588235294,0.83275
"33","F033_DebatCulCon_BnF-837",2,3.22780291603821,0.48627
"34","F034_deChevausBodel_BnF-837",9,7.01825037707391,0.45169
"35","F035_deVilains_Nott-6",2,5.38954248366013,0.14208
"36","F036_DieuPescour_Nott-6",9,7.40321769733534,0.54456
"37","F037_EscuiersBregoigne_BnF-1630",4,3.46470588235294,0.74849
"38","F038_EstormiHuesPiaucele_BnF-837",25,18.6857214680744,0.1309
"39","F039_Estula_Bern-354",3,4.14580191050779,0.54867
"40","F040_FemmeCunquieBaron_BnF-12603",5,2.51709401709402,0.11993
"41","F041_FemmePendreMarieDeFrance_BnF-1593",2,1.214127702363,0.5238
"42","F042_FolVilain_Nott-6",9,11.1344394167924,0.51339
"43","F043_FoutreFosse_Bern-354",9,3.70160884866767,0.00782
"44","F044_FrereDeniseRutebeuf_BnF-1635",8,9.97953745600804,0.52525
"45","F045_GauteronMarion_Berlin-257",1,0.977224736048265,0.86438
"46","F046_Gombert2ClersBodel_Berlin-257",4,5.68567119155354,0.46274
"47","F047_Grue1_Bern-354",1,4.76767219708396,0.07489
"48","F048_LaidChevalier_BnF-1630",2,1.30296631473102,0.52979
"49","F049_Linceul1_BnF-12581",2,2.28019105077929,0.86501
"50","F050_MaignienDame_Bern-354",2,3.37586726998492,0.48447
"51","F051_MaleHonte1Guillaume_BnF-2173",7,4.6492207139266,0.28471
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",6,6.12986425339366,0.94513
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",3,4.70844645550528,0.41842
"54","F054_MarcheantAsne_BnF-1630",4,3.22780291603821,0.68427
"55","F055_MariEborgne1_BnF-12581",1,2.45786827551533,0.38618
"56","F056_MellinMellot_BnF-1630",7,3.19819004524887,0.02771
"57","F057_Meunier2Clers_Bern-354",6,9.53534439416792,0.23987
"58","F058_Nonete2_BnF-1630",2,1.00683760683761,0.39811
"59","F059_OueChapelain_Berlin-257",NA,3.16857717445953,0.05666
"60","F060_Perdris_BnF-837",4,4.6492207139266,0.73996
"61","F061_PetVilainRutebeuf_BnF-837",NA,2.28019105077929,0.12515
"62","F062_Porcelet_Bern-354",3,1.89522373051785,0.35083
"63","F063_PrestreAbevete_BnF-12603",1,2.51709401709402,0.33196
"64","F064_PrestreCrucefie_BnF-837",1,2.96128707893414,0.26853
"65","F065_PrestreLardier_BnF-12483",9,5.24147812971342,0.09068
"66","F066_PrestreLeu_Berlin-257",NA,0.829160382101559,0.41189
"67","F067_PrestreMoutonHaisiau_Berlin-257",1,0.533031674208145,0.84016
"68","F068_PrestreMures1Guerin_BnF-19152",NA,2.90206133735545,0.09295
