"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",14,12.5366515837104,0.67073
"2","F002_AnelRoides_BnF-1593",5,5.07435897435897,0.92457
"3","F003_Auberee_Berlin-257",75,64.9716943187531,0.18272
"4","F004_BaratHaimetBodel_BnF-19152",35,50.6440925087984,0.01867
"5","F005_Berangier1_Bern-354",38,29.5506787330317,0.09811
"6","F006_Boivin_BnF-837",42,37.9084464555053,0.48184
"7","F007_BorgeoiseOrliens_Berlin-257",44,32.3366013071895,0.02862
"8","F008_BotaPierre1_Bern-354",7,6.36782302664656,0.76108
"9","F009_BouchierAbeville_BnF-837",39,56.4149321266968,0.01366
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",18,11.6411764705882,0.04896
"11","F011_Brifaut_Bern-354",10,8.65625942684766,0.65451
"12","F012_BrunainBodel_BnF-837",1,7.26329813976873,0.01544
"13","F013_CharlotRutebeuf_BnF-1635",12,13.2331322272499,0.71977
"14","F014_Charme1_BnF-12581",10,8.25827048768225,0.52427
"15","F015_ChevalierConfesse_BnF-837",35,28.5557063851181,0.20069
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",69,61.6882855706385,0.32163
"17","F017_ConBesche_BnF-837",9,8.25827048768225,0.78558
"18","F018_ConGautierLeLeu_BnF-19152",47,38.7044243338361,0.1539
"19","F019_ConnebertGautierLeLeu_Bern-354",30,31.2421317244847,0.8147
"20","F020_Cons_BnF-837",9,5.57184514831574,0.13895
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",4,3.68139768728004,0.8984
"22","F022_ContrarieuseMarieDeFrance_York-16",NA,3.58190045248869,0.03475
"23","F023_CovoteusEnvieusBodel_BnF-19152",4,8.65625942684766,0.08987
"24","F024_Crote_BnF-1593",7,6.2683257918552,0.7563
"25","F025_CugnieMarieDeFrance_Nott-6",NA,1.59195575666164,0.15991
"26","F026_DameChastiee_BnF-1630",3,3.08441427853193,0.88354
"27","F027_DameEscoillee_Nott-6",59,67.1606334841629,0.28876
"28","F028_DameTorsMoustierRutebeuf_BnF-837",11,17.0140271493213,0.12113
"29","F029_DamoiseleFoutre1_BnF-837",11,12.2381598793363,0.70962
"30","F030_DamoiseleFoutre2_Bern-354",26,20.9939165409754,0.24919
"31","F031_DamoiseleSonjoit_Bern-354",6,7.46229260935143,0.58788
"32","F032_deAngloys_BnF-19152",11,11.6411764705882,0.83274
"33","F033_DebatCulCon_BnF-837",10,10.8451985922574,0.79822
"34","F034_deChevausBodel_BnF-837",29,23.5808446455505,0.23865
"35","F035_deVilains_Nott-6",23,18.1084967320261,0.22174
"36","F036_DieuPescour_Nott-6",22,24.8743086978381,0.54212
"37","F037_EscuiersBregoigne_BnF-1630",15,11.6411764705882,0.30499
"38","F038_EstormiHuesPiaucele_BnF-837",50,62.7827551533434,0.08338
"39","F039_Estula_Bern-354",14,13.9296128707893,0.9802
"40","F040_FemmeCunquieBaron_BnF-12603",9,8.45726495726496,0.8347
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,4.07938662644545,0.09027
"42","F042_FolVilain_Nott-6",28,37.4109602815485,0.10127
"43","F043_FoutreFosse_Bern-354",11,12.4371543489191,0.67372
"44","F044_FrereDeniseRutebeuf_BnF-1635",46,33.5305681246858,0.02167
