"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",8,6.2841628959276,0.47699
"2","F002_AnelRoides_BnF-1593",2,2.54358974358974,0.67708
"3","F003_Auberee_Berlin-257",46,32.5679235796883,0.01388
"4","F004_BaratHaimetBodel_BnF-19152",22,25.3860231271996,0.48518
"5","F005_Berangier1_Bern-354",23,14.8126696832579,0.02687
"6","F006_Boivin_BnF-837",21,19.0021116138763,0.63645
"7","F007_BorgeoiseOrliens_Berlin-257",14,16.2091503267974,0.5724
"8","F008_BotaPierre1_Bern-354",3,3.19195575666164,0.88598
"9","F009_BouchierAbeville_BnF-837",25,28.2787330316742,0.52175
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",2,5.83529411764706,0.10663
"11","F011_Brifaut_Bern-354",4,4.33906485671192,0.90161
"12","F012_BrunainBodel_BnF-837",6,3.64082453494218,0.22765
"13","F013_CharlotRutebeuf_BnF-1635",5,6.63328305681247,0.50319
"14","F014_Charme1_BnF-12581",6,4.13956762192056,0.38475
"15","F015_ChevalierConfesse_BnF-837",19,14.3139265962795,0.20128
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",27,30.9220713926596,0.46075
"17","F017_ConBesche_BnF-837",6,4.13956762192056,0.38184
"18","F018_ConGautierLeLeu_BnF-19152",23,19.401106083459,0.39815
"19","F019_ConnebertGautierLeLeu_Bern-354",9,15.6605329311212,0.07955
"20","F020_Cons_BnF-837",6,2.79296128707893,0.03824
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,1.84534942182001,0.57415
"22","F022_ContrarieuseMarieDeFrance_York-16",NA,1.79547511312217,0.17888
"23","F023_CovoteusEnvieusBodel_BnF-19152",8,4.33906485671192,0.06208
"24","F024_Crote_BnF-1593",5,3.1420814479638,0.32119
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.79798893916541,0.81817
"26","F026_DameChastiee_BnF-1630",2,1.54610356963298,0.86168
"27","F027_DameEscoillee_Nott-6",34,33.6651583710407,0.95262
"28","F028_DameTorsMoustierRutebeuf_BnF-837",7,8.52850678733032,0.59031
"29","F029_DamoiseleFoutre1_BnF-837",13,6.13453996983409,0.00565
"30","F030_DamoiseleFoutre2_Bern-354",14,10.5234791352438,0.26846
"31","F031_DamoiseleSonjoit_Bern-354",2,3.74057315233786,0.35452
"32","F032_deAngloys_BnF-19152",7,5.83529411764706,0.60323
"33","F033_DebatCulCon_BnF-837",7,5.43629964806435,0.47258
"34","F034_deChevausBodel_BnF-837",13,11.8202111613876,0.72111
"35","F035_deVilains_Nott-6",4,9.07712418300654,0.07838
"36","F036_DieuPescour_Nott-6",16,12.4685771744595,0.3022
"37","F037_EscuiersBregoigne_BnF-1630",8,5.83529411764706,0.34171
"38","F038_EstormiHuesPiaucele_BnF-837",33,31.4706887883358,0.77811
"39","F039_Estula_Bern-354",2,6.98240321769734,0.05087
"40","F040_FemmeCunquieBaron_BnF-12603",3,4.23931623931624,0.53603
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,2.04484665661136,0.41366
"42","F042_FolVilain_Nott-6",10,18.7527400703871,0.03618
"43","F043_FoutreFosse_Bern-354",9,6.23428858722976,0.25591
"44","F044_FrereDeniseRutebeuf_BnF-1635",16,16.8076420311714,0.83819
"45","F045_GauteronMarion_Berlin-257",2,1.64585218702866,0.86736
"46","F046_Gombert2ClersBodel_Berlin-257",9,9.57586726998492,0.84465
"47","F047_Grue1_Bern-354",4,8.02976370035194,0.14168
"48","F048_LaidChevalier_BnF-1630",NA,2.19446958270488,0.11663
"49","F049_Linceul1_BnF-12581",1,3.84032176973353,0.14527
"50","F050_MaignienDame_Bern-354",5,5.68567119155354,0.75214
"51","F051_MaleHonte1Guillaume_BnF-2173",13,7.83026646556058,0.05169
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",11,10.3239819004525,0.82555
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",9,7.93001508295626,0.68877
"54","F054_MarcheantAsne_BnF-1630",9,5.43629964806435,0.10558
"55","F055_MariEborgne1_BnF-12581",6,4.13956762192056,0.38252
"56","F056_MellinMellot_BnF-1630",3,5.38642533936652,0.30749
"57","F057_Meunier2Clers_Bern-354",9,16.0595274007039,0.06719
"58","F058_Nonete2_BnF-1630",1,1.6957264957265,0.57062
"59","F059_OueChapelain_Berlin-257",3,5.33655103066868,0.31406
"60","F060_Perdris_BnF-837",6,7.83026646556058,0.51328
"61","F061_PetVilainRutebeuf_BnF-837",6,3.84032176973353,0.23624
"62","F062_Porcelet_Bern-354",8,3.19195575666164,0.00889
"63","F063_PrestreAbevete_BnF-12603",8,4.23931623931624,0.055
"64","F064_PrestreCrucefie_BnF-837",5,4.98743086978381,0.99056
"65","F065_PrestreLardier_BnF-12483",7,8.82775263951735,0.53559
"66","F066_PrestreLeu_Berlin-257",1,1.39648064353947,0.82599
"67","F067_PrestreMoutonHaisiau_Berlin-257",NA,0.897737556561086,0.42364
"68","F068_PrestreMures1Guerin_BnF-19152",5,4.88768225238814,0.92293
"69","F069_PrestrePassion_BnF-19152",6,3.24183006535948,0.10922
"70","F070_PrestreTeint_Berlin-257",25,22.0943187531423,0.52047
"71","F071_PreudomeCompereNoier_BnF-19152",5,3.89019607843137,0.52571
"72","F072_Puis1_BnF-12581",32,11.6207139265963,0
"73","F073_PutainsLecheors_Nott-6",4,4.33906485671192,0.9002
"74","F074_quPrestresHaisiau_Berlin-257",3,3.98994469582705,0.62947
"75","F075_quSohaisMartin_Bern-354",13,9.97486173956762,0.32193
"76","F076_RoiRibaud_BnF-1630",1,0.897737556561086,0.81563
"77","F077_Saineresse_BnF-837",3,5.83529411764706,0.23726
"78","F078_Segretain2_Berlin-257",30,40.3981900452489,0.0873
"79","F079_Sohais_Nott-6",13,9.47611865258924,0.23595
"80","F080_SohaizDesvezBodel_Bern-354",18,10.8725992961287,0.02561
"81","F081_SotChevalierGautierLeLeu_BnF-837",14,15.9099044746104,0.62511
"82","F082_SotChevalierGautierLeLeu_Nott-6",13,16.1094017094017,0.42335
"83","F083_TestamentAsneRutebeuf_BnF-1635",7,8.52850678733032,0.59108
"84","F084_trAveuglesCortebarbe_BnF-12603",6,16.5582704876823,0.00744
"85","F085_trAveuglesCortebarbe_BnF-837",6,16.7078934137758,0.00708
"86","F086_trBocusDurant_BnF-837",16,14.8625439919558,0.76066
"87","F087_trChanoinessesWatriquet_Ars-3525",4,10.0247360482655,0.04858
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525",7,15.3114127702363,0.02675
"89","F089_trDamesVit1_BnF-1593",4,6.43378582202112,0.33716
"90","F090_Tresces1Garin_Bern-354",15,15.6605329311212,0.86398
