"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",4,4.67511312217195,0.73073
"2","F002_AnelRoides_BnF-1593",3,1.89230769230769,0.3501
"3","F003_Auberee_Berlin-257",24,24.2289592760181,0.96276
"4","F004_BaratHaimetBodel_BnF-19152",27,18.8859728506787,0.05359
"5","F005_Berangier1_Bern-354",9,11.0199095022624,0.5353
"6","F006_Boivin_BnF-837",6,14.1366515837104,0.02532
"7","F007_BorgeoiseOrliens_Berlin-257",15,12.0588235294118,0.3856
"8","F008_BotaPierre1_Bern-354",3,2.37466063348416,0.62901
"9","F009_BouchierAbeville_BnF-837",12,21.0380090497738,0.04121
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",4,4.34117647058823,0.90073
"11","F011_Brifaut_Bern-354",5,3.22805429864253,0.32293
"12","F012_BrunainBodel_BnF-837",1,2.70859728506787,0.28501
"13","F013_CharlotRutebeuf_BnF-1635",NA,4.93484162895928,0.02537
"14","F014_Charme1_BnF-12581",1,3.07963800904977,0.20341
"15","F015_ChevalierConfesse_BnF-837",4,10.6488687782805,0.03555
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",32,23.0045248868778,0.05119
"17","F017_ConBesche_BnF-837",2,3.07963800904977,0.49794
"18","F018_ConGautierLeLeu_BnF-19152",16,14.4334841628959,0.67438
"19","F019_ConnebertGautierLeLeu_Bern-354",19,11.6506787330317,0.02744
"20","F020_Cons_BnF-837",5,2.07782805429864,0.03512
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,1.37285067873303,0.8256
"22","F022_ContrarieuseMarieDeFrance_York-16",1,1.33574660633484,0.82401
"23","F023_CovoteusEnvieusBodel_BnF-19152",3,3.22805429864253,0.88641
"24","F024_Crote_BnF-1593",NA,2.33755656108597,0.13028
"25","F025_CugnieMarieDeFrance_Nott-6",NA,0.593665158371041,0.38633
"26","F026_DameChastiee_BnF-1630",1,1.15022624434389,0.81762
"27","F027_DameEscoillee_Nott-6",13,25.0452488687783,0.01262
"28","F028_DameTorsMoustierRutebeuf_BnF-837",3,6.3447963800905,0.17921
"29","F029_DamoiseleFoutre1_BnF-837",10,4.56380090497738,0.01042
"30","F030_DamoiseleFoutre2_Bern-354",11,7.8289592760181,0.24068
"31","F031_DamoiseleSonjoit_Bern-354",4,2.78280542986425,0.45289
"32","F032_deAngloys_BnF-19152",3,4.34117647058823,0.53953
"33","F033_DebatCulCon_BnF-837",4,4.04434389140271,0.95526
"34","F034_deChevausBodel_BnF-837",11,8.79366515837104,0.44751
"35","F035_deVilains_Nott-6",9,6.75294117647059,0.37903
"36","F036_DieuPescour_Nott-6",12,9.27601809954751,0.36012
"37","F037_EscuiersBregoigne_BnF-1630",1,4.34117647058823,0.10536
"38","F038_EstormiHuesPiaucele_BnF-837",22,23.4126696832579,0.76307
"39","F039_Estula_Bern-354",10,5.19457013574661,0.02887
"40","F040_FemmeCunquieBaron_BnF-12603",3,3.15384615384615,0.88841
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,1.52126696832579,0.63071
"42","F042_FolVilain_Nott-6",26,13.9511312217195,0.00148
"43","F043_FoutreFosse_Bern-354",7,4.63800904977376,0.28508
"44","F044_FrereDeniseRutebeuf_BnF-1635",12,12.50407239819,0.88467
"45","F045_GauteronMarion_Berlin-257",NA,1.22443438914027,0.26177
"46","F046_Gombert2ClersBodel_Berlin-257",14,7.12398190045249,0.00903
"47","F047_Grue1_Bern-354",7,5.9737556561086,0.66232
"48","F048_LaidChevalier_BnF-1630",2,1.63257918552036,0.86732
"49","F049_Linceul1_BnF-12581",4,2.85701357466063,0.45586
