"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",NA,3.44615384615385,0.0619
"2","F002_AnelRoides_BnF-1593",3,1.39487179487179,0.1052
"3","F003_Auberee_Berlin-257",4,17.8598290598291,0.00113
"4","F004_BaratHaimetBodel_BnF-19152",7,13.9213675213675,0.0567
"5","F005_Berangier1_Bern-354",13,8.12307692307692,0.07992
"6","F006_Boivin_BnF-837",5,10.4205128205128,0.08447
"7","F007_BorgeoiseOrliens_Berlin-257",6,8.88888888888889,0.32337
"8","F008_BotaPierre1_Bern-354",2,1.75042735042735,0.8667
"9","F009_BouchierAbeville_BnF-837",10,15.5076923076923,0.14963
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",14,3.2,0
"11","F011_Brifaut_Bern-354",3,2.37948717948718,0.63215
"12","F012_BrunainBodel_BnF-837",7,1.9965811965812,0.00216
"13","F013_CharlotRutebeuf_BnF-1635",4,3.63760683760684,0.89528
"14","F014_Charme1_BnF-12581",5,2.27008547008547,0.05044
"15","F015_ChevalierConfesse_BnF-837",3,7.84957264957265,0.07616
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",22,16.957264957265,0.20567
"17","F017_ConBesche_BnF-837",2,2.27008547008547,0.86396
"18","F018_ConGautierLeLeu_BnF-19152",9,10.6393162393162,0.60789
"19","F019_ConnebertGautierLeLeu_Bern-354",13,8.58803418803419,0.12215
"20","F020_Cons_BnF-837",1,1.53162393162393,0.61402
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",2,1.01196581196581,0.42075
"22","F022_ContrarieuseMarieDeFrance_York-16",2,0.984615384615385,0.25007
"23","F023_CovoteusEnvieusBodel_BnF-19152",NA,2.37948717948718,0.13201
"24","F024_Crote_BnF-1593",4,1.72307692307692,0.06096
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.437606837606838,0.2145
"26","F026_DameChastiee_BnF-1630",1,0.847863247863248,0.82003
"27","F027_DameEscoillee_Nott-6",28,18.4615384615385,0.02201
"28","F028_DameTorsMoustierRutebeuf_BnF-837",3,4.67692307692308,0.42115
"29","F029_DamoiseleFoutre1_BnF-837",1,3.36410256410256,0.20498
"30","F030_DamoiseleFoutre2_Bern-354",3,5.77094017094017,0.23945
"31","F031_DamoiseleSonjoit_Bern-354",1,2.05128205128205,0.42244
"32","F032_deAngloys_BnF-19152",2,3.2,0.48301
"33","F033_DebatCulCon_BnF-837",1,2.98119658119658,0.25466
"34","F034_deChevausBodel_BnF-837",6,6.48205128205128,0.85179
"35","F035_deVilains_Nott-6",4,4.97777777777778,0.66674
"36","F036_DieuPescour_Nott-6",3,6.83760683760684,0.13501
"37","F037_EscuiersBregoigne_BnF-1630",5,3.2,0.32578
"38","F038_EstormiHuesPiaucele_BnF-837",17,17.2581196581197,0.95047
"39","F039_Estula_Bern-354",9,3.82905982905983,0.00951
"40","F040_FemmeCunquieBaron_BnF-12603",2,2.32478632478632,0.86728
"41","F041_FemmePendreMarieDeFrance_BnF-1593",1,1.12136752136752,0.81756
"42","F042_FolVilain_Nott-6",10,10.2837606837607,0.9283
"43","F043_FoutreFosse_Bern-354",NA,3.41880341880342,0.06436
"44","F044_FrereDeniseRutebeuf_BnF-1635",4,9.21709401709402,0.0768
"45","F045_GauteronMarion_Berlin-257",NA,0.902564102564103,0.42251
"46","F046_Gombert2ClersBodel_Berlin-257",6,5.25128205128205,0.74664
"47","F047_Grue1_Bern-354",5,4.4034188034188,0.75051
"48","F048_LaidChevalier_BnF-1630",1,1.2034188034188,0.81713
"49","F049_Linceul1_BnF-12581",1,2.10598290598291,0.40638
"50","F050_MaignienDame_Bern-354",6,3.11794871794872,0.10246
"51","F051_MaleHonte1Guillaume_BnF-2173",6,4.29401709401709,0.39444
"52","F052_MaleHonte2HuonDeCambrai_Bern-354",6,5.66153846153846,0.90471
"53","F053_MaleHonte2HuonDeCambrai_BnF-837",6,4.34871794871795,0.40093
"54","F054_MarcheantAsne_BnF-1630",2,2.98119658119658,0.5873
"55","F055_MariEborgne1_BnF-12581",5,2.27008547008547,0.05027
"56","F056_MellinMellot_BnF-1630",2,2.95384615384615,0.61105
