"","text","obs_freq","exp_freq","p_value"
"1","F001_AmantEpee1_BnF-12581",4,3.24343891402715,0.68444
"2","F002_AnelRoides_BnF-1593",2,1.31282051282051,0.52534
"3","F003_Auberee_Berlin-257",27,16.8092508798391,0.0106
"4","F004_BaratHaimetBodel_BnF-19152",4,13.1024635495224,0.01018
"5","F005_Berangier1_Bern-354",15,7.64524886877828,0.00716
"6","F006_Boivin_BnF-837",10,9.80754147812971,0.95087
"7","F007_BorgeoiseOrliens_Berlin-257",14,8.36601307189543,0.04381
"8","F008_BotaPierre1_Bern-354",1,1.64746103569633,0.57324
"9","F009_BouchierAbeville_BnF-837",10,14.5954751131222,0.21637
"10","F010_BraiesPriestreJeanDeConde_Rome-1598",1,3.01176470588235,0.23664
"11","F011_Brifaut_Bern-354",4,2.2395173453997,0.23086
"12","F012_BrunainBodel_BnF-837",2,1.87913524384113,0.86564
"13","F013_CharlotRutebeuf_BnF-1635",2,3.42362996480644,0.46969
"14","F014_Charme1_BnF-12581",2,2.13655103066868,0.86291
"15","F015_ChevalierConfesse_BnF-837",13,7.38783308195073,0.03349
"16","F016_ChevalierParlerCons1Guerin_BnF-19152",17,15.9597787833082,0.79016
"17","F017_ConBesche_BnF-837",3,2.13655103066868,0.62672
"18","F018_ConGautierLeLeu_BnF-19152",5,10.0134741075918,0.10258
"19","F019_ConnebertGautierLeLeu_Bern-354",7,8.08285570638512,0.69839
"20","F020_Cons_BnF-837",NA,1.44152840623429,0.28092
"21","F021_ContrarieuseMarieDeFrance_BnF-1593",1,0.952438411261941,0.82161
"22","F022_ContrarieuseMarieDeFrance_York-16",NA,0.926696832579185,0.42401
"23","F023_CovoteusEnvieusBodel_BnF-19152",NA,2.2395173453997,0.12075
"24","F024_Crote_BnF-1593",5,1.62171945701357,0.01353
"25","F025_CugnieMarieDeFrance_Nott-6",1,0.411865258924082,0.20066
"26","F026_DameChastiee_BnF-1630",1,0.79798893916541,0.82093
"27","F027_DameEscoillee_Nott-6",18,17.3755656108597,0.87955
"28","F028_DameTorsMoustierRutebeuf_BnF-837",2,4.40180995475113,0.25696
"29","F029_DamoiseleFoutre1_BnF-837",2,3.16621417797888,0.48653
"30","F030_DamoiseleFoutre2_Bern-354",6,5.43147310206134,0.79843
"31","F031_DamoiseleSonjoit_Bern-354",NA,1.93061840120664,0.18753
"32","F032_deAngloys_BnF-19152",1,3.01176470588235,0.2421
"33","F033_DebatCulCon_BnF-837",2,2.80583207642031,0.65046
"34","F034_deChevausBodel_BnF-837",4,6.10075414781297,0.38335
"35","F035_deVilains_Nott-6",3,4.68496732026144,0.42058
"36","F036_DieuPescour_Nott-6",1,6.43539467068879,0.02899
"37","F037_EscuiersBregoigne_BnF-1630",4,3.01176470588235,0.58457
"38","F038_EstormiHuesPiaucele_BnF-837",30,16.2429361488185,0.00075
"39","F039_Estula_Bern-354",3,3.60382101558572,0.71269
"40","F040_FemmeCunquieBaron_BnF-12603",2,2.18803418803419,0.86569
