"","length"
"F001_AmantEpee1_BnF-12581","126"
"F002_AnelRoides_BnF-1593","51"
"F003_Auberee_Berlin-257","653"
"F004_BaratHaimetBodel_BnF-19152","509"
"F005_Berangier1_Bern-354","297"
"F006_Boivin_BnF-837","381"
"F007_BorgeoiseOrliens_Berlin-257","325"
"F008_BotaPierre1_Bern-354","64"
"F009_BouchierAbeville_BnF-837","567"
"F010_BraiesPriestreJeanDeConde_Rome-1598","117"
"F011_Brifaut_Bern-354","87"
"F012_BrunainBodel_BnF-837","73"
"F013_CharlotRutebeuf_BnF-1635","133"
"F014_Charme1_BnF-12581","83"
"F015_ChevalierConfesse_BnF-837","287"
"F016_ChevalierParlerCons1Guerin_BnF-19152","620"
"F017_ConBesche_BnF-837","83"
"F018_ConGautierLeLeu_BnF-19152","389"
"F019_ConnebertGautierLeLeu_Bern-354","314"
"F020_Cons_BnF-837","56"
"F021_ContrarieuseMarieDeFrance_BnF-1593","37"
"F022_ContrarieuseMarieDeFrance_York-16","36"
"F023_CovoteusEnvieusBodel_BnF-19152","87"
"F024_Crote_BnF-1593","63"
"F025_CugnieMarieDeFrance_Nott-6","16"
"F026_DameChastiee_BnF-1630","31"
"F027_DameEscoillee_Nott-6","675"
"F028_DameTorsMoustierRutebeuf_BnF-837","171"
"F029_DamoiseleFoutre1_BnF-837","123"
"F030_DamoiseleFoutre2_Bern-354","211"
"F031_DamoiseleSonjoit_Bern-354","75"
"F032_deAngloys_BnF-19152","117"
"F033_DebatCulCon_BnF-837","109"
"F034_deChevausBodel_BnF-837","237"
"F035_deVilains_Nott-6","182"
"F036_DieuPescour_Nott-6","250"
"F037_EscuiersBregoigne_BnF-1630","117"
"F038_EstormiHuesPiaucele_BnF-837","631"
"F039_Estula_Bern-354","140"
"F040_FemmeCunquieBaron_BnF-12603","85"
"F041_FemmePendreMarieDeFrance_BnF-1593","41"
"F042_FolVilain_Nott-6","376"
"F043_FoutreFosse_Bern-354","125"
"F044_FrereDeniseRutebeuf_BnF-1635","337"
"F045_GauteronMarion_Berlin-257","33"
"F046_Gombert2ClersBodel_Berlin-257","192"
"F047_Grue1_Bern-354","161"
"F048_LaidChevalier_BnF-1630","44"
"F049_Linceul1_BnF-12581","77"
"F050_MaignienDame_Bern-354","114"
"F051_MaleHonte1Guillaume_BnF-2173","157"
"F052_MaleHonte2HuonDeCambrai_Bern-354","207"
"F053_MaleHonte2HuonDeCambrai_BnF-837","159"
"F054_MarcheantAsne_BnF-1630","109"
"F055_MariEborgne1_BnF-12581","83"
"F056_MellinMellot_BnF-1630","108"
"F057_Meunier2Clers_Bern-354","322"
"F058_Nonete2_BnF-1630","34"
"F059_OueChapelain_Berlin-257","107"
"F060_Perdris_BnF-837","157"
"F061_PetVilainRutebeuf_BnF-837","77"
"F062_Porcelet_Bern-354","64"
"F063_PrestreAbevete_BnF-12603","85"
"F064_PrestreCrucefie_BnF-837","100"
"F065_PrestreLardier_BnF-12483","177"
"F066_PrestreLeu_Berlin-257","28"
"F067_PrestreMoutonHaisiau_Berlin-257","18"
"F068_PrestreMures1Guerin_BnF-19152","98"
"F069_PrestrePassion_BnF-19152","65"
"F070_PrestreTeint_Berlin-257","443"
"F071_PreudomeCompereNoier_BnF-19152","78"
"F072_Puis1_BnF-12581","233"
"F073_PutainsLecheors_Nott-6","87"
"F074_quPrestresHaisiau_Berlin-257","80"
"F075_quSohaisMartin_Bern-354","200"
"F076_RoiRibaud_BnF-1630","18"
"F077_Saineresse_BnF-837","117"
"F078_Segretain2_Berlin-257","810"
"F079_Sohais_Nott-6","190"
"F080_SohaizDesvezBodel_Bern-354","218"
"F081_SotChevalierGautierLeLeu_BnF-837","319"
"F082_SotChevalierGautierLeLeu_Nott-6","323"
"F083_TestamentAsneRutebeuf_BnF-1635","171"
"F084_trAveuglesCortebarbe_BnF-12603","332"
"F085_trAveuglesCortebarbe_BnF-837","335"
"F086_trBocusDurant_BnF-837","298"
"F087_trChanoinessesWatriquet_Ars-3525","201"
"F088_trDamesParisWatriquetDeCouvin_Ars-3525","307"
"F089_trDamesVit1_BnF-1593","129"
"F090_Tresces1Garin_Bern-354","314"
"F091_Tresces1Garin_BnF-12581","268"
"F092_Tresces2_BnF-19152","437"
"F093_unFemme100Chevaliers_BnF-25545","193"
"F094_Veuve_Nott-6","501"
"F095_VieillePalme_BnF-2173","56"
"F096_VilainAsnier_BnF-19152","52"
"F097_VilainBailluelBodel_BnF-837","117"
"F098_VilainFarbuBodel_BnF-2168","136"
"F099_VilainMire_Berlin-257","385"
"F100_VilainOstelSire_Lyon-5495","106"
"F101_VilainParadis_Nott-6","173"
