"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"delit",24,0.00120663650075415,24,0.000200499578115471,119701,0,0,99811,Inf
"dangier",21,0.00105580693815988,21,0.000175437130851037,119701,0,0,99811,Inf
"delivre",18,0.000904977375565611,18,0.000150374683586603,119701,0,0,99811,Inf
"sené",12,0.000603318250377074,12,0.000100249789057736,119701,0,0,99811,Inf
"toucher",12,0.000603318250377074,12,0.000100249789057736,119701,0,0,99811,Inf
"Germain",11,0.000553041729512318,11,9.18956399695909e-05,119701,0,0,99811,Inf
"venger",11,0.000553041729512318,11,9.18956399695909e-05,119701,0,0,99811,Inf
"contredit",10,0.000502765208647562,10,8.35414908814463e-05,119701,0,0,99811,Inf
"reconforter",10,0.000502765208647562,10,8.35414908814463e-05,119701,0,0,99811,Inf
"entier",22,0.00110608345902464,23,0.000192145429027326,119701,1,1.00189357886405e-05,99811,110.399296128708
"apercevoir",35,0.00175967823026647,37,0.000309103516261351,119701,2,2.00378715772811e-05,99811,87.8176219205631
"deviser",14,0.000703871292106586,15,0.000125312236322169,119701,1,1.00189357886405e-05,99811,70.2540975364505
"sovenir",12,0.000603318250377074,13,0.00010860393814588,119701,1,1.00189357886405e-05,99811,60.2177978883861
"prover",22,0.00110608345902464,24,0.000200499578115471,119701,2,2.00378715772811e-05,99811,55.1996480643539
"apareillier",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"consentir",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"demaintenant",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"desvoiier",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"doloir",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"droiture",11,0.000553041729512318,12,0.000100249789057736,119701,1,1.00189357886405e-05,99811,55.1996480643539
"esperdre",10,0.000502765208647562,11,9.18956399695909e-05,119701,1,1.00189357886405e-05,99811,50.1814982403218
"pener",10,0.000502765208647562,11,9.18956399695909e-05,119701,1,1.00189357886405e-05,99811,50.1814982403218
"place",10,0.000502765208647562,11,9.18956399695909e-05,119701,1,1.00189357886405e-05,99811,50.1814982403218
"prouver",10,0.000502765208647562,11,9.18956399695909e-05,119701,1,1.00189357886405e-05,99811,50.1814982403218
"vermeil",10,0.000502765208647562,11,9.18956399695909e-05,119701,1,1.00189357886405e-05,99811,50.1814982403218
"assener",18,0.000904977375565611,20,0.000167082981762893,119701,2,2.00378715772811e-05,99811,45.1633484162896
"découvrir",9,0.000452488687782805,10,8.35414908814463e-05,119701,1,1.00189357886405e-05,99811,45.1633484162896
"hontos",9,0.000452488687782805,10,8.35414908814463e-05,119701,1,1.00189357886405e-05,99811,45.1633484162896
