"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"demaintenant",11,0.0120614035087719,12,0.000100249789057736,119701,1.00189357886405e-05,99811,1203.86074561404
"commandement",16,0.0175438596491228,19,0.000158728832674748,119701,3.00568073659216e-05,99811,583.690058479532
"isnellement",20,0.0219298245614035,25,0.000208853727203616,119701,5.00946789432027e-05,99811,437.767543859649
"briément",10,0.0109649122807018,13,0.00010860393814588,119701,3.00568073659216e-05,99811,364.806286549708
"seulement",7,0.00767543859649123,10,8.35414908814463e-05,119701,3.00568073659216e-05,99811,255.364400584795
"longuement",12,0.0131578947368421,20,0.000167082981762893,119701,8.01514863091242e-05,99811,164.162828947368
"errer",6,0.00657894736842105,11,9.18956399695909e-05,119701,5.00946789432027e-05,99811,131.330263157895
"privément",6,0.00657894736842105,11,9.18956399695909e-05,119701,5.00946789432027e-05,99811,131.330263157895
"voirement",6,0.00657894736842105,11,9.18956399695909e-05,119701,5.00946789432027e-05,99811,131.330263157895
"command",8,0.0087719298245614,16,0.000133666385410314,119701,8.01514863091242e-05,99811,109.441885964912
"hautement",6,0.00657894736842105,13,0.00010860393814588,119701,7.01325505204837e-05,99811,93.8073308270677
"tens",11,0.0120614035087719,24,0.000200499578115471,119701,0.000130246165252327,99811,92.6046727395412
"coiement",8,0.0087719298245614,19,0.000158728832674748,119701,0.000110208293675046,99811,79.5940988835726
"jomment",8,0.0087719298245614,19,0.000158728832674748,119701,0.000110208293675046,99811,79.5940988835726
"durement",11,0.0120614035087719,29,0.000242270323556194,119701,0.00018034084419553,99811,66.8811525341131
"itant",4,0.0043859649122807,11,9.18956399695909e-05,119701,7.01325505204837e-05,99811,62.5382205513784
"mentir",12,0.0131578947368421,36,0.000300749367173207,119701,0.000240454458927373,99811,54.7209429824561
"malement",4,0.0043859649122807,12,0.000100249789057736,119701,8.01514863091242e-05,99811,54.7209429824561
"avant",25,0.0274122807017544,77,0.000643269479787136,119701,0.000520984661009308,99811,52.6162913292847
"franc",3,0.00328947368421053,11,9.18956399695909e-05,119701,8.01514863091242e-05,99811,41.0407072368421
"jugement",3,0.00328947368421053,11,9.18956399695909e-05,119701,8.01514863091242e-05,99811,41.0407072368421
"maintenant",25,0.0274122807017544,93,0.00077693586519745,119701,0.000681287633627556,99811,40.2359874871001
"commander",11,0.0120614035087719,46,0.000384290858054653,119701,0.000350662752602419,99811,34.3960213032581
"semblant",4,0.0043859649122807,17,0.000142020534498459,119701,0.000130246165252327,99811,33.6744264507422
"enfant",6,0.00657894736842105,29,0.000242270323556194,119701,0.000230435523138732,99811,28.550057208238
"talent",7,0.00767543859649123,35,0.000292395218085062,119701,0.000280530202081935,99811,27.3604714912281
"an",3,0.00328947368421053,15,0.000125312236322169,119701,0.000120227229463686,99811,27.3604714912281
"autrement",3,0.00328947368421053,15,0.000125312236322169,119701,0.000120227229463686,99811,27.3604714912281
"forment",2,0.00219298245614035,10,8.35414908814463e-05,119701,8.01514863091242e-05,99811,27.3604714912281
