"","type_a","type_b","type_c","type_d","total","obs_rate_a","obs_rate_b","obs_rate_c","obs_rate_d","p_value_type_a","p_value_type_b","p_value_type_c","p_value_type_d"
"F001_AmantEpee1_BnF-12581",1,0,4,0,5,0.2,0,0.8,0,0.81156,0.38945,0.00885,0.16388
"F002_AnelRoides_BnF-1593",0,0,1,0,1,0,0,1,0,0.6371,0.58655,0.13013,0.65136
"F003_Auberee_Berlin-257",7,8,4,6,25,0.28,0.32,0.16,0.24,0.94187,0.02888,0.23427,0.50349
"F004_BaratHaimetBodel_BnF-19152",2,15,3,1,21,0.0952380952380952,0.714285714285714,0.142857142857143,0.0476190476190476,0.0615,0,0.20745,0.00987
"F005_Berangier1_Bern-354",4,0,2,4,10,0.4,0,0.2,0.4,0.38756,0.14463,0.61149,0.5233
"F006_Boivin_BnF-837",9,5,10,13,37,0.243243243243243,0.135135135135135,0.27027027027027,0.351351351351351,0.67522,0.66437,0.92603,0.4972
"F007_BorgeoiseOrliens_Berlin-257",5,0,1,1,7,0.714285714285714,0,0.142857142857143,0.142857142857143,0.01002,0.22675,0.53384,0.33059
"F008_BotaPierre1_Bern-354",2,0,1,4,7,0.285714285714286,0,0.142857142857143,0.571428571428571,0.85646,0.22823,0.53398,0.15488
"F009_BouchierAbeville_BnF-837",10,6,2,57,75,0.133333333333333,0.08,0.0266666666666667,0.76,0.00488,0.04675,0,0
"F010_BraiesPriestreJeanDeConde_Rome-1598",2,1,3,0,6,0.333333333333333,0.166666666666667,0.5,0,0.84448,0.8794,0.27048,0.12448
"F011_Brifaut_Bern-354",1,0,1,6,8,0.125,0,0.125,0.75,0.33937,0.24058,0.3426,0.00552
"F012_BrunainBodel_BnF-837",0,2,0,0,2,0,1,0,0,0.33529,0.01223,0.34731,0.33382
"F013_CharlotRutebeuf_BnF-1635",2,1,1,3,7,0.285714285714286,0.142857142857143,0.142857142857143,0.428571428571429,0.85766,0.80552,0.53634,0.55871
"F014_Charme1_BnF-12581",0,0,1,1,2,0,0,0.5,0.5,0.33673,0.65028,0.7965,0.7918
"F015_ChevalierConfesse_BnF-837",3,0,4,3,10,0.3,0,0.4,0.3,0.86805,0.14408,0.3829,0.98621
"F016_ChevalierParlerCons1Guerin_BnF-19152",8,12,10,0,30,0.266666666666667,0.4,0.333333333333333,0,0.93094,8e-04,0.38041,0.00028
"F017_ConBesche_BnF-837",1,0,2,1,4,0.25,0,0.5,0.25,0.79325,0.37221,0.45665,0.79776
"F018_ConGautierLeLeu_BnF-19152",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"F019_ConnebertGautierLeLeu_Bern-354",7,0,7,1,15,0.466666666666667,0,0.466666666666667,0.0666666666666667,0.10034,0.09737,0.06864,0.04623
"F020_Cons_BnF-837",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"F021_ContrarieuseMarieDeFrance_BnF-1593",1,0,1,0,2,0.5,0,0.5,0,0.80204,0.64857,0.79769,0.33261
"F022_ContrarieuseMarieDeFrance_York-16",1,0,1,0,2,0.5,0,0.5,0,0.80247,0.6528,0.79594,0.33287
"F023_CovoteusEnvieusBodel_BnF-19152",0,1,0,0,1,0,1,0,0,0.63966,0.07883,0.6354,0.65255
"F024_Crote_BnF-1593",2,4,0,2,8,0.25,0.5,0,0.25,0.8487,0.01401,0.07373,0.83986
"F025_CugnieMarieDeFrance_Nott-6",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"F026_DameChastiee_BnF-1630",1,0,1,0,2,0.5,0,0.5,0,0.80332,0.64842,0.79777,0.33283
"F027_DameEscoillee_Nott-6",19,3,19,37,78,0.243589743589744,0.0384615384615385,0.243589743589744,0.474358974358974,0.54123,0.00241,0.68174,5e-04
"F028_DameTorsMoustierRutebeuf_BnF-837",4,3,2,1,10,0.4,0.3,0.2,0.1,0.38804,0.30183,0.60715,0.16985
"F029_DamoiseleFoutre1_BnF-837",4,0,0,12,16,0.25,0,0,0.75,0.86446,0.06799,0.01374,0.00012
"F030_DamoiseleFoutre2_Bern-354",3,9,6,2,20,0.15,0.45,0.3,0.1,0.21549,0.00124,0.7143,0.0466
"F031_DamoiseleSonjoit_Bern-354",1,0,0,0,1,1,0,0,0,0.1348,0.58748,0.63446,0.6519
"F032_deAngloys_BnF-19152",1,0,1,7,9,0.111111111111111,0,0.111111111111111,0.777777777777778,0.31464,0.23499,0.35197,0.00205
"F033_DebatCulCon_BnF-837",0,0,3,5,8,0,0,0.375,0.625,0.07371,0.23959,0.57241,0.0364
"F034_deChevausBodel_BnF-837",1,3,1,1,6,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.51665,0.03031,0.52476,0.52035
"F035_deVilains_Nott-6",1,0,2,0,3,0.333333333333333,0,0.666666666666667,0,0.78927,0.63828,0.09218,0.38199
"F036_DieuPescour_Nott-6",3,1,6,1,11,0.272727272727273,0.0909090909090909,0.545454545454545,0.0909090909090909,0.98643,0.54939,0.02694,0.13962
"F037_EscuiersBregoigne_BnF-1630",1,0,6,0,7,0.142857142857143,0,0.857142857142857,0,0.53158,0.22765,0.00076,0.06676
"F038_EstormiHuesPiaucele_BnF-837",4,17,10,15,46,0.0869565217391304,0.369565217391304,0.217391304347826,0.326086956521739,0.00341,0.00026,0.47202,0.70752
"F039_Estula_Bern-354",5,1,4,3,13,0.384615384615385,0.0769230769230769,0.307692307692308,0.230769230769231,0.40601,0.37579,0.68848,0.62344
"F040_FemmeCunquieBaron_BnF-12603",1,1,0,0,2,0.5,0.5,0,0,0.80272,0.16077,0.34527,0.33478
"F041_FemmePendreMarieDeFrance_BnF-1593",1,0,0,0,1,1,0,0,0,0.13656,0.58941,0.63437,0.65592
"F042_FolVilain_Nott-6",8,0,12,1,21,0.380952380952381,0,0.571428571428571,0.0476190476190476,0.27285,0.04363,0.00133,0.0099
"F043_FoutreFosse_Bern-354",1,1,0,10,12,0.0833333333333333,0.0833333333333333,0,0.833333333333333,0.14779,0.51868,0.03058,0.00011
"F044_FrereDeniseRutebeuf_BnF-1635",3,0,8,0,11,0.272727272727273,0,0.727272727272727,0,0.98611,0.15225,0.00067,0.02997
"F045_GauteronMarion_Berlin-257",1,0,0,0,1,1,0,0,0,0.1357,0.58861,0.63411,0.65606
"F046_Gombert2ClersBodel_Berlin-257",0,5,0,4,9,0,0.555555555555556,0,0.444444444444444,0.07749,0.00361,0.08771,0.37749
"F047_Grue1_Bern-354",2,4,4,8,18,0.111111111111111,0.222222222222222,0.222222222222222,0.444444444444444,0.12564,0.46121,0.69314,0.17824
"F048_LaidChevalier_BnF-1630",1,0,1,0,2,0.5,0,0.5,0,0.80373,0.65128,0.79596,0.33381
"F049_Linceul1_BnF-12581",1,0,1,12,14,0.0714285714285714,0,0.0714285714285714,0.857142857142857,0.09812,0.09898,0.09505,1e-05
"F050_MaignienDame_Bern-354",3,2,3,2,10,0.3,0.2,0.3,0.2,0.87118,0.85279,0.86684,0.49606
"F051_MaleHonte1Guillaume_BnF-2173",3,1,1,0,5,0.6,0.2,0.2,0,0.07434,0.80626,0.80566,0.1623
"F052_MaleHonte2HuonDeCambrai_Bern-354",7,0,1,0,8,0.875,0,0.125,0,0.00029,0.23986,0.34572,0.08259
"F053_MaleHonte2HuonDeCambrai_BnF-837",5,0,0,0,5,1,0,0,0,0.00062,0.38903,0.22047,0.16065
"F054_MarcheantAsne_BnF-1630",1,0,3,1,5,0.2,0,0.6,0.2,0.81103,0.38839,0.06488,0.64186
