,A,B,B1,C,D
F001_AmantEpee1_BnF-12581,1,2,0,4,0
F002_AnelRoides_BnF-1593,0,1,0,1,0
F003_Auberee_Berlin-257,7,16,8,4,6
F004_BaratHaimetBodel_BnF-19152,2,22,15,3,1
F005_Berangier1_Bern-354,4,5,0,2,4
F006_Boivin_BnF-837,9,10,5,10,13
F007_BorgeoiseOrliens_Berlin-257,5,8,0,1,1
F008_BotaPierre1_Bern-354,2,2,0,1,4
F009_BouchierAbeville_BnF-837,10,19,6,2,57
F010_BraiesPriestreJeanDeConde_Rome-1598,2,1,1,3,0
F011_Brifaut_Bern-354,1,3,0,1,6
F012_BrunainBodel_BnF-837,0,3,2,0,0
F013_CharlotRutebeuf_BnF-1635,2,1,1,1,3
F014_Charme1_BnF-12581,0,5,0,1,1
F015_ChevalierConfesse_BnF-837,3,11,0,4,3
F016_ChevalierParlerCons1Guerin_BnF-19152,8,18,12,10,0
F017_ConBesche_BnF-837,1,1,0,2,1
F018_ConGautierLeLeu_BnF-19152,0,0,0,0,0
F019_ConnebertGautierLeLeu_Bern-354,7,2,0,7,1
F020_Cons_BnF-837,0,0,0,0,0
F021_ContrarieuseMarieDeFrance_BnF-1593,1,2,0,1,0
F022_ContrarieuseMarieDeFrance_York-16,1,2,0,1,0
F023_CovoteusEnvieusBodel_BnF-19152,0,3,1,0,0
F024_Crote_BnF-1593,2,3,4,0,2
F025_CugnieMarieDeFrance_Nott-6,0,0,0,0,0
F026_DameChastiee_BnF-1630,1,0,0,1,0
F027_DameEscoillee_Nott-6,19,14,3,19,37
F028_DameTorsMoustierRutebeuf_BnF-837,4,4,3,2,1
F029_DamoiseleFoutre1_BnF-837,4,6,0,0,12
F030_DamoiseleFoutre2_Bern-354,3,5,9,6,2
F031_DamoiseleSonjoit_Bern-354,1,1,0,0,0
F032_deAngloys_BnF-19152,1,14,0,1,7
F033_DebatCulCon_BnF-837,0,5,0,3,5
F034_deChevausBodel_BnF-837,1,4,3,1,1
F035_deVilains_Nott-6,1,5,0,2,0
F036_DieuPescour_Nott-6,3,17,1,6,1
F037_EscuiersBregoigne_BnF-1630,1,0,0,6,0
F038_EstormiHuesPiaucele_BnF-837,4,8,17,10,15
F039_Estula_Bern-354,5,3,1,4,3
F040_FemmeCunquieBaron_BnF-12603,1,0,1,0,0
F041_FemmePendreMarieDeFrance_BnF-1593,1,0,0,0,0
F042_FolVilain_Nott-6,8,7,0,12,1
F043_FoutreFosse_Bern-354,1,3,1,0,10
F044_FrereDeniseRutebeuf_BnF-1635,3,1,0,8,0
F045_GauteronMarion_Berlin-257,1,2,0,0,0
F046_Gombert2ClersBodel_Berlin-257,0,4,5,0,4
