"","le","que","et","de","quand","a"
"03-Respon",0.52947,0.73971,0.3122,0.0792,0.47658,0.42991
"11-Chanoinnes",0.19766,0.28673,0.43761,0.73272,0.31503,0.00099
"20-Pommes",0.00278,0.55379,0.09376,0.07931,0.25002,0.71186
"28-BourjoiseRomme",0.00602,0.1875,0.54503,0.02063,0.08554,0.95242
"30-DeuxChevaliers",0.72925,0.35469,0.44102,0.07999,0.19101,0.61866
"31-EnfantRosti",0.02689,0.00159,0.29479,0.54753,0.60347,0.78199
"32-PovreChevalier",0.11916,0.51039,0.02177,0.21001,0.51312,0.8584
"33-ChevalierEsquier",0.02815,0.07841,1e-05,0.02378,0.88435,0.43643
"34-BourjoiseNarbonne",0.09826,0.08659,0.31404,0.23067,0.55957,0.32974
"35-ChevalierHermite",0.91557,0.64476,0.76128,0.78248,0.4511,0.9832
"36-Cordouanier",0.02882,0.02305,0.17019,0.06524,0.34705,0.75063
"37-Juitel",0.49643,0.73686,0.66355,0.43236,0.00201,0.78007
"38-EnfantSauvaMere",0.85298,0.36231,0.14177,0.75721,0.83061,0.8646
"39-EauBenoite",0.43201,0.1721,0.51549,0.94457,0.71308,0.12586
"40-RicheGetaPain",0.25951,0.0495,0.57393,0.94444,0.68458,0.259
"41-ChienMescreant",0.89018,0.10558,5e-05,0.34029,0.84741,0.23267
"42-Pecherresse",0.03543,0.58138,0.12689,0.15328,0.77558,0.36242
"53-Merlin",0.66886,0.88536,0.46172,0.8911,0.20349,0.95964
"55-FlorenceRomme",0.01656,0.0123,8e-05,0.00196,0.22283,0.82782
"57-Anneles",0.00313,0.00029,0.55618,0.49351,0.11289,0.3476
"61-Buef",0.05027,0.91924,0.07707,0.09022,0.06031,0.93474
"74-Beguine",0.939,0.40246,0.0168,0.80355,0.04699,0.90768
"Abesse",0.01696,0.65105,0.6593,0.3232,0.61702,0.1083
"SaintSauveur",0.08053,0.01006,0.05039,0.7444,0.00689,0.60831
