"","et","quant","le","de","que","a"
"03-Respon",0.31598,0.47863,0.00416,0.29759,0.59156,0.72659
"11-Chanoinnes",0.42353,0.3129,3e-05,0.54027,0.4646,0.01138
"20-Pommes",0.09581,0.24444,0.07297,0.31617,0.54143,0.46175
"28-BourjoiseRomme",0.55777,0.08309,0.04052,0.06638,0.10808,0.96911
"30-DeuxChevaliers",0.45344,0.19078,0.88551,0.00766,0.22377,0.18877
"31-EnfantRosti",0.29728,0.60528,0.78537,0.411,0.09901,0.32147
"32-PovreChevalier",0.02343,0.51507,0.85603,0.1016,0.44383,0.95592
"33-ChevalierEsquier",2e-05,0.88303,0.26232,0.08031,0.57247,0.20698
"34-BourjoiseNarbonne",0.32,0.56318,0.15305,0.0868,0.81851,0.27166
"35-ChevalierHermite",0.75009,0.44938,0.71775,0.58466,0.48547,0.85752
"36-Cordouanier",0.16337,0.34987,0.62099,0.00821,0.3623,0.94239
"37-Juitel",0.64849,0.00194,0.2809,0.27423,0.86785,0.14311
"38-EnfantSauvaMere",0.22993,0.8303,0.04843,0.9948,0.95686,0.89115
"39-EauBenoite",0.50524,0.7122,0.74012,0.78454,0.84228,0.29983
"40-RicheGetaPain",0.586,0.68628,0.05334,0.78467,0.01732,0.55449
"41-ChienMescreant",6e-05,0.84396,0.00657,0.26365,0.91405,0.31347
"42-Pecherresse",0.13027,0.77384,0.02908,0.18771,0.65463,0.70252
"53-Merlin",0.46942,0.20619,0.09416,0.85688,0.88782,0.22041
"55-FlorenceRomme",3e-05,0.22436,0.82647,0.0025,0.12491,0.68373
"57-Anneles",0.53537,0.11267,0.13188,0.80795,0.62391,0.20134
"61-Buef",0.07372,0.05945,0.64377,0.36145,0.3065,0.77755
"74-Beguine",0.01582,0.04481,0.55366,0.64969,0.27959,0.55397
"Abesse",0.6714,0.61873,0.11044,0.44876,0.26273,0.29522
"SaintSauveur",0.05217,0.00691,0.81971,0.49445,0.06906,0.38793
