"","X1","X2","X3","X4","X5","X6","X7"
"1","03-Respon","le","il","de","que","a","et"
"2","11-Chanoinnes","le","et","a","que","quand","de"
"3","20-Pommes","le","que","quand","et","a","se"
"4","28-BourjoiseRomme","le","de","et","que","a","il"
"5","30-DeuxChevaliers","le","que","de","et","a","lors"
"6","31-EnfantRosti","le","et","a","lors","son","de"
"7","32-PovreChevalier","que","le","de","a","car","en"
"8","33-ChevalierEsquier","et","le","je","que","quand","il"
"9","34-BourjoiseNarbonne","le","a","et","lors","quand","que"
"10","35-ChevalierHermite","le","et","que","quand","de","a"
"11","36-Cordouanier","le","et","de","a","en","or"
"12","37-Juitel","le","quand","et","que","a","car"
"13","38-EnfantSauvaMere","le","et","que","a","de","quand"
"14","39-EauBenoite","le","que","et","par","de","en"
"15","40-RicheGetaPain","le","que","et","quand","de","por"
"16","41-ChienMescreant","et","le","que","il","quand","si"
"17","42-Pecherresse","que","de","le","en","cel","quand"
"18","53-Merlin","le","que","et","quand","de","a"
"19","55-FlorenceRomme","que","le","mais","a","et","quand"
"20","57-Anneles","que","le","et","mais","de","il"
"21","61-Buef","le","et","que","de","a","mais"
"22","74-Beguine","le","et","quand","que","a","de"
"23","Abesse","le","que","et","quand","il","seignor"
"24","SaintSauveur","le","quand","a","de","et","que"
