"","X1","X2","X3","X4","X5","X6","X7"
"1","03-Respon","le","il","et","de","a","en"
"2","11-Chanoinnes","le","et","a","quant","de","la"
"3","20-Pommes","li","le","quant","et","a","que"
"4","28-BourjoiseRomme","l","et","de","la","il","a"
"5","30-DeuxChevaliers","de","et","a","li","que","le"
"6","31-EnfantRosti","la","et","a","le","li","lors"
"7","32-PovreChevalier","de","car","le","que","qui","je"
"8","33-ChevalierEsquier","et","quant","il","je","respont","amis"
"9","34-BourjoiseNarbonne","la","et","lors","quant","a","les"
"10","35-ChevalierHermite","et","li","quant","de","sire","car"
"11","36-Cordouanier","et","li","de","la","en","or"
"12","37-Juitel","quant","et","li","car","il","par"
"13","38-EnfantSauvaMere","et","la","li","quant","a","de"
"14","39-EauBenoite","et","par","en","le","li","qu"
"15","40-RicheGetaPain","li","que","et","quant","qui","por"
"16","41-ChienMescreant","et","le","il","qui","quant","si"
"17","42-Pecherresse","de","en","quant","et","la","qu"
"18","53-Merlin","le","et","quant","car","de","mais"
"19","55-FlorenceRomme","mais","le","que","a","et","quant"
"20","57-Anneles","et","mes","que","qui","de","la"
"21","61-Buef","et","de","que","le","la","mais"
"22","74-Beguine","et","quant","le","a","de","lors"
"23","Abesse","l","et","la","quant","sire","il"
"24","SaintSauveur","quant","l","et","le","a","de"
