"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",26,23.1951969541661,0.52947
"2","11-Chanoinnes",58,49.7730267974813,0.19766
"3","20-Pommes",58,40.470786352321,0.00278
"4","28-BourjoiseRomme",39,26.0945965734368,0.00602
"5","30-DeuxChevaliers",27,25.3697466686191,0.72925
"6","31-EnfantRosti",31,21.5038805095914,0.02689
"7","32-PovreChevalier",13,19.3293307951384,0.11916
"8","33-ChevalierEsquier",17,27.5442963830722,0.02815
"9","34-BourjoiseNarbonne",35,27.0610631131937,0.09826
"10","35-ChevalierHermite",21,20.5374139698345,0.91557
"11","36-Cordouanier",27,18.3628642553815,0.02882
"12","37-Juitel",17,19.8125640650168,0.49643
"13","38-EnfantSauvaMere",26,25.1281300336799,0.85298
"14","39-EauBenoite",17,20.2957973348953,0.43201
"15","40-RicheGetaPain",25,20.2957973348953,0.25951
"16","41-ChienMescreant",24,24.6448967638014,0.89018
"17","42-Pecherresse",10,18.3628642553815,0.03543
"18","53-Merlin",25,27.0610631131937,0.66886
"19","55-FlorenceRomme",71,91.3310880070288,0.01656
"20","57-Anneles",69,94.2304876262996,0.00313
"21","61-Buef",79,95.9218040708742,0.05027
"22","74-Beguine",25,24.6448967638014,0.939
"23","Abesse",36,25.0073217162103,0.01696
"24","SaintSauveur",49,39.0210865426856,0.08053
