"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",13,14.1982720749744,0.73971
"2","11-Chanoinnes",25,30.4671254942158,0.28673
"3","20-Pommes",22,24.7730267974813,0.55379
"4","28-BourjoiseRomme",11,15.9730560843462,0.1875
"5","30-DeuxChevaliers",19,15.5293600820032,0.35469
"6","31-EnfantRosti",2,13.1629814028408,0.00159
"7","32-PovreChevalier",14,11.831893395812,0.51039
"8","33-ChevalierEsquier",10,16.8604480890321,0.07841
"9","34-BourjoiseNarbonne",10,16.5646507541368,0.08659
"10","35-ChevalierHermite",11,12.5713867330502,0.64476
"11","36-Cordouanier",4,11.2402987260214,0.02305
"12","37-Juitel",11,12.1276907307073,0.73686
"13","38-EnfantSauvaMere",12,15.3814614145556,0.36231
"14","39-EauBenoite",17,12.4234880656026,0.1721
"15","40-RicheGetaPain",19,12.4234880656026,0.0495
"16","41-ChienMescreant",21,15.0856640796603,0.10558
"17","42-Pecherresse",13,11.2402987260214,0.58138
"18","53-Merlin",16,16.5646507541368,0.88536
"19","55-FlorenceRomme",73,55.9056962952116,0.0123
"20","57-Anneles",83,57.6804803045834,0.00029
"21","61-Buef",58,58.7157709767169,0.91924
"22","74-Beguine",12,15.0856640796603,0.40246
"23","Abesse",17,15.3075120808317,0.65105
"24","SaintSauveur",12,23.8856347927954,0.01006
