"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",10,13.5516180992825,0.3122
"2","11-Chanoinnes",33,29.0795138380436,0.43761
"3","20-Pommes",16,23.6447503294772,0.09376
"4","28-BourjoiseRomme",13,15.2455703616928,0.54503
"5","30-DeuxChevaliers",12,14.8220822960902,0.44102
"6","31-EnfantRosti",9,12.5634792795431,0.29479
"7","32-PovreChevalier",4,11.2930150827354,0.02177
"8","33-ChevalierEsquier",34,16.0925464928979,1e-05
"9","34-BourjoiseNarbonne",12,15.8102211158296,0.31404
"10","35-ChevalierHermite",13,11.9988285254064,0.76128
"11","36-Cordouanier",15,10.7283643285986,0.17019
"12","37-Juitel",13,11.5753404598038,0.66355
"13","38-EnfantSauvaMere",20,14.680919607556,0.14177
"14","39-EauBenoite",14,11.8576658368722,0.51549
"15","40-RicheGetaPain",10,11.8576658368722,0.57393
"16","41-ChienMescreant",31,14.3985942304876,5e-05
"17","42-Pecherresse",6,10.7283643285986,0.12689
"18","53-Merlin",13,15.8102211158296,0.46172
"19","55-FlorenceRomme",27,53.3594962659247,8e-05
"20","57-Anneles",59,55.053448528335,0.55618
"21","61-Buef",68,56.0415873480744,0.07707
"22","74-Beguine",23,14.3985942304876,0.0168
"23","Abesse",13,14.6103382632889,0.6593
"24","SaintSauveur",14,22.7977741982721,0.05039
