"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",13,8.20969395226241,0.0792
"2","11-Chanoinnes",19,17.6166349392298,0.73272
"3","20-Pommes",8,14.3242055937912,0.07931
"4","28-BourjoiseRomme",16,9.23590569629521,0.02063
"5","30-DeuxChevaliers",14,8.97935276028701,0.07999
"6","31-EnfantRosti",6,7.61107043490994,0.54753
"7","32-PovreChevalier",10,6.84141162688534,0.21001
"8","33-ChevalierEsquier",3,9.74901156831161,0.02378
"9","34-BourjoiseNarbonne",6,9.57797627763948,0.23067
"10","35-ChevalierHermite",8,7.26899985356568,0.78248
"11","36-Cordouanier",11,6.49934104554108,0.06524
"12","37-Juitel",5,7.01244691755748,0.43236
"13","38-EnfantSauvaMere",8,8.89383511495094,0.75721
"14","39-EauBenoite",7,7.18348220822961,0.94457
"15","40-RicheGetaPain",7,7.18348220822961,0.94444
"16","41-ChienMescreant",6,8.72279982427881,0.34029
"17","42-Pecherresse",10,6.49934104554108,0.15328
"18","53-Merlin",10,9.57797627763948,0.8911
"19","55-FlorenceRomme",16,32.3256699370332,0.00196
"20","57-Anneles",37,33.351881681066,0.49351
"21","61-Buef",43,33.9505051984185,0.09022
"22","74-Beguine",8,8.72279982427881,0.80355
"23","Abesse",6,8.85107629228291,0.3232
"24","SaintSauveur",15,13.8110997217748,0.7444
