"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",10,7.84419387904525,0.42991
"2","11-Chanoinnes",30,16.8323326987846,0.00099
"3","20-Pommes",15,13.6864841118758,0.71186
"4","28-BourjoiseRomme",9,8.8247181139259,0.95242
"5","30-DeuxChevaliers",10,8.57958705520574,0.61866
"6","31-EnfantRosti",8,7.2722214086982,0.78199
"7","32-PovreChevalier",7,6.53682823253771,0.8584
"8","33-ChevalierEsquier",7,9.31498023136623,0.43643
"9","34-BourjoiseNarbonne",12,9.15155952555279,0.32974
"10","35-ChevalierHermite",7,6.94537999707131,0.9832
"11","36-Cordouanier",7,6.20998682091082,0.75063
"12","37-Juitel",6,6.70024893835115,0.78007
"13","38-EnfantSauvaMere",8,8.49787670229902,0.8646
"14","39-EauBenoite",3,6.86366964416459,0.12586
"15","40-RicheGetaPain",4,6.86366964416459,0.259
"16","41-ChienMescreant",5,8.33445599648558,0.23267
"17","42-Pecherresse",4,6.20998682091082,0.36242
"18","53-Merlin",9,9.15155952555279,0.95964
"19","55-FlorenceRomme",32,30.8865133987407,0.82782
"20","57-Anneles",27,31.8670376336213,0.3476
"21","61-Buef",32,32.4390101039684,0.93474
"22","74-Beguine",8,8.33445599648558,0.90768
"23","Abesse",4,8.45702152584566,0.1083
"24","SaintSauveur",15,13.1962219944355,0.60831
