"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",10,13.4953873187875,0.31598
"2","11-Chanoinnes",33,28.9588519548982,0.42353
"3","20-Pommes",16,23.5466393322595,0.09581
"4","28-BourjoiseRomme",13,15.182310733636,0.55777
"5","30-DeuxChevaliers",12,14.7605798799239,0.45344
"6","31-EnfantRosti",9,12.5113486601259,0.29728
"7","32-PovreChevalier",4,11.2461560989896,0.02343
"8","33-ChevalierEsquier",34,16.0257724410602,2e-05
"9","34-BourjoiseNarbonne",12,15.7446185385854,0.32
"10","35-ChevalierHermite",13,11.9490408551765,0.75009
"11","36-Cordouanier",15,10.6838482940401,0.16337
"12","37-Juitel",13,11.5273100014643,0.64849
"13","38-EnfantSauvaMere",19,14.6200029286865,0.22993
"14","39-EauBenoite",14,11.8084639039391,0.50524
"15","40-RicheGetaPain",10,11.8084639039391,0.586
"16","41-ChienMescreant",31,14.3388490262117,6e-05
"17","42-Pecherresse",6,10.6838482940401,0.13027
"18","53-Merlin",13,15.7446185385854,0.46942
"19","55-FlorenceRomme",26,53.1380875677259,3e-05
"20","57-Anneles",59,54.8250109825743,0.53537
"21","61-Buef",68,55.8090496412359,0.07372
"22","74-Beguine",23,14.3388490262117,0.01582
"23","Abesse",13,14.5497144530678,0.6714
"24","SaintSauveur",14,22.7031776248353,0.05217
