"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",16,7.84419387904525,0.00416
"2","11-Chanoinnes",34,16.8323326987846,3e-05
"3","20-Pommes",20,13.6864841118758,0.07297
"4","28-BourjoiseRomme",3,8.8247181139259,0.04052
"5","30-DeuxChevaliers",9,8.57958705520574,0.88551
"6","31-EnfantRosti",8,7.2722214086982,0.78537
"7","32-PovreChevalier",7,6.53682823253771,0.85603
"8","33-ChevalierEsquier",6,9.31498023136623,0.26232
"9","34-BourjoiseNarbonne",5,9.15155952555279,0.15305
"10","35-ChevalierHermite",6,6.94537999707131,0.71775
"11","36-Cordouanier",5,6.20998682091082,0.62099
"12","37-Juitel",4,6.70024893835115,0.2809
"13","38-EnfantSauvaMere",3,8.49787670229902,0.04843
"14","39-EauBenoite",6,6.86366964416459,0.74012
"15","40-RicheGetaPain",2,6.86366964416459,0.05334
"16","41-ChienMescreant",16,8.33445599648558,0.00657
"17","42-Pecherresse",1,6.20998682091082,0.02908
"18","53-Merlin",14,9.15155952555279,0.09416
"19","55-FlorenceRomme",32,30.8865133987407,0.82647
"20","57-Anneles",24,31.8670376336213,0.13188
"21","61-Buef",30,32.4390101039684,0.64377
"22","74-Beguine",10,8.33445599648558,0.55366
"23","Abesse",4,8.45702152584566,0.11044
"24","SaintSauveur",14,13.1962219944355,0.81971
