"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",9,6.43842436667155,0.29759
"2","11-Chanoinnes",16,13.8157856201494,0.54027
"3","20-Pommes",8,11.2337091814321,0.31617
"4","28-BourjoiseRomme",12,7.24322741250549,0.06638
"5","30-DeuxChevaliers",14,7.04202665104701,0.00766
"6","31-EnfantRosti",4,5.96895592326841,0.411
"7","32-PovreChevalier",9,5.36535363889296,0.1016
"8","33-ChevalierEsquier",3,7.64562893542246,0.08031
"9","34-BourjoiseNarbonne",3,7.51149509445014,0.0868
"10","35-ChevalierHermite",7,5.70068824132377,0.58466
"11","36-Cordouanier",11,5.09708595694831,0.00821
"12","37-Juitel",3,5.49948747986528,0.27423
"13","38-EnfantSauvaMere",7,6.97495973056084,0.9948
"14","39-EauBenoite",5,5.6336213208376,0.78454
"15","40-RicheGetaPain",5,5.6336213208376,0.78467
"16","41-ChienMescreant",4,6.84082588958852,0.26365
"17","42-Pecherresse",8,5.09708595694831,0.18771
"18","53-Merlin",8,7.51149509445014,0.85688
"19","55-FlorenceRomme",11,25.3512959437692,0.0025
"20","57-Anneles",25,26.1560989896032,0.80795
"21","61-Buef",31,26.6255674330063,0.36145
"22","74-Beguine",8,6.84082588958852,0.64969
"23","Abesse",5,6.94142627031776,0.44876
"24","SaintSauveur",13,10.8313076585152,0.49445
