"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",5,6.32596280568165,0.59156
"2","11-Chanoinnes",11,13.5744618538585,0.4646
"3","20-Pommes",13,11.0374871869966,0.54143
"4","28-BourjoiseRomme",3,7.11670815639186,0.10808
"5","30-DeuxChevaliers",10,6.91902181871431,0.22377
"6","31-EnfantRosti",2,5.86469468443403,0.09901
"7","32-PovreChevalier",7,5.27163567140138,0.44383
"8","33-ChevalierEsquier",6,7.51208083174696,0.57247
"9","34-BourjoiseNarbonne",8,7.38028993996193,0.81851
"10","35-ChevalierHermite",4,5.60111290086396,0.48547
"11","36-Cordouanier",3,5.00805388783131,0.3623
"12","37-Juitel",5,5.40342656318641,0.86785
"13","38-EnfantSauvaMere",7,6.85312637282179,0.95686
"14","39-EauBenoite",6,5.53521745497145,0.84228
"15","40-RicheGetaPain",11,5.53521745497145,0.01732
"16","41-ChienMescreant",7,6.72133548103676,0.91405
"17","42-Pecherresse",6,5.00805388783131,0.65463
"18","53-Merlin",7,7.38028993996193,0.88782
"19","55-FlorenceRomme",32,24.9084785473715,0.12491
"20","57-Anneles",28,25.6992238980817,0.62391
"21","61-Buef",31,26.1604920193293,0.3065
"22","74-Beguine",4,6.72133548103676,0.27959
"23","Abesse",4,6.82017864987553,0.26273
"24","SaintSauveur",5,10.6421145116415,0.06906
