"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",7,6.12915507394933,0.72659
"2","11-Chanoinnes",22,13.1521452628496,0.01138
"3","20-Pommes",13,10.6940986967345,0.46175
"4","28-BourjoiseRomme",7,6.895299458193,0.96911
"5","30-DeuxChevaliers",10,6.70376336213208,0.18877
"6","31-EnfantRosti",8,5.68223751647386,0.32147
"7","32-PovreChevalier",5,5.10762922829111,0.95592
"8","33-ChevalierEsquier",4,7.27837165031483,0.20698
"9","34-BourjoiseNarbonne",10,7.15068091960756,0.27166
"10","35-ChevalierHermite",5,5.42685605505931,0.85752
"11","36-Cordouanier",5,4.85224776687656,0.94239
"12","37-Juitel",2,5.23531995899839,0.14311
"13","38-EnfantSauvaMere",7,6.63991799677845,0.89115
"14","39-EauBenoite",3,5.36301068970567,0.29983
"15","40-RicheGetaPain",4,5.36301068970567,0.55449
"16","41-ChienMescreant",4,6.51222726607117,0.31347
"17","42-Pecherresse",4,4.85224776687656,0.70252
"18","53-Merlin",4,7.15068091960756,0.22041
"19","55-FlorenceRomme",26,24.1335481036755,0.68373
"20","57-Anneles",19,24.8996924879192,0.20134
"21","61-Buef",24,25.3466100453946,0.77755
"22","74-Beguine",8,6.51222726607117,0.55397
"23","Abesse",4,6.60799531410163,0.29522
"24","SaintSauveur",13,10.3110265046127,0.38793
