"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"certainement",13,0.00190364621467272,13,0.000218612316281573,59466,0,0,52637,Inf
"envie",11,0.00161077756626153,11,0.000184979652238254,59466,0,0,52637,Inf
"demeurée",10,0.00146434324205594,10,0.000168163320216594,59466,0,0,52637,Inf
"contree",12,0.00175721189046713,13,0.000218612316281573,59466,1,1.89980432015502e-05,52637,92.4943622785181
"plevir",12,0.00175721189046713,13,0.000218612316281573,59466,1,1.89980432015502e-05,52637,92.4943622785181
"vraiment",12,0.00175721189046713,13,0.000218612316281573,59466,1,1.89980432015502e-05,52637,92.4943622785181
"arrêter",11,0.00161077756626153,12,0.000201795984259913,59466,1,1.89980432015502e-05,52637,84.7864987553082
"partie",21,0.00307512080831747,23,0.000386775636498167,59466,2,3.79960864031005e-05,52637,80.9325669937033
"commandement",10,0.00146434324205594,11,0.000184979652238254,59466,1,1.89980432015502e-05,52637,77.0786352320984
"appareiller",9,0.00131790891785034,10,0.000168163320216594,59466,1,1.89980432015502e-05,52637,69.3707717088886
"usage",9,0.00131790891785034,10,0.000168163320216594,59466,1,1.89980432015502e-05,52637,69.3707717088886
"tenter",13,0.00190364621467272,15,0.000252244980324892,59466,2,3.79960864031005e-05,52637,50.101112900864
"pensée",19,0.00278225215990628,22,0.000369959304476508,59466,3,5.69941296046507e-05,52637,48.816468980329
"courage",11,0.00161077756626153,13,0.000218612316281573,59466,2,3.79960864031005e-05,52637,42.3932493776541
"endurer",11,0.00161077756626153,13,0.000218612316281573,59466,2,3.79960864031005e-05,52637,42.3932493776541
"chiere",10,0.00146434324205594,12,0.000201795984259913,59466,2,3.79960864031005e-05,52637,38.5393176160492
"corage",9,0.00131790891785034,11,0.000184979652238254,59466,2,3.79960864031005e-05,52637,34.6853858544443
"ébahir",9,0.00131790891785034,11,0.000184979652238254,59466,2,3.79960864031005e-05,52637,34.6853858544443
"débonnaire",8,0.00117147459364475,10,0.000168163320216594,59466,2,3.79960864031005e-05,52637,30.8314540928394
"matiere",8,0.00117147459364475,10,0.000168163320216594,59466,2,3.79960864031005e-05,52637,30.8314540928394
"sauvement",8,0.00117147459364475,10,0.000168163320216594,59466,2,3.79960864031005e-05,52637,30.8314540928394
"visage",8,0.00117147459364475,10,0.000168163320216594,59466,2,3.79960864031005e-05,52637,30.8314540928394
"escouter",19,0.00278225215990628,25,0.000420408300541486,59466,6,0.000113988259209301,52637,24.4082344901645
"largement",12,0.00175721189046713,16,0.000269061312346551,59466,4,7.5992172806201e-05,52637,23.1235905696295
"démenter",11,0.00161077756626153,15,0.000252244980324892,59466,4,7.5992172806201e-05,52637,21.1966246888271
"mentir",16,0.0023429491872895,22,0.000369959304476508,59466,6,0.000113988259209301,52637,20.5543027285596
"charité",8,0.00117147459364475,11,0.000184979652238254,59466,3,5.69941296046507e-05,52637,20.5543027285596
"haster",8,0.00117147459364475,11,0.000184979652238254,59466,3,5.69941296046507e-05,52637,20.5543027285596
"conforter",14,0.00205008053887831,20,0.000336326640433189,59466,6,0.000113988259209301,52637,17.9850148874896
"prouver",7,0.00102504026943916,10,0.000168163320216594,59466,3,5.69941296046507e-05,52637,17.9850148874896
"raconter",7,0.00102504026943916,10,0.000168163320216594,59466,3,5.69941296046507e-05,52637,17.9850148874896
"folie",16,0.0023429491872895,23,0.000386775636498167,59466,7,0.000132986302410852,52637,17.6179737673368
"jugement",9,0.00131790891785034,13,0.000218612316281573,59466,4,7.5992172806201e-05,52637,17.3426929272221
"remanoir",11,0.00161077756626153,16,0.000269061312346551,59466,5,9.49902160077512e-05,52637,16.9572997510616
"mie",53,0.00776101918289647,78,0.00131167389768944,59466,25,0.000474951080038756,52637,16.3406706692049
"Marie",34,0.00497876702299019,51,0.000857632933104631,59466,17,0.000322966734426354,52637,15.4157270464197
"compagnie",24,0.00351442378093425,36,0.00060538795277974,59466,12,0.000227976518418603,52637,15.4157270464197
"retraire",8,0.00117147459364475,12,0.000201795984259913,59466,4,7.5992172806201e-05,52637,15.4157270464197
"recorder",21,0.00307512080831747,32,0.000538122624693102,59466,11,0.000208978475217053,52637,14.7150121806733
"conter",32,0.004685898374579,49,0.000824000269061312,59466,17,0.000322966734426354,52637,14.5089195731009
"honorer",13,0.00190364621467272,20,0.000336326640433189,59466,7,0.000132986302410852,52637,14.3146036859611
"isnellement",13,0.00190364621467272,20,0.000336326640433189,59466,7,0.000132986302410852,52637,14.3146036859611
"bouter",11,0.00161077756626153,17,0.00028587764436821,59466,6,0.000113988259209301,52637,14.1310831258847
"lignage",7,0.00102504026943916,11,0.000184979652238254,59466,4,7.5992172806201e-05,52637,13.4887611656172
"douter",12,0.00175721189046713,19,0.000319510308411529,59466,7,0.000132986302410852,52637,13.2134803255026
"otroiier",12,0.00175721189046713,19,0.000319510308411529,59466,7,0.000132986302410852,52637,13.2134803255026
"reclamer",13,0.00190364621467272,21,0.000353142972454848,59466,8,0.000151984345612402,52637,12.525278225216
"conseillier",8,0.00117147459364475,13,0.000218612316281573,59466,5,9.49902160077512e-05,52637,12.3325816371357
"joiant",8,0.00117147459364475,13,0.000218612316281573,59466,5,9.49902160077512e-05,52637,12.3325816371357
"tourment",8,0.00117147459364475,13,0.000218612316281573,59466,5,9.49902160077512e-05,52637,12.3325816371357
"certain",19,0.00278225215990628,31,0.000521306292671443,59466,12,0.000227976518418603,52637,12.2041172450822
"talent",14,0.00205008053887831,23,0.000386775636498167,59466,9,0.000170982388813952,52637,11.9900099249931
"vie",68,0.00995753404598038,113,0.00190024551844752,59466,45,0.000854911944069761,52637,11.6474382128504
"volonté",15,0.00219651486308391,25,0.000420408300541486,59466,10,0.000189980432015502,52637,11.5617952848148
"faim",6,0.000878605945233563,10,0.000168163320216594,59466,4,7.5992172806201e-05,52637,11.5617952848148
"repentir",6,0.000878605945233563,10,0.000168163320216594,59466,4,7.5992172806201e-05,52637,11.5617952848148
"trancher",6,0.000878605945233563,10,0.000168163320216594,59466,4,7.5992172806201e-05,52637,11.5617952848148
"venger",6,0.000878605945233563,10,0.000168163320216594,59466,4,7.5992172806201e-05,52637,11.5617952848148
"vif",6,0.000878605945233563,10,0.000168163320216594,59466,4,7.5992172806201e-05,52637,11.5617952848148
"amender",16,0.0023429491872895,27,0.000454040964584805,59466,11,0.000208978475217053,52637,11.2114378519416
"verité",13,0.00190364621467272,22,0.000369959304476508,59466,9,0.000170982388813952,52637,11.1335806446364
"naistre",10,0.00146434324205594,17,0.00028587764436821,59466,7,0.000132986302410852,52637,11.0112336045855
"agenoillier",8,0.00117147459364475,14,0.000235428648303232,59466,6,0.000113988259209301,52637,10.2771513642798
"delivrer",8,0.00117147459364475,14,0.000235428648303232,59466,6,0.000113988259209301,52637,10.2771513642798
"chanter",9,0.00131790891785034,16,0.000269061312346551,59466,7,0.000132986302410852,52637,9.91011024412694
"demeurer",32,0.004685898374579,57,0.000958530925234588,59466,25,0.000474951080038756,52637,9.8660653097086
"ariere",14,0.00205008053887831,25,0.000420408300541486,59466,11,0.000208978475217053,52637,9.81000812044889
"courroucer",11,0.00161077756626153,20,0.000336326640433189,59466,9,0.000170982388813952,52637,9.42072208392314
"demander",23,0.00336798945672866,42,0.000706285944909696,59466,19,0.000360962820829455,52637,9.33057163335928
"arriver",6,0.000878605945233563,11,0.000184979652238254,59466,5,9.49902160077512e-05,52637,9.24943622785181
"baillier",6,0.000878605945233563,11,0.000184979652238254,59466,5,9.49902160077512e-05,52637,9.24943622785181
"despit",6,0.000878605945233563,11,0.000184979652238254,59466,5,9.49902160077512e-05,52637,9.24943622785181
"lassus",6,0.000878605945233563,11,0.000184979652238254,59466,5,9.49902160077512e-05,52637,9.24943622785181
"mestier",13,0.00190364621467272,24,0.000403591968519826,59466,11,0.000208978475217053,52637,9.10929325470254
"emporter",7,0.00102504026943916,13,0.000218612316281573,59466,6,0.000113988259209301,52637,8.99250744374481
"esmaiier",7,0.00102504026943916,13,0.000218612316281573,59466,6,0.000113988259209301,52637,8.99250744374481
