"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"certainement",13,0.0213464696223317,13,0.000218612316281573,59466,0,52637,Inf
"vraiment",12,0.0197044334975369,13,0.000218612316281573,59466,1.89980432015502e-05,52637,1037.18226600985
"commandement",10,0.0164203612479475,11,0.000184979652238254,59466,1.89980432015502e-05,52637,864.31855500821
"sauvement",8,0.013136288998358,10,0.000168163320216594,59466,3.79960864031005e-05,52637,345.727422003284
"largement",12,0.0197044334975369,16,0.000269061312346551,59466,7.5992172806201e-05,52637,259.295566502463
"jugement",9,0.0147783251231527,13,0.000218612316281573,59466,7.5992172806201e-05,52637,194.471674876847
"isnellement",13,0.0213464696223317,20,0.000336326640433189,59466,0.000132986302410852,52637,160.516303072953
"joiant",8,0.013136288998358,13,0.000218612316281573,59466,9.49902160077512e-05,52637,138.290968801314
"tourment",8,0.013136288998358,13,0.000218612316281573,59466,9.49902160077512e-05,52637,138.290968801314
"malement",5,0.00821018062397373,10,0.000168163320216594,59466,9.49902160077512e-05,52637,86.431855500821
"longuement",8,0.013136288998358,17,0.00028587764436821,59466,0.000170982388813952,52637,76.8283160007298
"erramment",12,0.0197044334975369,28,0.000470857296606464,59466,0.000303968691224804,52637,64.8238916256158
"avant",13,0.0213464696223317,37,0.000622204284801399,59466,0.000455953036837206,52637,46.8172550629447
"briément",5,0.00821018062397373,16,0.000269061312346551,59466,0.000208978475217053,52637,39.2872070458277
"maintenant",13,0.0213464696223317,45,0.000756734940974675,59466,0.000607937382449608,52637,35.1129412972085
"mentir",6,0.00985221674876847,22,0.000369959304476508,59466,0.000303968691224804,52637,32.4119458128079
"errer",8,0.013136288998358,30,0.000504489960649783,59466,0.000417956950434105,52637,31.4297656366622
"doucement",8,0.013136288998358,45,0.000756734940974675,59466,0.000702927598457359,52637,18.6879687569343
"courir",3,0.00492610837438424,18,0.00030269397638987,59466,0.000284970648023254,52637,17.2863711001642
"sembler",2,0.00328407224958949,13,0.000218612316281573,59466,0.000208978475217053,52637,15.7148828183311
"enfant",42,0.0689655172413793,280,0.00470857296606464,59466,0.00452153428196896,52637,15.2526803824978
"fortement",12,0.0197044334975369,83,0.00139575555779773,59466,0.00134886106731007,52637,14.6082009297162
"jesir",2,0.00328407224958949,14,0.000235428648303232,59466,0.000227976518418603,52637,14.4053092501368
"an",3,0.00492610837438424,22,0.000369959304476508,59466,0.000360962820829455,52637,13.647135079077
"chanter",2,0.00328407224958949,16,0.000269061312346551,59466,0.000265972604821703,52637,12.3474079286887
"commander",3,0.00492610837438424,25,0.000420408300541486,59466,0.000417956950434105,52637,11.7861621137483
"baiser",1,0.00164203612479475,10,0.000168163320216594,59466,0.000170982388813952,52637,9.60353950009122
"chëoir",1,0.00164203612479475,10,0.000168163320216594,59466,0.000170982388813952,52637,9.60353950009122
"prouver",1,0.00164203612479475,10,0.000168163320216594,59466,0.000170982388813952,52637,9.60353950009122
"trancher",1,0.00164203612479475,10,0.000168163320216594,59466,0.000170982388813952,52637,9.60353950009122
"vivre",3,0.00492610837438424,33,0.000554938956714761,59466,0.000569941296046507,52637,8.6431855500821
"dolent",3,0.00492610837438424,35,0.00058857162075808,59466,0.000607937382449608,52637,8.10298645320197
"arrêter",1,0.00164203612479475,12,0.000201795984259913,59466,0.000208978475217053,52637,7.85744140916555
"ardre",2,0.00328407224958949,26,0.000437224632563145,59466,0.000455953036837206,52637,7.20265462506842
"plorer",1,0.00164203612479475,13,0.000218612316281573,59466,0.000227976518418603,52637,7.20265462506842
"couchier",2,0.00328407224958949,28,0.000470857296606464,59466,0.000493949123240306,52637,6.64860426929392
"sonner",1,0.00164203612479475,14,0.000235428648303232,59466,0.000246974561620153,52637,6.64860426929392
"salüer",1,0.00164203612479475,15,0.000252244980324892,59466,0.000265972604821703,52637,6.17370396434436
"tenter",1,0.00164203612479475,15,0.000252244980324892,59466,0.000265972604821703,52637,6.17370396434436
"fuir",1,0.00164203612479475,16,0.000269061312346551,59466,0.000284970648023254,52637,5.76212370005473
"durement",1,0.00164203612479475,17,0.00028587764436821,59466,0.000303968691224804,52637,5.40199096880131
"comment",4,0.00656814449917898,69,0.0011603269094945,59466,0.00123487280810077,52637,5.31888341543514
"confesser",2,0.00328407224958949,37,0.000622204284801399,59466,0.000664931512054258,52637,4.93896317147549
"grand",1,0.00164203612479475,19,0.000319510308411529,59466,0.000341964777627904,52637,4.80176975004561
"pleurer",2,0.00328407224958949,39,0.000655836948844718,59466,0.000702927598457359,52637,4.67199218923357
"pardonner",1,0.00164203612479475,20,0.000336326640433189,59466,0.000360962820829455,52637,4.549045026359
"reclamer",1,0.00164203612479475,21,0.000353142972454848,59466,0.000379960864031005,52637,4.32159277504105
"talent",1,0.00164203612479475,23,0.000386775636498167,59466,0.000417956950434105,52637,3.92872070458277
"grant",16,0.0262725779967159,377,0.00633975717216561,59466,0.00685829359575964,52637,3.83077475903916
"conter",2,0.00328407224958949,49,0.000824000269061312,59466,0.000892908030472861,52637,3.67795129790728
"celer",1,0.00164203612479475,25,0.000420408300541486,59466,0.000455953036837206,52637,3.60132731253421
