"","length"
"01 Li diz des Cordeliers.","100"
"02 Ci encoumence la desputizons dou Croisié et dou Descroizié.","241"
"03 C’est la complainte dou roi de Navarre.","138"
"04 Ci encoumence la complainte dou conte de Poitiers.","144"
"05 Ci encoumence la nouvele complainte d’outremeir.","366"
"06 De monseigneur Anseau de l’Isle.","56"
"07 La griesche d’yver.","107"
"08 La griesche d’esté.","116"
"09 Ci encoumence li diz des ribaux de Greive.","12"
"10 Renart le Bestourné.","162"
"11 Le mariage Rustebeuf.","138"
"12 La complainte Rutebeuf.","165"
"13 C’est le dit d’Aristotle.","86"
"14 C’est la paiz de Rutebuef","48"
"15 C’est de la povretei Rutebuef.","48"
"16 La mort Rustebeuf","84"
"17 De Brichemer.","24"
"18 La vie de Sainte Marie l’Egiptianne.","1306"
"19 La vie sainte Elysabel.","2198"
"20 Ci commence le Miracle de Theophile.","663"
"21 Du secrestain et de la famme au chevalier.","766"
"22 Un dist de Nostre Dame.","130"
"23 L’Ave Maria Rustebuef.  ","163"
"24 C’est de Notre Dame.","45"
"25 Les neuf joies Nostre Dame.","210"
"26 De la descorde de l’Université et des Jacobins.","64"
"27 Ci encoumence de Charlot le Juif","132"
"28 La desputoison de challot et du barbier.","104"
"29 Ci coumence li Diz de L’erberie.","114"
"30 De frere Denise.     ","336"
"31 De la damme qui fist trois tours entour le moustier.","170"
"32 C’est li testament de l’asne.","170"
"33 Le pet au villain.","76"
"34 De maistre Guillaume de Saint Amour.","120"
"35 Du Pharisian.","117"
"36 De maistre Guillaume de Saint Amour.","196"
"37 Des regles.","182"
"38 De Sainte Esglise.","120"
"39 Ci encoumence la lections d’Ypocrisie et d’Umilitei.","320"
"40 La bataille des vices contre les vertus.","220"
"41 Des Jacobins.","64"
"42 Les ordres de Paris.","168"
"43 Des Ordres.","78"
"44 Ci encoumence li diz des Beguines.","20"
"45 La voie de Paradis.","902"
"46 Ci encoumence li diz de l’Universitei de Paris.","56"
"47 Les plaies dou monde.","120"
"48 De l’estat dou monde.","176"
"49 C’est la complainte de sainte Eglize.","288"
"50 De monseigneur Gefroy de Sargines.","166"
"51 La complainte de Constantinople","180"
"52 Ci encoumence la chansons de Puille.","64"
"53 Ci encoumence li diz de Puille.","60"
"54 La complainte d’outremer.","174"
"55 Ci encoumence la complainte dou conte Huede de Nevers.","180"
"56 Ci encoumence li diz de la voie de Tunes.","136"
