Cy	ADVgen	ci
apprès	ADVgen	après
s'	PROper	soi
ensuit	VERcjg	ensuivre
le	DETdef	le
contenu	NOMcom	contenu
du	PRE.DETdef	de.le
saint	ADJqua	saint
voyage	NOMcom	voyage
de	PRE	de
Jherusalem	NOMpro	Jérusalem
et	CONcoo	et
le	DETdef	le
chemin	NOMcom	chemin
pour	PRE	pour
aller	VERinf	aller
a	PRE	a
Saincte	ADJqua	saint
Catherine	NOMpro	Catherine
du	PRE.DETdef	de.le
mont	NOMcom	monde
de	PRE	de
Synay	NOMpro	Synay
et	CONcoo	et
ainsi	ADVgen	ainsi
a	PRE	a
Saint	ADJqua	saint
Anthoine	NOMpro	Antoine
et	CONcoo	et
Saint	ADJqua	saint
Pol	NOMpro	Paul
es	PRE.DETdef	en.le
loingtains	ADJqua	loingtain
desers	NOMcom	déser
de	PRE	de
Egipte	NOMpro	Égipte
;	PONfbl	;
lequel	DETrel	lequel
saint	ADJqua	saint
voyage	NOMcom	voyage
a	VERcjg	avoir
esté	VERppe	être
fait	VERppe	faire
par	PRE	par
monseigneur	NOMcom	monseigneur
d'	PRE	de
Angleure	NOMpro	Angleure
et	CONcoo	et
autres	PROind	autre
de	PRE	de
sa	DETpos	son
compagnie	NOMcom	compagnie
en	PRE	en
l'	DETdef	le
an	NOMcom	an
mil	ADJcar	mille
.IIJcIIIJxx	ADJcar	catre-vingts
.	PONfrt	.

et	CONcoo	et
.XV	PROcar	quinze
.	PONfrt	.
,	PONfbl	,
en	PROadv	en
et	CONcoo	et
par	PRE	par
la	DETdef	le
maniere	NOMcom	manière
qui	PROrel	que
s'	PROper	soi
ensuit	VERcjg	ensuivre
.	PONfrt	.

Et	CONcoo	et
premiers	ADVgen	premier
,	PONfbl	,
nous	PROper	nous
partismes	VERcjg	partir
d'	PRE	de
Angleure	NOMpro	Angleure
sur	PRE	sur
Aulbe	NOMpro	Aulbe
le	DETdef	le
.XVJe	PROcar	seize
.	PONfrt	.

jour	NOMcom	jour
du	PRE.DETdef	de.le
mois	NOMcom	mois
de	PRE	de
juillet	NOMcom	juilet
l'	DETdef	le
an	NOMcom	an
mil	ADJcar	mille
.IIJcIIIJxx	ADJcar	catre-vingts
.	PONfrt	.

et	CONcoo	et
.XV	PROcar	quinze
.	PONfrt	.
,	PONfbl	,
pour	PRE	pour
aller	VERinf	aller
ou	PRE.DETdef	en.le
saint	ADJqua	saint
voyage	NOMcom	voyage
du	PRE.DETdef	de.le
Saint	ADJqua	saint
Sepulcre	NOMcom	sépulcre
en	PRE	en
la	DETdef	le
saincte	ADJqua	saint
cité	NOMcom	cité
de	PRE	de
Jherusalem	NOMpro	Jérusalem
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
aller	VERinf	aller
a	PRE	a
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
du	PRE.DETdef	de.le
monlt	NOMcom	mondel
de	PRE	de
Synay	NOMpro	Synay
es	PRE.DETdef	en.le
desers	NOMcom	déser
d'	PRE	de
Arrabe	NOMpro	Arrabe
,	PONfbl	,
ou	PROrel	où
gist	VERcjg	gésir
la	DETdef	le
plus	ADVgen	plus
grant	ADJqua	grant
partie	NOMcom	partie
du	PRE.DETdef	de.le
corps	NOMcom	corps
de	PRE	de
ladicte	DETcom	ladit
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
aler	VERinf	aler
a	PRE	a
Saint	ADJqua	saint
Anthoine	NOMpro	Antoine
et	CONcoo	et
Saint	ADJqua	saint
Pol	NOMpro	Paul
,	PONfbl	,
premier	ADJord	premier
hermite	NOMcom	ermite
es	PRE.DETdef	en.le
desers	NOMcom	déser
d'	PRE	de
Egipte	NOMpro	Égipte
.	PONfrt	.

Premierement	ADVgen	premièrement
,	PONfbl	,
nous	PROper	nous
venismes	VERcjg	venir
d'	PRE	de
Angleure	NOMpro	Angleure
a	PRE	a
Troyes	NOMpro	Troies
;	PONfbl	;
de	PRE	de
Troyes	NOMpro	Troies
a	VERcjg	avoir
Chastillon	NOMpro	Chastillon
sur	PRE	sur
Seine	NOMpro	Seine
;	PONfbl	;
de	PRE	de
Chasteillon	NOMpro	Châtillon
a	PRE	a
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
Froit	NOMpro	Froit
Mantel	NOMpro	Mantel
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Floré	NOMpro	Floré
sur	PRE	sur
Ource	NOMpro	Orce
;	PONfbl	;
de	PRE	de
Floré	NOMpro	Floré
a	PRE	a
Beaune	NOMpro	Beaune
;	PONfbl	;
de	PRE	de
Beaune	NOMpro	Beaune
a	PRE	a
Challon	NOMpro	Challon
sur	PRE	sur
la	DETdef	le
Sone	NOMpro	Sone
;	PONfbl	;
de	PRE	de
Chalon	NOMpro	Chalon
ou	PRE.DETdef	en.le
peage	NOMcom	péage
de	PRE	de
Tornus	NOMpro	Torneu
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Saint	ADJqua	saint
Thivier	NOMpro	Thivier
;	PONfbl	;
de	PRE	de
Saint	ADJqua	saint
Thivier	NOMpro	Thivier
a	PRE	a
Bourc	NOMpro	Bourc
en	PRE	en
Bresse	NOMpro	Bresse
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
au	PRE.DETdef	a
Pont	NOMpro	pont
d'	PRE	de
Eing	NOMpro	Aing
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Rossillon	NOMpro	Roussillon
.	PONfrt	.

De	PRE	de
Rossillon	NOMpro	Roussillon
venismes	VERcjg	venir
a	PRE	a
Balées	NOMpro	Balée
;	PONfbl	;
de	PRE	de
Balées	NOMpro	Balée
a	PRE	a
Pierre	NOMpro	Pierre
Chastel	NOMpro	Chastel
ou	PROrel	où
nous	PROper	nous
passasmes	VERcjg	passer
le	DETdef	le
Rosne	NOMpro	Rhône
;	PONfbl	;
de	PRE	de
Pierre	NOMpro	Pierre
Chastel	NOMpro	Chastel
a	PRE	a
Yenain	NOMpro	Ienain
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
au	PRE.DETdef	a
Monlt	NOMpro	Montl
du	PRE.DETdef	de.le
Chat	NOMpro	Chat
;	PONfbl	;
apprès	ADVgen	après
a	PRE	a
Chambry	NOMpro	Chambry
en	PRE	en
Savoie	NOMpro	savoir
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	VERcjg	avoir
Monlt	NOMpro	Montl
Melian	NOMpro	Melïan
;	PONfbl	;
apprès	ADVgen	après
a	PRE	a
Aigue	NOMpro	Aigue
Belle	ADJqua	beau
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
la	DETdef	le
Chambre	NOMcom	chambre
,	PONfbl	,
a	PRE	a
Saint	ADJqua	saint
Jehan	NOMpro	Jean
de	PRE	de
Morienne	NOMpro	Moriene
;	PONfbl	;
apprès	ADVgen	après
a	PRE	a
Saint	ADJqua	saint
Gelin	NOMpro	Gelin
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Saint	ADJqua	saint
Michel	NOMpro	Michel
;	PONfbl	;
apprès	ADVgen	après
a	PRE	a
Fourniaux	NOMpro	Fourneau
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Lunebourc	NOMpro	Lunebourc
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
au	PRE.DETdef	a
pié	NOMcom	pié
du	PRE.DETdef	de.le
mont	NOMcom	monde
Seny	NOMpro	Seny
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
la	DETdef	le
Ferriere	NOMpro	Ferrière
;	PONfbl	;
apprès	ADVgen	après
a	PRE	a
Suyze	NOMpro	Suize
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
au	PRE.DETdef	a
pié	NOMcom	pié
du	PRE.DETdef	de.le
dit	VERppe	dire
monlt	NOMcom	mondel
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Saint	ADJqua	saint
Anthony	NOMpro	Antony
,	PONfbl	,
a	PRE	a
Villaines	NOMpro	Villane
,	PONfbl	,
a	PRE	a
Monlt	NOMpro	Montl
Callier	NOMpro	Callier
,	PONfbl	,
a	PRE	a
Lyer	NOMpro	Lier
en	PRE	en
Pymont	NOMpro	Pimont
.	PONfrt	.

D'	PRE	de
illec	ADVgen	illuec
venismes	VERcjg	venir
a	PRE	a
Ast	ADVgen	es
le	DETdef	le
jeudy	NOMcom	jeudi
.XXIXe	PROcar	vingt-et-un
.	PONfrt	.

jour	NOMcom	jour
dudict	PRE.DETcom	de.ledit
mois	NOMcom	mois
de	PRE	de
juillet	NOMcom	juilet
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
sejournasmes	VERcjg	séjourner
demy	ADJqua	demi
journée	NOMcom	journée
.	PONfrt	.

De	PRE	de
Ast	ADVgen	es
venismes	VERcjg	venir
a	PRE	a
Felisson	NOMpro	Felisson
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Alixendre	NOMpro	Alixandre
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Basseguenigne	NOMpro	Bassegongie
,	PONfbl	,
a	PRE	a
Saint	ADJqua	saint
Eleazar	NOMpro	Elaasar
.	PONfrt	.

D'	PRE	de
illec	ADVgen	illuec
venismes	VERcjg	venir
a	PRE	a
Pavye	NOMpro	Pavia
le	DETdef	le
sabmedy	NOMcom	samedi
ensuivant	VERppa	ensuivre
.XXXJe	PROcar	trente-et-un
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
juillet	NOMcom	juilet
.	PONfrt	.

Illec	ADVgen	illuec
vendismes	VERcjg	vendre
nos	DETpos	notre
chevaulx	NOMcom	cheval
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
sejournasmes	VERcjg	séjourner
deux	DETcar	deux
jours	NOMcom	jour
.	PONfrt	.

Et	CONcoo	et
illec	ADVgen	illuec
mesmes	ADJind	même
nous	PROper	nous
louasmes	VERcjg	louer
une	DETndf	un
barque	NOMcom	barque
pour	PRE	pour
nous	PROper	nous
mener	VERinf	mener
jusques	PRE	jusque
a	PRE	a
Venise	NOMpro	Venise
par	PRE	par
la	DETdef	le
riviere	NOMcom	riviere
du	PRE.DETdef	de.le
Paust	NOMpro	Paul
qui	PROrel	que
moult	ADVgen	moult
est	VERcjg	estre
grosse	ADJqua	gros
.	PONfrt	.

Nous	PROper	nous
partismes	VERcjg	partir
de	PRE	de
Pavye	NOMpro	Pavia
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
tresgrosse	ADJqua	trégrosse
,	PONfbl	,
belle	ADJqua	beau
et	CONcoo	et
bonne	ADJqua	bon
cité	NOMcom	cité
,	PONfbl	,
le	DETdef	le
mardy	NOMcom	mardi
ensuivant	VERppa	ensuivre
.IIJe	PROcar	quatre
.	PONfrt	.

jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
;	PONfbl	;
et	CONcoo	et
entrasmes	VERcjg	entrer
en	PRE	en
ladicte	DETcom	ladit
barque	NOMcom	barque
pour	PRE	pour
venir	VERinf	venir
a	PRE	a
Venise	NOMpro	Venise
.	PONfrt	.

Et	CONcoo	et
venismes	VERcjg	venir
au	PRE.DETdef	a
giste	NOMcom	giste
cedit	DETdem	cedit
soir	NOMcom	soir
a	PRE	a
Plaisance	NOMpro	Plaisance
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
grande	ADJqua	grand
et	CONcoo	et
belle	ADJqua	beau
cité	NOMcom	cité
;	PONfbl	;
de	PRE	de
Plaisance	NOMpro	Plaisance
a	VERcjg	avoir
Cremonna	NOMpro	Crémonne
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
cité	NOMcom	cité
grande	ADJqua	grand
et	CONcoo	et
belle	ADJqua	beau
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Peticolle	NOMpro	Peticolas
;	PONfbl	;
après	ADVgen	après
a	PRE	a
Wastala	NOMpro	Wastala
,	PONfbl	,
au	PRE.DETdef	a
Pont	NOMpro	pont
d'	PRE	de
Ueil	NOMpro	Leuil
:	PONfbl	:
cedit	DETdem	cedit
pont	NOMcom	pont
est	VERcjg	estre
tout	ADVgen	tout
de	PRE	de
fust	NOMcom	fust
et	CONcoo	et
est	VERcjg	estre
moult	ADVgen	moult
bel	ADJqua	bel
et	CONcoo	et
moult	ADVgen	moult
fort	ADJqua	fort
.	PONfrt	.

Du	PRE.DETdef	de.le
Pont	NOMpro	pont
d'	PRE	de
Ueil	NOMpro	Leuil
a	PRE	a
Briguefort	NOMpro	Briguefort
:	PONfbl	:
illec	ADVgen	illuec
est	VERcjg	estre
ung	DETndf	un
autre	ADJind	autre
pont	NOMcom	pont
tresfort	ADVgen	tresfort
que	PROrel	que
l'en	PROind	loin
appelle	VERcjg	appeler
le	DETdef	le
pont	NOMcom	pont
de	PRE	de
Mente	NOMpro	Mente
,	PONfbl	,
lequel	PROrel	lequel
est	VERcjg	estre
tresbel	ADJqua	tresbel
et	CONcoo	et
tresfort	ADJqua	tresfort
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
la	DETdef	le
premiere	ADJord	premier
entrée	NOMcom	entrée
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
de	PRE	de
monseigneur	NOMcom	monseigneur
de	PRE	de
Tarante	NOMpro	Tarante
.	PONfrt	.

Illec	ADVgen	illuec
fault	VERcjg	falir
monstrer	VERinf	montrer
bullettes	NOMcom	boulete
et	CONcoo	et
lettres	NOMcom	lettre
.	PONfrt	.

De	PRE	de
Briguefort	NOMpro	Briguefort
a	PRE	a
Gouverno	NOMpro	Gouvern
,	PONfbl	,
un	DETndf	un
autre	PROind	autre
fort	ADJqua	fort
chastel	NOMcom	chastel
;	PONfbl	;
d'	PRE	de
illec	ADVgen	illuec
a	PRE	a
Cermeu	NOMpro	Cermeu
,	PONfbl	,
ung	DETndf	un
autre	PROind	autre
fort	ADJqua	fort
passage	NOMcom	passage
:	PONfbl	:
et	CONcoo	et
est	VERcjg	estre
l'	DETdef	le
entrée	NOMcom	entrée
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
de	PRE	de
monseigneur	NOMcom	monseigneur
le	DETdef	le
marquis	NOMcom	marquis
de	PRE	de
Ferrare	NOMpro	Ferrare
.	PONfrt	.

D'	PRE	de
illec	ADVgen	illuec
au	PRE.DETdef	a
pont	NOMcom	pont
d'	PRE	de
Escure	NOMpro	Escure
:	PONfbl	:
illec	ADVgen	illuec
fault	VERcjg	falir
monstrer	VERinf	montrer
