Mardi	NOMcom	mardi
,	PONfbl	,
XXVIJe	DETcar	vingt-sept
jour	NOMcom	jour
de	PRE	de
janvier	NOMcom	janvier
.	PONfrt	.

A	PRE	a
l'	DETdef	le
enterinement	NOMcom	enterinement
de	PRE	de
certeinnes	DETind	certain
lettres	NOMcom	lettre
de	PRE	de
chartres	NOMcom	charte
obtenues	VERppe	obtenir
par	PRE	par
les	DETdef	le
sergens	NOMcom	sergent
d'	PRE	de
armes	NOMcom	arme
se	PROper	soi
sont	VERcjg	estre
au	PRE.DETdef	a
jour	NOMcom	jour
d'	PRE	de
ui	ADVgen	ui
opposez	VERppe	opposer
les	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgoigne	NOMpro	Burgonde
,	PONfbl	,
de	PRE	de
Berry	NOMpro	Berry
,	PONfbl	,
de	PRE	de
Bourbon	NOMpro	Bourbon
,	PONfbl	,
d'	PRE	de
Orleans	NOMpro	Orléans
,	PONfbl	,
le	DETdef	le
Dauphin	NOMpro	Dauphin
,	PONfbl	,
le	DETdef	le
Roy	NOMcom	roi
de	PRE	de
Sicile	NOMpro	Sicile
,	PONfbl	,
le	DETdef	le
conte	NOMcom	conte
d'	PRE	de
Alençon	NOMpro	Alançon
,	PONfbl	,
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
S.	NOMpro	Saus
Pol	NOMpro	Paul
,	PONfbl	,
l'	DETdef	le
arcevesque	NOMcom	archevêque
de	PRE	de
Reins	NOMpro	Reims
,	PONfbl	,
les	DETdef	le
evesques	NOMcom	évêque
de	PRE	de
Beauvaiz	NOMpro	Beauvaiz
,	PONfbl	,
de	PRE	de
Noyon	NOMpro	Noyon
,	PONfbl	,
de	PRE	de
Chaalons	NOMpro	Châlons
,	PONfbl	,
de	PRE	de
Langres	NOMpro	Langres
,	PONfbl	,
le	DETdef	le
procureur	NOMcom	procureur
du	PRE.DETdef	de.le
Roy	NOMcom	roi
general	ADJqua	général
,	PONfbl	,
le	DETdef	le
seigneur	NOMcom	seigneur
de	PRE	de
Wavrin	NOMpro	Wavrin
,	PONfbl	,
de	PRE	de
Crequy	NOMpro	Crequi
et	CONcoo	et
autres	PROind	autre
,	PONfbl	,
requerans	VERppa	requérir
estre	VERinf	estre
oïz	VERppe	öir
,	PONfbl	,
avant	PRE	avant
mesme	ADJind	même
que	CONsub	que
icelles	DETdem	cil
lettres	NOMcom	lettre
soient	VERcjg	estre
rendues	VERppe	rendre
auxdiz	PRE.DETcom	à.ledit
sergens	NOMcom	sergent
d'	PRE	de
armes	NOMcom	arme
.	PONfrt	.

Mercredi	NOMcom	mercredi
,	PONfbl	,
IIIJe	DETcar	quatre
jour	NOMcom	jour
de	PRE	de
fevrier	NOMcom	février
.	PONfrt	.

Cedit	DETdem	cedit
jour	NOMcom	jour
,	PONfbl	,
a	VERcjg	avoir
esté	VERppe	être
denuncié	VERppe	dénoncer
à	PRE	à
la	DETdef	le
Court	NOMcom	cour
que	CONsub	que
messire	NOMcom	seignor
Pierre	NOMpro	Pierre
Boschet	NOMpro	Boschet
,	PONfbl	,
de	PRE	de
nation	NOMcom	nation
Poitevin	NOMpro	Poitevin
,	PONfbl	,
docteur	NOMcom	douteur
in	PRE	en
utroque	NOMcom	utroque
,	PONfbl	,
et	CONcoo	et
president	NOMcom	président
ceans	ADVgen	céans
,	PONfbl	,
estoit	VERcjg	estre
alé	VERppe	aler
de	PRE	de
vie	NOMcom	vie
à	PRE	à
trespas	NOMcom	trespas
.	PONfrt	.

Venredi	VERcjg	vendredire
,	PONfbl	,
XXe	ADJord	vingt-huitième
jour	NOMcom	jour
de	PRE	de
fevrier	NOMcom	février
.	PONfrt	.

Cedit	DETdem	cedit
jour	NOMcom	jour
,	PONfbl	,
ont	VERcjg	avoir
esté	VERppe	être
deposé	VERppe	déposer
par	PRE	par
messire	NOMcom	seignor
Simon	NOMpro	Simon
de	PRE	de
Cramant	NOMpro	Cramant
,	PONfbl	,
arcevesque	NOMcom	archevêque
de	PRE	de
Reins	NOMpro	Reims
,	PONfbl	,
ou	PRE.DETdef	en.le
tresor	NOMcom	tresor
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
de	PRE	de
Paris	NOMpro	Paris
quatre	DETcar	quatre
mil	DETcar	mille
VIIJ	DETcar	huit
cens	DETcar	cent
libvres	NOMcom	libre
tournois	ADJqua	tournois
en	PRE	en
IIIJm	DETcar	quatre
escus	NOMcom	escus
en	PRE	en
or	NOMcom	or
,	PONfbl	,
comptez	VERppe	conter
en	PRE	en
ma	DETpos	mon
presence	NOMcom	présence
,	PONfbl	,
et	CONcoo	et
le	DETdef	le
remenant	NOMcom	remanant
en	PRE	en
monnoie	NOMcom	monnaie
estant	VERppa	être
en	PRE	en
pluseurs	DETind	plusieurs
sacs	NOMcom	sac
,	PONfbl	,
laquelle	DETrel	lequel
somme	NOMcom	somme
de	PRE	de
IIIJm	DETcar	quatre
VIIJc	DETcar	huit
libvres	NOMcom	libre
tournois	ADJqua	tournois
avoit	VERcjg	avoir
le	DETdef	le
dessus	ADVgen	dessus
dit	VERppe	dire
jour	NOMcom	jour
receu	VERppe	recevoir
icellui	PROdem	cil
de	PRE	de
Reins	NOMpro	Reims
des	PRE.DETdef	de.le
executeurs	NOMcom	exécuteur
de	PRE	de
l'	DETdef	le
execution	NOMcom	exécution
de	PRE	de
feu	NOMcom	feu
messire	NOMcom	seignor
Guy	NOMpro	Guy
de	PRE	de
Roye	NOMpro	Roie
,	PONfbl	,
arcevesque	NOMcom	archevêque
de	PRE	de
Reins	NOMpro	Reims
,	PONfbl	,
presens	ADJqua	présent
maistre	NOMcom	maître
Phelippe	NOMpro	Philippe
de	PRE	de
Boisgillon	NOMpro	Boisgilon
,	PONfbl	,
conseiller	NOMcom	conseiller
du	PRE.DETdef	de.le
Roy	NOMcom	roi
en	PRE	en
sa	DETpos	son
Chambre	NOMcom	chambre
des	PRE.DETdef	de.le
Comptes	NOMpro	Compte
,	PONfbl	,
Baudoin	NOMpro	Baudouin
Lasserve	NOMpro	Lasserve
et	CONcoo	et
autres	DETind	autre
pluseurs	PROind	plusieurs
,	PONfbl	,
et	CONcoo	et
moy	PROper	moi
aussy	ADVgen	aussi
,	PONfbl	,
par	PRE	par
le	DETdef	le
commandement	NOMcom	commandement
de	PRE	de
la	DETdef	le
Court	NOMcom	cour
,	PONfbl	,
presens	ADJqua	présent
.	PONfrt	.

Lundi	NOMcom	lundi
,	PONfbl	,
XXIIJe	DETcar	vingt-quatre
jour	NOMcom	jour
de	PRE	de
fevrier	NOMcom	février
.	PONfrt	.

La	DETdef	le
Court	NOMpro	Court
,	PONfbl	,
pour	PRE	pour
la	DETdef	le
reverence	NOMcom	révérence
de	PRE	de
la	DETdef	le
feste	NOMcom	fête
de	PRE	de
caresme	NOMcom	carême
prenant	VERppa	prendre
qui	PROrel	que
sera	VERcjg	estre
demain	ADVgen	demain
,	PONfbl	,
s'	PROper	soi
est	VERcjg	estre
levée	VERppe	lever
devant	PRE	devant
l'	DETdef	le
eure	NOMcom	heure
.	PONfrt	.

Lundi	NOMcom	lundi
,	PONfbl	,
IJe	DETcar	deux
jour	NOMcom	jour
de	PRE	de
mars	NOMcom	marc
.	PONfrt	.

Cedit	DETdem	cedit
jour	NOMcom	jour
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
les	DETdef	le
advocas	NOMcom	avocat
principaulx	ADJqua	principal
de	PRE	de
ceans	ADVgen	céans
n'	ADVneg	ne
estoient	VERcjg	être
pas	ADVneg	pas
ancores	ADVgen	encore
venus	VERppe	venir
pour	PRE	pour
plaider	VERinf	plaider
leurs	DETpos	leur
causes	NOMcom	cause
,	PONfbl	,
jà	ADVgen	jà
soit	VERcjg	estre
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
fust	VERcjg	estre
desjà	ADVgen	desjà
VIJ	DETcar	sept
heures	NOMcom	heure
et	CONcoo	et
demie	ADJqua	demi
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
la	DETdef	le
Court	NOMcom	cour
eust	VERcjg	avoir
fait	VERppe	faire
appeller	VERinf	appeler
advocas	NOMcom	avocat
,	PONfbl	,
et	CONcoo	et
estoit	VERcjg	estre
la	DETdef	le
Court	NOMcom	cour
en	PRE	en
aventure	NOMcom	aventure
de	PRE	de
muser	VERinf	muser
en	PRE	en
attendant	VERppa	attendre
iceulx	DETdem	cil
advocas	NOMcom	avocat
,	PONfbl	,
la	DETdef	le
Court	NOMpro	Court
a	VERcjg	avoir
commendé	VERppe	commander
et	CONcoo	et
enjoinct	VERppe	enjoindre
à	PRE	à
Robert	NOMpro	Robert
Chaurre	NOMpro	Chaurre
que	PROrel	que
,	PONfbl	,
sans	PRE	sans
deport	NOMcom	deport
aucun	PROind	aucun
,	PONfbl	,
de	PRE	de
cy	ADVgen	ci
en	PRE	en
avant	ADVgen	avant
,	PONfbl	,
et	CONcoo	et
sans	PRE	sans
aucun	DETind	aucun
espargner	VERinf	espargnier
,	PONfbl	,
il	PROper	il
lieve	VERcjg	lever
les	DETdef	le
amendes	NOMcom	amende
ordonnées	VERppe	ordonner
pieça	ADVgen	piéça
des	PRE.DETdef	de.le
advocas	NOMcom	avocat
et	CONcoo	et
procureurs	NOMcom	procureur
qui	PROrel	que
negligence	NOMcom	néglijence
feroient	VERcjg	faire
de	PRE	de
venir	VERinf	venir
à	PRE	à
heure	NOMcom	heure
ordonnée	VERppe	ordonner
