CI	ADVgen	ci
COMMENCE	VERcjg	chommer
LI	DETdef	le
LIVRES	NOMcom	livre
DES	PRE.DETdef	de.le
COUSTUMES	NOMcom	chostume
ET	CONcoo	et
DES	PRE.DETdef	de.le
USAGES	NOMcom	usage
DE	PRE	de
BEAUVOISINS	NOMpro	Beauconne
SELONC	PRE	selne
CE	PROdem	ce
QU'	PROrel	que
IL	PROper	il
COUROIT	VERcjg	courir
OU	PRE.DETdef	en.le
TANS	NOMcom	tant
QUE	PROrel	que
CEST	DETdem	cest
LIVRES	NOMcom	livre
FU	VERcjg	estre
FES	VERppe	faire
,	PONfbl	,
C'	PROdem	ce
EST	VERcjg	estre
ASSAVOIR	VERinf	assoir
EN	PRE	en
L'	DETdef	le
AN	NOMcom	an
DE	PRE	de
L'	DETdef	le
INCARNACION	NOMcom	incarion
NOSTRE	DETpos	notre
SEIGNEUR	NOMcom	seigneur
.M.CC.IIIIXX	ADJcar	quatre
et	CONcoo	et
trois	ADJcar	trois
.	PONfrt	.

La	DETdef	le
grant	ADJqua	grant
esperance	NOMcom	espérance
que	PROrel	que
nous	PROper	nous
avons	VERcjg	avoir
de	PRE	de
l'	DETdef	le
aide	NOMcom	aide
a	PRE	a
celui	PROdem	cel
par	PRE	par
qui	PROrel	que
toutes	DETind	tous
choses	NOMcom	chose
sont	VERcjg	estre
fetes	VERppe	faire
et	CONcoo	et
sans	PRE	sans
qui	PROrel	que
riens	PROind	rien
ne	ADVneg	ne
pourroit	VERcjg	pouvoir
estre	VERinf	estre
fet	VERppe	faire
,	PONfbl	,
”	PONpdr	”
“	PONpga	“
c'	PROdem	ce
est	VERcjg	estre
li	DETdef	le
Peres	NOMcom	pere
et	CONcoo	et
li	DETdef	le
Fius	NOMcom	fils
et	CONcoo	et
li	DETdef	le
Sains	ADJqua	saint
Esperis	NOMcom	esprit
,	PONfbl	,
lesqueles	PROrel	lequel
trois	DETcar	trois
tres	ADVgen	très
saintes	ADJqua	saint
et	CONcoo	et
tres	ADVgen	très
precieuses	ADJqua	precïos
choses	NOMcom	chose
sont	VERcjg	estre
uns	DETcar	un
seus	ADJqua	sol
Dieus	NOMpro	Dieu
en	PRE	en
Trinité	NOMcom	trinité
”	PONpdr	”
“	PONpga	“
nous	PROper	nous
donne	VERcjg	donner
talent	NOMcom	talent
de	PRE	de
metre	VERinf	metre
nostre	DETpos	notre
cuer	NOMcom	cuer
et	CONcoo	et
nostre	DETpos	notre
entendement	NOMcom	entendement
en	PRE	en
estude	NOMcom	étude
et	CONcoo	et
en	PRE	en
pensee	NOMcom	pensée
de	PRE	de
trouver	VERinf	trouver
un	DETndf	un
livre	NOMcom	livre
par	PRE	par
lequel	PROrel	lequel
cil	PROdem	cel
qui	PROrel	que
desirent	VERcjg	désirer
vivre	VERinf	vivre
en	PRE	en
pes	NOMcom	pais
soient	VERcjg	estre
enseignié	VERppe	enseigner
briement	ADVgen	briément
comment	ADVsub	comment
il	PROper	il
se	PROper	soi
defendront	VERcjg	défendre
de	PRE	de
ceus	PROdem	cil
qui	PROrel	que
a	PRE	a
tort	NOMcom	tort
et	CONcoo	et
par	PRE	par
mauvese	ADJqua	mauvais
cause	NOMcom	cause
les	PROper	il
assaudront	VERcjg	assalir
de	PRE	de
plet	NOMcom	plait
,	PONfbl	,
et	CONcoo	et
comment	ADVsub	comment
il	PROper	il
connoistront	VERcjg	connaître
le	DETdef	le
droit	NOMcom	droit
du	PRE.DETdef	de.le
tort	NOMcom	tort
,	PONfbl	,
usé	VERppe	user
et	CONcoo	et
acoustumé	VERppe	accoutumer
en	PRE	en
la	DETdef	le
conteé	NOMcom	conté
de	PRE	de
Clermont	NOMpro	Clermont
en	PRE	en
Beauvoisins	NOMpro	Beauvoisin
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
nous	PROper	nous
sommes	VERcjg	être
de	PRE	de
celui	DETdem	cel
païs	NOMcom	päis
et	CONcoo	et
que	CONsub	que
nous	PROper	nous
nous	PROper	nous
sommes	VERcjg	être
entremis	VERppe	entremettre
de	PRE	de
garder	VERinf	garder
et	CONcoo	et
de	PRE	de
fere	VERinf	faire
garder	VERinf	garder
les	DETdef	le
drois	NOMcom	droit
et	CONcoo	et
les	DETdef	le
coustumes	NOMcom	coutume
de	PRE	de
ladite	DETcom	ledit
conteé	NOMcom	conté
par	PRE	par
la	DETdef	le
volonté	NOMcom	volonté
du	PRE.DETdef	de.le
tres	ADVgen	très
haut	ADJqua	haut
homme	NOMcom	homme
et	CONcoo	et
tres	ADVgen	très
noble	ADJqua	noble
Robert	NOMpro	Robert
,	PONfbl	,
fil	NOMcom	fil
du	PRE.DETdef	de.le
roi	NOMcom	roi
de	PRE	de
France	NOMpro	France
,	PONfbl	,
conte	NOMcom	conte
de	PRE	de
Clermont	NOMpro	Clermont
,	PONfbl	,
devons	VERcjg	devoir
nous	PROper	nous
avoir	VERinf	avoir
plus	ADVgen	plus
grant	ADJqua	grant
volenté	NOMcom	volonté
de	PRE	de
trouver	VERinf	trouver
selonc	PRE	selon
les	DETdef	le
coustumes	NOMcom	coutume
dudit	PRE.DETcom	de.ledit
païs	NOMcom	päis
que	CONsub	que
d'	PRE	de
autre	PROind	autre
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
regardons	VERcjg	regarder
.III	PROcar	trois
.	PONfrt	.

resons	NOMcom	raison
principaus	ADJqua	principal
qui	PROrel	que
a	PRE	a
ce	PROdem	ce
nous	PROper	nous
doivent	VERcjg	devoir
mouvoir	VERinf	mouvoir
.	PONfrt	.

La	DETdef	le
premiere	ADJord	premier
reson	NOMcom	raison
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
que	CONsub	que
Dieus	NOMpro	Dieu
commanda	VERcjg	commander
que	CONsub	que
l'en	PROind	loin
amast	VERcjg	amer
son	DETpos	son
proisme	NOMcom	proisme
comme	CONsub	comme
soi	PROper	soi
meisme	ADJind	même
,	PONfbl	,
et	CONcoo	et
cil	PROdem	cel
dudit	PRE.DETcom	de.ledit
païs	NOMcom	päis
sont	VERcjg	estre
nostre	DETpos	notre
proisme	NOMcom	proisme
par	PRE	par
reson	NOMcom	raison
de	PRE	de
voisinage	NOMcom	voisinage
et	CONcoo	et
de	PRE	de
nacion	NOMcom	nation
,	PONfbl	,
et	CONcoo	et
teus	PROind	tel
i	PROadv	i
a	VERcjg	avoir
de	PRE	de
lignage	NOMcom	lignage
.	PONfrt	.

Si	ADVgen	si
nous	PROper	nous
semble	VERcjg	sembler
grans	ADJqua	grand
pourfis	NOMcom	pourfis
se	CONsub	se
nous	PROper	nous
,	PONfbl	,
par	PRE	par
nostre	DETpos	notre
travail	NOMcom	travail
,	PONfbl	,
a	PRE	a
l'	DETdef	le
aide	NOMcom	aide
de	PRE	de
Dieu	NOMpro	Dieu
,	PONfbl	,
leur	PROper	leur
pouons	VERcjg	pouvoir
parfere	VERinf	parfaire
cest	DETdem	cest
livre	NOMcom	livre
par	PRE	par
lequel	PROrel	lequel
il	PROper	il
puissent	VERcjg	pöoir
estre	VERinf	estre
enseignié	VERppe	enseigner
de	PRE	de
pourchacier	VERinf	pourchasser
leur	DETpos	leur
droit	NOMcom	droit
et	CONcoo	et
de	PRE	de
lessier	VERinf	laissier
leur	DETpos	leur
tort	NOMcom	tort
.	PONfrt	.

La	DETdef	le
seconde	ADJord	second
reson	NOMcom	raison
si	ADVgen	si
est	VERcjg	estre
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
nous	PROper	nous
puissons	VERcjg	pouvoir
fere	VERinf	faire
,	PONfbl	,
a	PRE	a
l'	DETdef	le
aide	NOMcom	aide
de	PRE	de
Dieu	NOMpro	Dieu
,	PONfbl	,
aucune	DETind	aucun
chose	NOMcom	chose
qui	PROrel	que
plese	VERcjg	plaire
a	PRE	a
nostre	DETpos	notre
seigneur	NOMcom	seigneur
le	DETdef	le
conte	NOMcom	conte
et	CONcoo	et
a	PRE	a
ceus	PROdem	cil
de	PRE	de
son	DETpos	son
conseil	NOMcom	conseil
,	PONfbl	,
car	CONcoo	car
,	PONfbl	,
se	CONsub	se
Dieu	NOMpro	Dieu
plest	VERcjg	plaire
,	PONfbl	,
par	PRE	par
cest	DETdem	cest
livre	NOMcom	livre
pourra	VERcjg	pouvoir
il	PROper	il
estre	VERinf	estre
enseignié	VERppe	enseigner
comment	ADVsub	comment
il	PROper	il
devera	VERcjg	devoir
garder	VERinf	garder
et	CONcoo	et
fere	VERinf	faire
garder	VERinf	garder
les	DETdef	le
coustumes	NOMcom	coutume
de	PRE	de
sa	DETpos	son
terre	NOMcom	terre
de	PRE	de
la	DETdef	le
conteé	NOMcom	conté
de	PRE	de
Clermont	NOMpro	Clermont
,	PONfbl	,
si	ADVgen	si
que	CONsub	que
si	DETpos	son
homme	NOMcom	homme
et	CONcoo	et
li	DETdef	le
menus	ADJqua	menu
pueples	NOMcom	pueple
puissent	VERcjg	pöoir
vivre	VERinf	vivre
en	PRE	en
pes	NOMcom	pais
dessous	PRE	dessus
lui	PROper	il
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
par	PRE	par
cest	DETdem	cest
enseignement	NOMcom	enseignement
li	DETdef	le
tricheeur	NOMcom	tricheur
et	CONcoo	et
li	DETdef	le
bareteeur	NOMcom	bareteur
soient	VERcjg	estre
tuit	PROind	tot
conneu	VERppe	connaître
en	PRE	en
leur	DETpos	leur
barat	NOMcom	barat
et	CONcoo	et
en	PRE	en
leur	DETpos	leur
tricherie	NOMcom	tricherie
et	CONcoo	et
bouté	VERppe	bouter
arrieres	ADVgen	ariere
par	PRE	par
le	DETdef	le
droit	NOMcom	droit
et	CONcoo	et
par	PRE	par
la	DETdef	le
justice	NOMcom	justice
le	DETdef	le
conte	NOMcom	conte
.	PONfrt	.

La	DETdef	le
tierce	ADJord	tiers
reson	NOMcom	raison
si	ADVgen	si
est	VERcjg	estre
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
nous	PROper	nous
devons	VERcjg	devoir
mieus	ADVgen	mieux
avoir	VERinf	avoir
en	PRE	en
memoire	NOMcom	mémoire
ce	PROdem	ce
que	PROrel	que
nous	PROper	nous
avons	VERcjg	avoir
veu	VERppe	voir
user	VERinf	user
et	CONcoo	et
jugier	VERinf	jugier
de	PRE	de
nostre	DETpos	notre
enfance	NOMcom	enfance
en	PRE	en
nostre	DETpos	notre
païs	NOMcom	päis
que	CONsub	que
d'	PRE	de
autre	DETind	autre
païs	NOMcom	päis
dont	PROrel	dont
nous	PROper	nous
n'	ADVneg	ne
avons	VERcjg	avoir
pas	ADVneg	pas
aprises	VERppe	aprendre
les	DETdef	le
coustumes	NOMcom	coutume
ne	CONcoo	ne
les	DETdef	le
usages	NOMcom	usage
.	PONfrt	.

Et	CONcoo	et
ne	CONcoo	ne
pourquant	ADVgen	pourquant
nous	PROper	nous
n'	ADVneg	ne
esperons	VERcjg	esperer
pas	ADVneg	pas
en	PRE	en
nous	PROper	nous
le	DETdef	le
sens	NOMcom	sens
par	PRE	par
lequel	PROrel	lequel
nous	PROper	nous
puissons	VERcjg	pouvoir
fournir	VERinf	fournir
cest	DETdem	cest
livre	NOMcom	livre
et	CONcoo	et
ceste	DETdem	cest
emprise	NOMcom	emprise
.	PONfrt	.

Mes	CONcoo	mais
l'en	PROind	loin
a	VERcjg	avoir
souvent	ADVgen	souvent
veu	VERppe	voir
avenir	VERinf	avenir
que	CONsub	que
maint	DETind	maint
homme	NOMcom	homme
ont	VERcjg	avoir
commencié	VERppe	commencer
bonnes	ADJqua	bon
euvres	NOMcom	oeuvre
qui	PROrel	que
n'	ADVneg	ne
avoient	VERcjg	avoir
pas	ADVneg	pas
le	DETdef	le
sens	NOMcom	sens
en	PRE	en
aus	PROper	il
de	PRE	de
parfournir	VERinf	parfournir
,	PONfbl	,
mes	CONcoo	mais
Dieus	NOMpro	Dieu
qui	PROrel	que
connoissoit	VERcjg	connaître
leur	DETpos	leur
cuers	NOMcom	cuer
et	CONcoo	et
leur	DETpos	leur
entendemens	NOMcom	entendement
,	PONfbl	,
leur	PROper	leur
envoioit	VERcjg	envoyer
sa	DETpos	son
grace	NOMcom	grâce
,	PONfbl	,
si	ADVgen	si
qu'	CONsub	que
il	PROper	il
parfesoient	VERcjg	parfaire
legierement	ADVgen	légèrement
ce	PROdem	ce
qui	PROrel	que
leur	PROper	leur
sembloit	VERcjg	sembler
grief	ADJqua	grief
au	PRE.DETdef	a
commencier	VERinf	commencer
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
la	DETdef	le
Sainte	ADJqua	saint
Escripture	NOMcom	écriture
dist	VERcjg	dire
il	PROper	il
:	PONfbl	:
“	PONpga	“
Commence	VERcjg	commencer
et	CONcoo	et
je	PROper	je
parferai	VERcjg	parfaire
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
en	PRE	en
la	DETdef	le
fiance	NOMcom	fïance
qu'	PROrel	que
il	PROper	il
parface	VERcjg	parfaire
et	CONcoo	et
que	CONsub	que
nous	PROper	nous
puissons	VERcjg	pouvoir
aquerre	VERinf	aquerre
son	DETpos	son
gré	NOMcom	gré
par	PRE	par
la	DETdef	le
peine	NOMcom	peine
et	CONcoo	et
par	PRE	par
le	DETdef	le
travail	NOMcom	travail
que	PROrel	que
nous	PROper	nous
i	PROadv	i
metrons	VERcjg	mettre
,	PONfbl	,
avons	VERcjg	avoir
nous	PROper	nous
commencié	VERppe	commencer
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
que	CONsub	que
nous	PROper	nous
entendons	VERcjg	entendre
a	PRE	a
confermer	VERinf	confermer
grant	ADJqua	grant
partie	NOMcom	partie
de	PRE	de
cest	DETdem	cest
livre	NOMcom	livre
par	PRE	par
les	DETdef	le
jugemens	NOMcom	jugement
qui	PROrel	que
ont	VERcjg	avoir
esté	VERppe	être
fet	VERppe	faire
en	PRE	en
nos	DETpos	notre
tans	NOMcom	tens
en	PRE	en
ladite	DETcom	ledit
conteé	NOMcom	conté
de	PRE	de
Clermont	NOMpro	Clermont
;	PONfbl	;
et	CONcoo	et
l'	DETdef	le
autre	ADJind	autre
partie	NOMcom	partie
par	PRE	par
clers	ADJqua	cler
usages	NOMcom	usage
et	CONcoo	et
par	PRE	par
cleres	ADJqua	clair
coustumes	NOMcom	coutume
usees	VERppe	user
et	CONcoo	et
acoustumees	VERppe	accoutumer
de	PRE	de
lonc	ADJqua	lonc
tans	NOMcom	tens
pesiblement	ADVgen	pesiblement
;	PONfbl	;
et	CONcoo	et
l'	DETdef	le
autre	ADJind	autre
partie	NOMcom	partie
,	PONfbl	,
des	PRE.DETdef	de.le
cas	NOMcom	cas
douteus	ADJqua	douteux
en	PRE	en
ladite	DETcom	ledit
conteé	NOMcom	conté
,	PONfbl	,
par	PRE	par
le	DETdef	le
jugement	NOMcom	jugement
des	PRE.DETdef	de.le
chasteleries	NOMcom	chastelerie
voisines	NOMcom	voisine
;	PONfbl	;
et	CONcoo	et
l'	DETdef	le
autre	ADJind	autre
partie	NOMcom	partie
par	PRE	par
le	DETdef	le
droit	NOMcom	droit
qui	PROrel	que
est	VERcjg	estre
communs	ADJqua	commun
a	PRE	a
tous	PROind	tous
ou	PRE.DETdef	en.le
roiaume	NOMcom	royaume
de	PRE	de
France	NOMpro	France
.	PONfrt	.

Et	CONcoo	et
s'	CONsub	se
aucuns	PROind	aucun
a	VERcjg	avoir
faim	NOMcom	faim
de	PRE	de
savoir	VERinf	savoir
qui	PROrel	que
cil	PROdem	cel
fu	VERcjg	estre
qui	PROrel	que
commença	VERcjg	commencer
cest	DETdem	cest
livre	NOMcom	livre
,	PONfbl	,
nous	PROper	nous
ne	ADVneg	ne
nous	PROper	nous
voulons	VERcjg	vouloir
nommer	VERinf	nommer
devant	PRE	devant
la	DETdef	le
fin	NOMcom	fin
du	PRE.DETdef	de.le
livre	NOMcom	livre
,	PONfbl	,
se	CONsub	se
Dieus	NOMpro	Dieu
donne	VERcjg	donner
que	CONsub	que
nous	PROper	nous
le	PROper	il
metons	VERcjg	mettre
a	PRE	a
fin	NOMcom	fin
.	PONfrt	.

Car	CONcoo	car
aucune	DETind	aucun
fois	NOMcom	fois
est	VERcjg	estre
li	DETdef	le
bons	ADJqua	bon
vins	NOMcom	vin
refusés	VERppe	refuser
quant	CONsub	cant
on	PROind	on
nomme	VERcjg	nommer
le	DETdef	le
terroir	NOMcom	terroir
la	ADVgen	là
ou	PROrel	où
il	PROper	il
crut	VERcjg	croître
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
l'	DETdef	le
on	PROind	on
ne	ADVneg	ne
croit	VERcjg	croire
pas	ADVneg	pas
que	CONsub	que
teus	DETind	tel
terroirs	NOMcom	terroir
puist	VERcjg	pouvoir
tel	DETind	tel
vin	NOMcom	vin
porter	VERinf	porter
,	PONfbl	,
et	CONcoo	et
aussi	ADVgen	aussi
nous	PROper	nous
doutons	VERcjg	douter
nous	PROper	nous
,	PONfbl	,
se	CONsub	se
l'en	PROind	loin
savoit	VERcjg	savoir
si	ADVgen	si
tost	ADVgen	tost
nostre	DETpos	notre
non	NOMcom	nom
,	PONfbl	,
que	CONsub	que
,	PONfbl	,
pour	PRE	pour
le	DETdef	le
petit	ADJqua	petit
sens	NOMcom	sens
qui	PROrel	que
est	VERcjg	estre
en	PRE	en
nous	PROper	nous
,	PONfbl	,
nostre	DETpos	notre
euvre	NOMcom	oeuvre
n'	ADVneg	ne
en	PROadv	en
fust	VERcjg	estre
meins	ADVgen	moins
prisiee	VERppe	prisier
.	PONfrt	.

Mes	CONcoo	mais
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
nous	PROper	nous
veons	VERcjg	vëoir
user	VERinf	user
selonc	PRE	selon
les	DETdef	le
coustumes	NOMcom	coutume
des	PRE.DETdef	de.le
terres	NOMcom	terre
et	CONcoo	et
lessier	VERinf	laissier
les	DETdef	le
anciennes	ADJqua	ancien
lois	NOMcom	loi
pour	PRE	pour
les	DETdef	le
coustumes	NOMcom	coutume
,	PONfbl	,
il	PROimp	il
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
,	PONfbl	,
et	CONcoo	et
as	PRE.DETdef	à.le
autres	PROind	autre
aussi	ADVgen	aussi
,	PONfbl	,
que	CONsub	que
teus	DETind	tel
coustumes	NOMcom	coutume
qui	PROrel	que
maintenant	ADVgen	maintenant
sont	VERcjg	estre
usees	VERppe	user
sont	VERcjg	estre
bonnes	ADJqua	bon
et	CONcoo	et
pourfitables	ADJqua	profitable
a	PRE	a
escrire	VERinf	escrire
et	CONcoo	et
a	PRE	a
enregistrer	VERinf	enregistrer
si	ADVgen	si
qu'	CONsub	que
eles	PROper	il
soient	VERcjg	estre
maintenues	VERppe	maintenir
sans	PRE	sans
changier	VERinf	changier
des	PRE	des
ore	ADVgen	or
en	PRE	en
avant	ADVgen	avant
,	PONfbl	,
que	CONsub	que
,	PONfbl	,
par	PRE	par
les	DETdef	le
memoires	NOMcom	mémoire
qui	PROrel	que
sont	VERcjg	estre
escoulourjans	ADJqua	escolorgent
et	CONcoo	et
par	PRE	par
les	DETdef	le
vies	NOMcom	vie
as	PRE.DETdef	à.le
gens	NOMcom	gens
qui	PROrel	que
sont	VERcjg	estre
courtes	ADJqua	court
,	PONfbl	,
ce	PROdem	ce
qui	PROrel	que
n'	ADVneg	ne
est	VERcjg	estre
escrit	VERppe	écrire
est	VERcjg	estre
tost	ADVgen	tost
oublié	VERppe	oublier
.	PONfrt	.

Et	CONcoo	et
bien	ADVgen	bien
i	PROadv	i
pert	VERcjg	perdre
a	PRE	a
ce	PROdem	ce
que	CONsub	que
les	DETdef	le
coustumes	NOMcom	coutume
sont	VERcjg	estre
si	ADVgen	si
diverses	ADJqua	divers
que	CONsub	que
l'en	PROind	loin
ne	ADVneg	ne
pourroit	VERcjg	pouvoir
pas	ADVneg	pas
trouver	VERinf	trouver
ou	PRE.DETdef	en.le
roiaume	NOMcom	royaume
de	PRE	de
France	NOMpro	France
deus	DETcar	deux
chasteleries	NOMcom	chastelerie
qui	PROrel	que
de	PRE	de
tous	DETind	tous
cas	NOMcom	cas
usassent	VERcjg	user
d'	PRE	de
une	DETndf	un
meisme	ADJind	même
coustume	NOMcom	coutume
.	PONfrt	.

Mes	CONcoo	mais
pour	PRE	pour
ce	PROdem	ce
ne	ADVneg	ne
doit	VERcjg	devoir
on	PROind	on
pas	ADVneg	pas
lessier	VERinf	laissier
a	PRE	a
aprendre	VERinf	aprendre
et	CONcoo	et
a	PRE	a
retenir	VERinf	retenir
les	DETdef	le
coustumes	NOMcom	coutume
du	PRE.DETdef	de.le
païs	NOMcom	päis
ou	PROrel	où
l'en	PROind	loin
est	VERcjg	estre
estans	VERppa	être
et	CONcoo	et
demourans	VERppa	demeurer
,	PONfbl	,
car	CONcoo	car
plus	ADVgen	plus
legierement	ADVgen	légèrement
en	PROadv	en
aprent	VERcjg	apprendre
on	PROind	on
et	CONcoo	et
retient	VERcjg	retenir
on	PROind	on
les	DETdef	le
autres	PROind	autre
