Philippes	NOMpro	Philippe
de	PRE	de
Taün	NOMpro	Taon
En	PRE	en
franceise	ADJqua	français
raisun	NOMcom	raison
At	VERcjg	avoir
estrait	VERppe	extraire
Bestiaire	NOMpro	Bestiaire
,	PONfbl	,
Un	DETndf	un
livre	NOMcom	livre
de	PRE	de
gramaire	NOMcom	grammaire
,	PONfbl	,
Pur	PRE	pour
l'	DETdef	le
onur	NOMcom	honneur
d'	PRE	de
une	DETndf	un
geme	NOMcom	gemme
Ki	PROrel	qui
mult	ADVgen	moult
est	VERcjg	estre
bele	ADJqua	bel
feme	NOMcom	femme
E	CONcoo	et
est	VERcjg	estre
curteise	ADJqua	courtois
e	CONcoo	et
sage	ADJqua	sage
,	PONfbl	,
De	PRE	de
bones	ADJqua	bon
murs	NOMcom	mur
e	CONcoo	et
large	ADJqua	large
:	PONfbl	:
Aaliz	NOMpro	Alice
est	VERcjg	estre
numee	VERppe	nommer
,	PONfbl	,
Reïne	NOMcom	röine
est	VERcjg	estre
corunee	VERppe	couronner
,	PONfbl	,
Reïne	NOMcom	röine
est	VERcjg	estre
d'	PRE	de
Engletere	NOMpro	Angleterre
;	PONfbl	;
Sue	DETpos	sien
anme	NOMcom	âme
n'	ADVneg	ne
ait	VERcjg	avoir
ja	ADVgen	ja
guere	NOMcom	guerre
!	PONfrt	!

E	CONcoo	et
oëz	VERcjg	ouïr
de	PRE	de
sun	DETpos	son
num	NOMcom	nom
Que	CONsub	que
en	PRE	en
ebreu	NOMcom	hébreu
truvum	VERcjg	trouver
:	PONfbl	:
Aaliz	NOMpro	Alice
sis	DETpos	son
nuns	NOMcom	nom
est	VERcjg	estre
;	PONfbl	;
Loënge	NOMcom	louange
de	PRE	de
Dé	NOMpro	dieu
est	VERcjg	estre
En	PRE	en
ebreu	NOMcom	hébreu
en	PRE	en
verté	NOMcom	verité
Aaliz	NOMpro	Alice
,	PONfbl	,
laus	NOMcom	los
de	PRE	de
Dé	NOMpro	dieu
.	PONfrt	.

N'	ADVneg	ne
en	PROadv	en
os	VERcjg	oser
faire	VERinf	faire
loënge	NOMcom	louange
,	PONfbl	,
Qu'	CONsub	que
envire	ADVgen	envire
ne	ADVneg	ne
me	PROper	je
prenge	VERcjg	prendre
,	PONfbl	,
Mais	CONcoo	mais
qu'	CONsub	que
el	PROper	il
seit	VERcjg	être
remembree	VERppe	remembrer
E	CONcoo	et
tuz	DETind	tous
jurz	NOMcom	jour
mais	ADVgen	mais
loëe	VERppe	louer
Cest	DETdem	cest
livre	NOMcom	livre
voil	VERcjg	vouloir
traitier	VERinf	traiter
;	PONfbl	;
Deus	NOMpro	Dieu
seit	VERcjg	être
al	PRE.DETdef	à.le
cumencier	VERinf	commencer
!	PONfrt	!

Ço	PROdem	ce
qu'	PROrel	que
en	PRE	en
griu	NOMcom	grief
est	VERcjg	estre
leün	NOMcom	lion
En	PRE	en
franceis	ADJqua	français
rei	NOMcom	roi
at	VERcjg	avoir
num	NOMcom	nom
.	PONfrt	.

Leüns	VERcjg	laisser
en	PRE	en
mainte	DETind	maint
guise	NOMcom	guise
Multes	DETind	moult
bestes	NOMcom	beste
justise	VERcjg	justicier
,	PONfbl	,
Pur	PRE	pour
ço	PROdem	ce
est	VERcjg	estre
reis	NOMcom	roi
leüns	NOMcom	lion
;	PONfbl	;
Or	ADVgen	or
oëz	VERcjg	ouïr
ses	DETpos	son
façuns	NOMcom	façon
:	PONfbl	:
Il	PROper	il
at	VERcjg	avoir
le	DETdef	le
vis	NOMcom	vis
herdu	VERppe	herdre
,	PONfbl	,
Gros	ADJqua	gros
le	DETdef	le
col	NOMcom	col
e	CONcoo	et
kernu	ADJqua	chernu
,	PONfbl	,
Quaré	ADJqua	caré
le	DETdef	le
piz	NOMcom	piz
devant	ADVgen	devant
,	PONfbl	,
Hardi	VERppe	hardi
e	CONcoo	et
cumbatant	VERppa	combattre
;	PONfbl	;
Graille	NOMcom	grêle
at	VERcjg	avoir
le	DETdef	le
trait	NOMcom	trait
deriere	ADVgen	derrière
,	PONfbl	,
Cue	CONsub	que
de	PRE	de
grant	ADJqua	grant
maniere	NOMcom	manière
,	PONfbl	,
E	CONcoo	et
les	DETdef	le
jambes	NOMcom	jambe
at	VERcjg	avoir
plates	ADJqua	plat
,	PONfbl	,
Juste	PRE	jouxte
les	DETdef	le
piez	NOMcom	pié
aates	VERcjg	aater
;	PONfbl	;
Les	DETdef	le
piez	NOMcom	pié
at	VERcjg	avoir
gros	ADJqua	gros
culpez	NOMcom	coupé
,	PONfbl	,
Luns	ADJqua	long
ungles	NOMcom	ongle
e	CONcoo	et
curvez	VERppe	courvoir
.	PONfrt	.

Quant	CONsub	quand
faim	NOMcom	faim
at	VERcjg	avoir
,	PONfbl	,
maltalent	NOMcom	maltalent
,	PONfbl	,
Bestes	NOMcom	beste
meine	VERcjg	mener
ensement	ADVgen	ensement
Cum	CONsub	comme
il	PROper	il
cest	DETdem	cest
asne	NOMcom	asne
fait	VERcjg	faire
,	PONfbl	,
Ki	PROrel	qui
rechanë	VERcjg	rechanter
e	CONcoo	et
brait	VERcjg	braire
.	PONfrt	.

Or	ADVgen	or
oëz	VERcjg	ouïr
senz	PRE	sans
dutance	NOMcom	doutance
D'	PRE	de
iço	PROdem	ce
signefiance	NOMcom	signefiance
.	PONfrt	.

Li	DETdef	le
leüns	NOMcom	lion
signefie	VERcjg	signefier
Le	DETdef	le
fiz	NOMcom	fils
Sainte	ADJqua	saint
Marie	NOMpro	Marie
;	PONfbl	;
Reis	NOMcom	roi
est	VERcjg	estre
de	PRE	de
tute	DETind	tout
gent	NOMcom	gent
Senz	PRE	sans
nul	DETind	nul
redutement	NOMcom	redoutement
;	PONfbl	;
Poanz	ADJqua	pöoir
est	VERcjg	estre
par	PRE	par
nature	NOMcom	nature
