Bien	ADVgen	bien
sacent	VERcjg	savoir
tot	DETind	tot
cil	PROdem	cel
ki	PROrel	qui
sont	VERcjg	estre
et	CONcoo	et
ki	PROrel	qui
seront	VERcjg	estre
ki	PROrel	qui
cest	DETdem	cest
escrit	NOMcom	écrit
veront	VERcjg	voir
et	CONcoo	et
oront	VERcjg	ouïr
que	CONsub	que
li	DETdef	le
eskievin	NOMcom	échevin
de	PRE	de
Saint	ADJqua	saint
Brisce	NOMpro	Brice
,	PONfbl	,
ki	PROrel	qui
les	DETdef	le
otrois	NOMcom	octroi
et	CONcoo	et
les	DETdef	le
rentes	NOMcom	rente
des	PRE.DETdef	de.le
povres	ADJqua	pauvre
ont	VERcjg	avoir
a	PRE	a
warder	VERinf	garder
,	PONfbl	,
arenterent	VERcjg	arrenter
a	PRE	a
Felipon	NOMpro	Philippe
Mousket	NOMpro	Mousket
et	CONcoo	et
a	PRE	a
son	DETpos	son
oir	NOMcom	hoir
par	PRE	par
.vj	PROcar	six
.	PONfrt	.

d.	NOMcom	denier
blans	ADJqua	blanc
u	CONcoo	ou
flamens	ADJqua	flamand
de	PRE	de
cens	NOMcom	cens
a	PRE	a
le	DETdef	le
Saint	ADJqua	saint
Remi	NOMpro	Rémi
et	CONcoo	et
.v	PROcar	cinq
.	PONfrt	.

sols	ADJqua	seul
a	PRE	a
deus	DETcar	deux
tiermines	NOMcom	termine
l'	DETdef	le
an	NOMcom	an
si	ADVgen	si
com	CONsub	come
le	DETdef	le
Candeler	NOMcom	chandeleur
et	CONcoo	et
fieste	NOMcom	fête
Saint	ADJqua	saint
Piere	NOMpro	Pierre
entrant	VERppa	entrer
aoust	VERcjg	août
,	PONfbl	,
le	DETdef	le
siste	ADJord	sexte
part	NOMcom	part
devant	ADVgen	devant
et	CONcoo	et
deriere	ADVgen	derrière
de	PRE	de
le	DETdef	le
maizon	NOMcom	maison
de	PRE	de
piere	NOMcom	pierre
ki	PROrel	qui
fu	VERcjg	estre
Wibiert	NOMpro	Wibiert
de	PRE	de
Maude	NOMpro	Maulde
,	PONfbl	,
borjois	NOMcom	borjois
de	PRE	de
Tornai	NOMpro	Tournai
,	PONfbl	,
qu'	PROrel	que
il	PROper	il
dona	VERcjg	doner
as	PRE.DETdef	à.le
povres	ADJqua	pauvre
por	PRE	por
Deu	NOMpro	Dieu
quant	CONsub	cant
il	PROper	il
moru	VERcjg	mourir
.	PONfrt	.

La	ADVgen	là
fu	VERcjg	estre
a	PRE	a
cest	DETdem	cest
arentement	NOMcom	arrentement
com	CONsub	come
eskievins	NOMcom	échevin
Nicole	NOMpro	Nicolas
Cars	NOMpro	Car
de	PRE	de
Vake	NOMpro	Vake
,	PONfbl	,
Wibiers	NOMpro	Wibiert
de	PRE	de
Morelporte	NOMpro	Morelporte
,	PONfbl	,
Nicole	NOMpro	Nicolas
li	DETdef	le
Borgnes	NOMpro	Borgne
,	PONfbl	,
Jakemes	NOMpro	Jacques
Warisons	NOMpro	Warison
,	PONfbl	,
Jehans	NOMpro	Jean
de	PRE	de
States	NOMpro	States
,	PONfbl	,
Jakemes	NOMpro	Jacques
de	PRE	de
Vilers	NOMpro	Vilers
,	PONfbl	,
Ades	NOMpro	Adam
Parlemens	NOMpro	Parlement
.	PONfrt	.

Tot	DETind	tot
cist	PROdem	cest
i	PROadv	i
furent	VERcjg	estre
com	CONsub	come
eskievins	NOMcom	échevin
.	PONfrt	.

Apriés	ADVgen	après
,	PONfbl	,
cierte	ADJqua	cert
cose	NOMcom	chose
soit	VERcjg	estre
que	CONsub	que
frere	NOMcom	frère
Sohiers	NOMpro	Sohier
de	PRE	de
Maroi	NOMpro	Maroi
sols	ADJqua	seul
.i	PROcar	un
.	PONfrt	.
