Molz	ADJqua	mout
pelerins	NOMcom	pèlerin
qui	PROrel	que
vunt	VERcjg	aller
al	PRE.DETdef	à.le
munt	NOMcom	mont
Enquierent	VERcjg	enquerre
molt	ADVgen	moult
,	PONfbl	,
et	CONcoo	et
grant	ADJqua	grant
dreit	NOMcom	droit
unt	VERcjg	avoir
,	PONfbl	,
Comment	ADVsub	comment
l'	DETdef	le
igliese	NOMcom	igliese
fut	VERcjg	être
fundee	VERppe	fondre
Premierement	ADVgen	premièrement
,	PONfbl	,
et	CONcoo	et
estoree	VERppe	estorer
.	PONfrt	.

Cil	PROdem	cel
qui	PROrel	que
lor	PROper	il
dient	VERcjg	dire
de	PRE	de
l'	DETdef	le
estoire	NOMcom	estoire
Que	PROrel	que
cil	PROdem	cel
demandent	VERcjg	demander
,	PONfbl	,
en	PRE	en
memoire	NOMcom	mémoire
Ne	ADVneg	ne
l'	PROper	il
unt	VERcjg	avoir
pas	ADVneg	pas
bien	ADVgen	bien
,	PONfbl	,
ainz	ADVgen	ainz
vunt	VERcjg	aller
faillant	VERppa	falir
En	PRE	en
plusors	DETind	plusor
leus	NOMcom	lieu
,	PONfbl	,
et	CONcoo	et
mespernant	VERppa	mesprendre
.	PONfrt	.

Por	PRE	por
faire	VERinf	faire
la	PROper	il
apertement	ADVgen	apartement
Entendre	VERinf	entendre
a	PRE	a
cels	PROdem	cil
qui	PROrel	que
escient	NOMcom	escient
N'	ADVneg	ne
unt	VERcjg	avoir
de	PRE	de
clerzie	NOMcom	clercié
,	PONfbl	,
l'	PROper	il
a	VERcjg	avoir
tornee	VERppe	torner
De	PRE	de
latin	NOMcom	latin
tote	ADVgen	tot
,	PONfbl	,
et	CONcoo	et
ordenee	VERppe	ordonner
Par	PRE	par
veirs	ADJqua	voir
romans	NOMcom	romanz
,	PONfbl	,
novelement	ADVgen	nouvellement
,	PONfbl	,
Molt	ADVgen	moult
en	PROadv	en
segrei	VERcjg	seoir
,	PONfbl	,
por	PRE	por
son	DETpos	son
convent	NOMcom	couvent
,	PONfbl	,
Vns	DETndf	un
jovencels	NOMcom	jouvenceau
:	PONfbl	:
moine	NOMcom	moine
est	VERcjg	estre
del	PRE.DETdef	de
munt	NOMcom	mont
.	PONfrt	.

Deus	NOMpro	Dieu
en	PRE	en
son	DETpos	son
reigne	NOMcom	règne
part	VERcjg	partir
li	PROper	il
dunt	PROrel	dont
!	PONfrt	!

Guillelme	NOMpro	Guillaume
a	VERcjg	avoir
non	NOMcom	nom
,	PONfbl	,
de	PRE	de
Seint	ADJqua	saint
Paier	NOMpro	Paier
,	PONfbl	,
Cen	PROdem	cent
vei	VERcjg	voir
escrit	VERppe	écrire
en	PRE	en
cest	DETdem	cest
quaier	NOMcom	caier
.	PONfrt	.

El	PRE.DETdef	en
tens	NOMcom	temps
Robeirt	NOMpro	Robert
de	PRE	de
Torignié	NOMpro	Torigné
Fut	VERcjg	être
cist	DETdem	cest
romanz	NOMcom	roman
fait	VERppe	faire
et	CONcoo	et
trové	VERppe	trover
.	PONfrt	.

Li	DETdef	le
romanz	NOMcom	roman
dit	VERcjg	dire
apertement	ADVgen	apartement
De	PRE	de
l'	DETdef	le
igliese	NOMcom	igliese
le	DETdef	le
trovement	NOMcom	trouvement
Et	CONcoo	et
pois	ADVgen	puis
des	PRE.DETdef	de.le
clers	NOMcom	clerc
,	PONfbl	,
cum	CONsub	comme
il	PROper	il
i	PROadv	i
furent	VERcjg	estre
,	PONfbl	,
Et	CONcoo	et
des	PRE.DETdef	de.le
moines	NOMcom	moine
qui	PROrel	que
encor	ADVgen	encore
durent	VERcjg	devoir
.	PONfrt	.

Les	DETdef	le
miracles	NOMcom	miracle
resunt	VERcjg	restre
escrit	VERppe	écrire
Dejoste	PRE	dejoste
cen	PROcar	cent
que	PROrel	que
je	PROper	je
i	PROadv	i
ai	VERcjg	avoir
dit	VERppe	dire
.	PONfrt	.

Cez	DETdem	cist
vers	NOMcom	vers
ici	ADVgen	ici
or	ADVgen	or
fenirai	VERcjg	fenir
Et	CONcoo	et
mon	DETpos	mon
romanz	NOMcom	roman
commencerai	VERcjg	commencer
.	PONfrt	.

Quant	CONsub	quand
Childebert	NOMpro	Childebert
