Sensuyt	VERcjg	sensuivre
la	DETdef	le
table	NOMcom	table
de	PRE	de
ce	DETdem	ce
present	ADJqua	présent
livre	NOMcom	livre
,	PONfbl	,
intitulé	VERppe	intituler
des	PRE.DETdef	de.le
Cent	ADJcar	cent
Nouvelles	NOMcom	nouvelle
,	PONfbl	,
lequel	PROrel	lequel
en	PRE	en
soy	PROper	soi
contient	VERcjg	contenir
cent	DETcar	cent
chapitres	NOMcom	chapitre
ou	CONcoo	o
histoires	NOMcom	histoire
,	PONfbl	,
ou	CONcoo	o
pour	PRE	pour
mieulx	ADVgen	mieux
dire	VERinf	dire
nouvelles	NOMcom	nouvelle
.	PONfrt	.

Compté	VERppe	compter
par	PRE	par
Monseigneur	NOMpro	Monseigneur
le	DETdef	le
Duc	NOMcom	duc
.	PONfrt	.

La	DETdef	le
premiere	ADJord	premier
nouvelle	ADJqua	nouveau
traicte	NOMcom	traite
d'	PRE	de
un	PROind	un
qui	PROrel	que
trouva	VERcjg	trouver
façon	NOMcom	façon
d'	PRE	de
avoir	VERinf	avoir
la	DETdef	le
femme	NOMcom	femme
de	PRE	de
son	DETpos	son
voisin	NOMcom	voisin
,	PONfbl	,
lequel	PROrel	lequel
il	PROper	il
avoit	VERcjg	avoir
envoyé	VERppe	envoyer
dehors	ADVgen	defors
pour	PRE	pour
plus	ADVgen	plus
aisément	ADVgen	aisément
l'	DETdef	le
avoir	VERinf	avoir
;	PONfbl	;
et	CONcoo	et
luy	PROper	lui
,	PONfbl	,
retourné	VERppe	retourner
de	PRE	de
son	DETpos	son
voiage	NOMcom	voyage
,	PONfbl	,
trouva	VERcjg	trouver
celuy	PROdem	cel
qui	PROrel	que
se	PROper	soi
baignoit	VERcjg	baignier
avec	PRE	avec
sa	DETpos	son
femme	NOMcom	femme
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
non	ADVneg	non
sachant	VERppa	savoir
que	CONsub	que
ce	PROdem	ce
fust	VERcjg	estre
elle	PROper	elle
,	PONfbl	,
la	PROper	il
volut	VERcjg	voloir
voir	ADJqua	voir
;	PONfbl	;
et	CONcoo	et
permis	VERppe	permettre
luy	PROper	lui
fut	VERcjg	être
de	PRE	de
seullement	ADVgen	seulement
veoir	VERinf	vëoir
le	PROper	il
derriere	ADVgen	derrier
:	PONfbl	:
et	CONcoo	et
alors	ADVgen	alors
jugea	VERcjg	jugier
que	CONsub	que
ce	PROdem	ce
luy	PROper	lui
sembla	VERcjg	sembler
sa	DETpos	son
femme	NOMcom	femme
,	PONfbl	,
mais	CONcoo	mais
croire	VERinf	croire
ne	ADVneg	ne
l'	PROper	il
osa	VERcjg	oser
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
sur	PRE	sur
ce	PROdem	ce
,	PONfbl	,
se	PROper	soi
partit	VERcjg	partir
et	CONcoo	et
vint	VERcjg	venir
trouver	VERinf	trouver
sa	DETpos	son
femme	NOMcom	femme
a	PRE	a
l'	DETdef	le
ostel	NOMcom	ostel
,	PONfbl	,
qu'	PROrel	que
on	PROind	on
avoit	VERcjg	avoir
boutée	VERppe	bouter
hors	ADVgen	hors
par	PRE	par
une	DETndf	un
posterne	NOMcom	posterle
;	PONfbl	;
et	CONcoo	et
luy	PROper	lui
compta	VERcjg	conter
son	DETpos	son
ymaginacion	NOMcom	imagination
.	PONfrt	.

Par	PRE	par
Monseigneur	NOMpro	Monseigneur
le	DETdef	le
Duc	NOMcom	duc
La	DETdef	le
secunde	ADJord	second
nouvelle	NOMcom	nouvelle
,	PONfbl	,
comptée	VERppe	conter
par	PRE	par
monseigneur	NOMcom	monseigneur
le	DETdef	le
duc	NOMcom	duc
Philipe	NOMpro	Philippe
,	PONfbl	,
d'	PRE	de
une	DETndf	un
jeune	ADJqua	jeune
fille	NOMcom	fille
qui	PROrel	que
avoit	VERcjg	avoir
le	DETdef	le
mal	NOMcom	mal
de	PRE	de
broches	NOMcom	broche
,	PONfbl	,
la	PROrel	lequel
quelle	PROrel	quel
creva	VERcjg	crever
a	PRE	a
ung	DETndf	un
cordelier	NOMcom	cordelier
qui	PROrel	que
la	PROper	il
vouloit	VERcjg	vouloir
mediciner	VERinf	médiciner
ung	DETndf	un
seul	ADJqua	sol
bon	ADJqua	bon
