Bonseürus	ADJqua	bonseureux
fu	VERcjg	estre
li	DETdef	le
hom	NOMcom	homme
qui	PROrel	que
nient	ADVgen	néant
n'	ADVneg	ne
ala	VERcjg	aller
el	PRE.DETdef	en
conseil	NOMcom	conseil
des	PRE.DETdef	de.le
feluns	NOMcom	félon
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
voie	NOMcom	voie
des	PRE.DETdef	de.le
pecheörs	NOMcom	pechëor
n'	ADVneg	ne
estut	VERcjg	estovoir
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
chaiere	NOMcom	chaire
de	PRE	de
pestilence	NOMcom	pestilence
ne	ADVneg	ne
sist	VERcjg	sëoir
.	PONfrt	.

BEATUS	ADJqua	bat
VIR	NOMcom	vir
QUI	PROrel	quoi
NON	ADVneg	non
ABIIT	VERcjg	abier
IN	ETR	in
CONSILIO	ETR	Conseil
IMPIORUM	ETR	IMeum
,	PONfbl	,
ET	CONcoo	et
IN	DETcar	in
VIA	DETcar	sept
PECCATORUM	ETR	PECLUM
NON	ADVneg	non
STETIT	VERcjg	saiter
,	PONfbl	,
ET	CONcoo	et
IN	DETcar	in
CATHEDRA	NOMpro	Cathaur
PESTILENTIE	NOMcom	pestilenté
NON	ADVneg	non
SEDIT	VERcjg	saidir
.	PONfrt	.

Adans	NOMpro	Adan
nos	DETpos	notre
premiers	ADJord	premier
peires	NOMcom	père
ne	ADVneg	ne
fu	VERcjg	estre
miebeatus	ADVgen	miebeau
vir	ADJqua	vir
,	PONfbl	,
car	CONcoo	car
il	PROper	il
ala	VERcjg	aller
el	PRE.DETdef	en
conseil	NOMcom	conseil
des	PRE.DETdef	de.le
feluns	NOMcom	félon
,	PONfbl	,
del	PRE.DETdef	de
serpent	NOMcom	serpent
et	CONcoo	et
d'	PRE	de
Eve	NOMpro	avoir
,	PONfbl	,
qui	PROrel	que
li	PROper	il
firent	VERcjg	faire
la	DETdef	le
Deu	NOMpro	Dieu
obedience	NOMcom	obédience
enfreindre	VERinf	enfreindre
.	PONfrt	.

Et	CONcoo	et
il	PROper	il
estut	VERcjg	estovoir
en	PRE	en
la	DETdef	le
voie	NOMcom	voie
des	PRE.DETdef	de.le
pecheörs	NOMcom	pechëor
quant	CONsub	cant
il	PROper	il
se	PROper	soi
delita	VERcjg	delitier
en	PRE	en
ce	PROdem	ce
ke	CONsub	que
li	DETdef	le
serpens	NOMcom	serpent
et	CONcoo	et
Eve	NOMpro	avoir
le	PROper	il
deceürent	VERcjg	decevoir
et	CONcoo	et
il	PROper	il
li	PROper	il
premistrent	VERcjg	premettre
qu'	CONsub	que
il	PROper	il
savroit	VERcjg	savoir
et	CONcoo	et
bien	NOMcom	bien
et	CONcoo	et
mal	NOMcom	mal
et	CONcoo	et
seroit	VERcjg	estre
si	ADVgen	si
cumme	CONsub	comme
Dex	NOMpro	dieu
;	PONfbl	;
ço	PROdem	ce
est	VERcjg	estre
,	PONfbl	,
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
morroit	VERcjg	morir
ja	ADVgen	ja
.	PONfrt	.

Et	CONcoo	et
il	PROper	il
seïst	VERcjg	sëoir
en	PRE	en
la	DETdef	le
chaiere	NOMcom	chaire
de	PRE	de
pestilence	NOMcom	pestilence
quant	CONsub	cant
il	PROper	il
escusa	VERcjg	escuser
sun	DETpos	son
pechiét	NOMcom	péché
envers	PRE	envers
Deu	NOMpro	Dieu
,	PONfbl	,
car	CONcoo	car
il	PROper	il
deüst	VERcjg	devoir
avoir	VERinf	avoir
dit	VERppe	dire
:Pecavi	VERcjg	chéchavir
Domine	NOMcom	domine
,	PONfbl	,
miserere	NOMcom	miserere
mei	PROper	moi
.	PONfrt	.

Ço	PROdem	ce
est	VERcjg	estre
:	PONfbl	:
Sire	NOMcom	seignor
,	PONfbl	,
jo	PROper	je
ai	VERcjg	avoir
pechié	VERppe	pechié
,	PONfbl	,
aies	VERcjg	avoir
merci	NOMcom	merci
de	PRE	de
moi	PROper	je
.	PONfrt	.

Ce	PROdem	ce
ne	ADVneg	ne
dist	VERcjg	dire
il	PROper	il
mie	ADVneg	mie
,	PONfbl	,
einz	ADVgen	ainz
monta	VERcjg	monter
en	PRE	en
la	DETdef	le
chaire	NOMcom	chaire
de	PRE	de
sotie	NOMcom	sostie
si	ADVgen	si
se	PROper	soi
commença	VERcjg	commencer
a	PRE	a
defendre	VERinf	défendre
et	CONcoo	et
a	PRE	a
deraisnier	VERinf	deraisnier
envers	PRE	envers
Deu	NOMpro	Dieu
et	CONcoo	et
dist	VERcjg	dire
:Mulier	NOMpro	Mulier
quam	CONsub	quam
dedisti	VERcjg	déditier
mihi	PROper	moi
decepit	VERcjg	décepir
me	PROper	je
et	CONcoo	et
comedi	VERcjg	comédir
.	PONfrt	.

Ço	PROdem	ce
est	VERcjg	estre
,	PONfbl	,
la	DETdef	le
femme	NOMcom	femme
que	PROrel	que
tu	PROper	tu
me	PROper	je
donas	VERcjg	doner
me	PROper	je
deçut	VERcjg	decevoir
et	CONcoo	et
jo	PROper	je
manjai	VERcjg	mangier
.	PONfrt	.

Quenses	NOMcom	conse
,	PONfbl	,
se	CONsub	se
jo	PROper	je
ai	VERcjg	avoir
pechié	VERppe	pechié
,	PONfbl	,
ço	PROdem	ce
est	VERcjg	estre
ta	DETpos	ton
culpe	NOMcom	coulpe
,	PONfbl	,
ke	CONsub	que
la	DETdef	le
femme	NOMcom	femme
me	PROper	je
donas	VERcjg	doner
ki	PROrel	qui
me	PROper	je
deceut	VERcjg	decevoir
.	PONfrt	.

Mais	CONcoo	mais
nostre	DETpos	notre
SireJhesus	NOMpro	Siréhus
Cristus	ETR	Christus
secundus	ETR	SECLUM
Adamil	NOMpro	Adami
fubeatus	VERcjg	fubeter
vircar	CONcoo	vircar
il	PROper	il
n'	ADVneg	ne
ala	VERcjg	aller
mie	ADVneg	mie
el	PRE.DETdef	en
conseil	NOMcom	conseil
des	PRE.DETdef	de.le
feluns	NOMcom	félon
,	PONfbl	,
des	PRE.DETdef	de.le
Judeus	NOMpro	Juif
ki	PROrel	qui
li	PROper	il
distrent	VERcjg	dire
:Si	CONsub	si
Filius	NOMcom	filius
Dei	NOMpro	Dieu
est	VERcjg	estre
,	PONfbl	,
descendat	VERcjg	décendre
de	PRE	de
cruce	NOMcom	crouce
et	CONcoo	et
credimus	NOMcom	crédime
ei	VERcjg	avoir
.	PONfrt	.

Ço	PROdem	ce
est	VERcjg	estre
,	PONfbl	,
s'	CONsub	se
il	PROper	il
est	VERcjg	estre
li	DETdef	le
Fils	NOMcom	fils
Deu	NOMpro	Dieu
,	PONfbl	,
descende	VERcjg	descendre
de	PRE	de
la	DETdef	le
croiz	NOMcom	croix
et	CONcoo	et
nos	PROper	nos
creruns	VERcjg	croire
en	PRE	en
lui	PROper	il
.	PONfrt	.

Et	CONcoo	et
il	PROper	il
n'	ADVneg	ne
estoit	VERcjg	estre
mie	ADVneg	mie
en	PRE	en
la	DETdef	le
voie	NOMcom	voie
des	PRE.DETdef	de.le
pecheörs	NOMcom	pechëor
car	CONcoo	car
il	PROper	il
ne	ADVneg	ne
se	PROper	soi
delita	VERcjg	delitier
mie	ADVneg	mie
en	PRE	en
mundaine	ADJqua	mondain
richoise	NOMcom	richoise
,	PONfbl	,
car	CONcoo	car
quant	CONsub	cant
li	DETdef	le
Judeu	NOMpro	Juif
le	PROper	il
volrent	VERcjg	vouloir
faire	VERinf	faire
roi	NOMcom	roi
,	PONfbl	,
n'	ADVneg	ne
enn	PROadv	en
out	VERcjg	avoir
cure	NOMcom	cure
,	PONfbl	,
ne	ADVneg	ne
se	PROper	soi
delita	VERcjg	delitier
mie	ADVneg	mie
.	PONfrt	.

Et	CONcoo	et
ço	PROdem	ce
mostra	VERcjg	mostrer
il	PROper	il
bienquia	ADVgen	bienqui
non	ADVneg	non
stetit	ADJqua	stetit
in	PRE	en
via	NOMcom	vie
pecatorum	ETR	PECLUM
.	PONfrt	.

Ne	ADVneg	ne
vost	VERcjg	voloir
deliter	VERinf	delitier
el	PRE.DETdef	en
secle	NOMcom	siècle
,	PONfbl	,
ne	CONcoo	ne
n'	ADVneg	ne
i	PROadv	i
vost	VERcjg	voloir
demorer	VERinf	demorer
;	PONfbl	;
tart	ADVgen	tart
i	PROadv	i
vint	VERcjg	venir
,	PONfbl	,
povre	ADJqua	povre
vie	NOMcom	vie
i	PROadv	i
mena	VERcjg	mener
,	PONfbl	,
pøu	ADVgen	piu
i	PROadv	i
demora	VERcjg	demeurer
.	PONfrt	.

N'	ADVneg	ne
i	PROadv	i
estut	VERcjg	estovoir
que	ADVgen	que
.xxxii	PROcar	vint
.	PONfrt	.

ans	NOMcom	an
,	PONfbl	,
ke	CONsub	que
mil	DETcar	mille
e	CONcoo	et
cinc	DETcar	cinq
cenz	DETcar	cent
anz	NOMcom	an
i	PROadv	i
pøüst	VERcjg	paistre
richement	ADVgen	richement
ester	VERinf	ester
s'	CONsub	se
il	PROper	il
volsist	VERcjg	voloir
