LIVRE	NOMcom	livre
VI	DETcar	six
CHAPITRE	ETR	chapire
I	PROadv	i
La	DETdef	le
guerre	NOMcom	guerre
de	PRE	de
succession	NOMcom	soscession
de	PRE	de
Bourgogne	NOMpro	Burgonde
.	PONfrt	.

Icy	ADVgen	ici
retourne	VERcjg	retourner
l'	DETdef	le
acteur	NOMcom	acteur
à	PRE	à
sa	DETpos	son
matière	NOMcom	matiere
et	CONcoo	et
parle	VERcjg	parler
comment	ADVsub	comment
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Gueldres	NOMpro	Gueldres
,	PONfbl	,
pour	PRE	pour
lors	ADVgen	lors
chef	NOMcom	chef
des	PRE.DETdef	de.le
Flamens	NOMpro	Flamand
,	PONfbl	,
fut	VERcjg	être
tué	VERppe	tüer
devant	PRE	devant
Tournay	NOMpro	Tournai
,	PONfbl	,
et	CONcoo	et
lesditz	DETcom	ledit
Flamans	NOMpro	Flamand
mys	VERppe	metre
en	PRE	en
fuytte	NOMcom	fuitte
par	PRE	par
les	DETdef	le
Françoys	NOMpro	Français
qui	PROrel	que
estoient	VERcjg	être
dedans	PRE	dedans
ledict	DETcom	ledit
Tournay	NOMpro	Tournai
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Il	PROimp	il
est	VERcjg	estre
donc	ADVgen	donc
temps	NOMcom	temps
que	PROrel	que
je	PROper	je
revienne	VERcjg	revenir
à	PRE	à
ma	DETpos	mon
principalle	ADJqua	principal
matière	NOMcom	matiere
et	CONcoo	et
à	PRE	à
continuer	VERinf	continuer
le	DETdef	le
propoz	NOMcom	propot
de	PRE	de
ces	DETdem	ce
Memoires	NOMpro	Mémoire
encommencéz	VERppe	encommencer
à	PRE	à
vostre	DETpos	vostre
requeste	NOMcom	requête
,	PONfbl	,
monsr	NOMcom	moncre
l'	DETdef	le
arcevesque	NOMcom	archevêque
de	PRE	de
Vyenne	NOMpro	Vienne
.	PONfrt	.

Venu	VERppe	venir
que	CONsub	que
fut	VERcjg	être
ce	DETdem	ce
duc	NOMcom	duc
de	PRE	de
Gueldres	NOMpro	Gueldres
devant	PRE	devant
Tournay	NOMpro	Tournai
,	PONfbl	,
il	PROper	il
fait	VERcjg	faire
mettre	VERinf	mettre
les	DETdef	le
feux	NOMcom	feu
jusques	PRE	jusque
aux	PRE.DETdef	à.le
faulxbourgs	NOMcom	faubourg
.	PONfrt	.

Il	PROimp	il
y	PROadv	y
avoit	VERcjg	avoir
dedans	ADVgen	dedans
troys	DETcar	trois
ou	CONcoo	o
quattre	DETcar	quatre
cens	DETcar	cent
hommes	NOMcom	homme
d'	PRE	de
armes	NOMcom	arme
,	PONfbl	,
qui	PROrel	que
saillirent	VERcjg	salir
et	CONcoo	et
donnèrent	VERcjg	donner
sur	PRE	sur
la	DETdef	le
queue	NOMcom	queue
de	PRE	de
leurs	DETpos	leur
gens	NOMcom	gens
à	PRE	à
leur	DETpos	leur
retraicte	NOMcom	retraite
,	PONfbl	,
et	CONcoo	et
incontinent	ADVgen	incontinent
le	DETdef	le
peuple	NOMcom	peuple
se	PROper	soi
mist	VERcjg	mettre
à	PRE	à
fuyr	VERinf	fuir
.	PONfrt	.

Le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Gueldres	NOMpro	Gueldres
,	PONfbl	,
qui	PROrel	que
estoit	VERcjg	estre
très	ADVgen	très
vaillant	ADJqua	vaillant
,	PONfbl	,
tourna	VERcjg	tourner
pour	PRE	pour
cuyder	VERinf	cuider
donner	VERinf	donner
chemin	NOMcom	chemin
à	PRE	à
ses	DETpos	son
gens	NOMcom	gens
de	PRE	de
se	PROper	soi
retirer	VERinf	retirer
.	PONfrt	.

Il	PROper	il
fut	VERcjg	être
mal	ADVgen	mal
servy	VERppe	servir
et	CONcoo	et
fut	VERcjg	être
porté	VERppe	porter
par	PRE	par
terre	NOMcom	terre
et	CONcoo	et
tué	VERppe	tüer
,	PONfbl	,
et	CONcoo	et
pareillement	ADVgen	pareillement
assez	ADVgen	assez
bon	ADJqua	bon
nombre	NOMcom	nombre
de	PRE	de
ce	DETdem	ce
peuple	NOMcom	peuple
;	PONfbl	;
et	CONcoo	et
se	PROper	soi
trouva	VERcjg	trouver
bien	ADVgen	bien
peu	ADVgen	peu
de	PRE	de
gens	NOMcom	gens
du	PRE.DETdef	de.le
roy	NOMcom	roi
à	PRE	à
faire	VERinf	faire
cest	DETdem	cest
exploict	NOMcom	exploit
.	PONfrt	.

L'	DETdef	le
ost	NOMcom	ost
des	PRE.DETdef	de.le
Flamans	NOMpro	Flamand
avecques	PRE	avec
ceste	DETdem	cest
perte	NOMcom	perte
se	PROper	soi
retira	VERcjg	retirer
:	PONfbl	:
car	CONcoo	car
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
eut	VERcjg	avoir
que	ADVgen	que
une	DETndf	un
bende	NOMcom	bende
d'	PRE	de
entre	PRE	entre
eulx	PROper	eux
desfaicte	VERppe	défaire
.	PONfrt	.

Madamoyselle	NOMcom	madomaiselle
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
comme	CONsub	comme
l'	DETdef	le
on	PROind	on
dit	VERcjg	dire
,	PONfbl	,
eut	VERcjg	avoir
très	ADVgen	très
grand	ADJqua	grand
joye	NOMcom	joie
de	PRE	de
ceste	DETdem	cest
adventure	NOMcom	aventure
,	PONfbl	,
et	CONcoo	et
ceulx	PROdem	celui
qui	PROrel	que
l'	PROper	il
aymoyent	VERcjg	aimoyer
,	PONfbl	,
car	CONcoo	car
l'	DETdef	le
on	PROind	on
dit	VERcjg	dire
pour	PRE	pour
certain	ADJqua	certain
que	CONsub	que
lesditz	DETcom	ledit
Gantoys	NOMpro	Gantois
estoyent	VERcjg	être
deliberéz	VERppe	délibérer
de	PRE	de
le	PROper	il
luy	PROper	lui
faire	VERinf	faire
espouser	VERinf	esposer
par	PRE	par
force	NOMcom	force
;	PONfbl	;
car	CONcoo	car
de	PRE	de
son	DETpos	son
consentement	NOMcom	consentement
ne	ADVneg	ne
l'	PROper	il
eussent	VERcjg	avoir
sceü	VERppe	savoir
faire	VERinf	faire
,	PONfbl	,
pour	PRE	pour
plusieurs	DETind	plusieurs
raisons	NOMcom	raison
,	PONfbl	,
comme	CONsub	comme
vous	PROper	vous
avez	VERcjg	avoir
entendu	VERppe	entendre
de	PRE	de
luy	PROper	lui
par	PRE	par
cydevant	NOMcom	cidevant
.	PONfrt	.

.	PONfrt	.

Icy	ADVgen	ici
parle	VERcjg	parler
comment	ADVsub	comment
le	DETdef	le
roy	NOMcom	roi
se	PROper	soi
conduysoit	VERcjg	conduire
avec	PRE	avec
les	DETdef	le
Angloys	NOMpro	Anglois
durant	PRE	durant
le	DETdef	le
temps	NOMcom	temps
qu'	PROrel	que
il	PROper	il
faisoit	VERcjg	faire
la	DETdef	le
guerre	NOMcom	guerre
ès	PRE.DETdef	en.le
pays	NOMcom	pays
de	PRE	de
madamoyselle	NOMcom	madomaiselle
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
pour	PRE	pour
garder	VERinf	garder
qu'	CONsub	que
ilz	PROper	il
ne	ADVneg	ne
luy	PROper	lui
empeschassent	VERcjg	empeschier
son	DETpos	son
entreprise	NOMcom	entreprise
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Ceulx	PROdem	celui
qui	PROrel	que
verront	VERcjg	vëoir
ces	DETdem	ce
Memoires	NOMcom	mémoire
pour	PRE	pour
le	DETdef	le
temps	NOMcom	temps
advenir	VERinf	advenir
et	CONcoo	et
qui	PROrel	que
entendroyent	VERcjg	entendre
les	DETdef	le
choses	NOMcom	chose
et	CONcoo	et
affaires	NOMcom	affaire
de	PRE	de
ce	DETdem	ce
royaulme	NOMcom	royaume
et	CONcoo	et
des	PRE.DETdef	de.le
voysins	NOMcom	voisin
myeulx	ADVgen	mieux
que	CONsub	que
moy	PROper	moi
se	PROper	soi
pourront	VERcjg	pouvoir
esbahir	VERinf	esbäir
que	CONsub	que
,	PONfbl	,
depuis	PRE	depuis
la	DETdef	le
mort	NOMcom	mort
du	PRE.DETdef	de.le
duc	NOMcom	duc
Charles	NOMpro	Charles
de	PRE	de
Bourgongne	NOMpro	Burgonde
jusques	PRE	jusque
icy	ADVgen	ici
,	PONfbl	,
où	PROrel	où
il	PROimp	il
y	PROadv	y
a	VERcjg	avoir
distance	NOMcom	distance
près	ADVgen	près
d'	PRE	de
ung	DETndf	un
an	NOMcom	an
,	PONfbl	,
que	PROrel	que
je	PROper	je
n'	ADVneg	ne
ay	VERcjg	avoir
fait	VERppe	faire
nulle	DETind	nul
mention	NOMcom	mention
des	PRE.DETdef	de.le
Angloys	NOMpro	Anglois
,	PONfbl	,
et	CONcoo	et
comme	CONsub	comme
ilz	PROper	il
povoient	VERcjg	pouvoir
souffrir	VERinf	souffrir
que	CONsub	que
le	DETdef	le
roy	NOMcom	roi
mist	VERcjg	mettre
en	PRE	en
sa	DETpos	son
main	NOMcom	main
les	DETdef	le
villes	NOMcom	ville
si	ADVgen	si
voysines	NOMcom	voisine
d'	PRE	de
eulx	PROper	eux
,	PONfbl	,
comme	CONsub	comme
Arras	NOMpro	Arras
,	PONfbl	,
Boulongne	NOMpro	Boulonge
Hedyn	NOMpro	Hedin
,	PONfbl	,
Ardre	NOMpro	Ardre
et	CONcoo	et
plusieurs	DETind	plusieurs
chasteaulx	NOMcom	château
,	PONfbl	,
et	CONcoo	et
estoyent	VERcjg	être
logéz	VERppe	loger
devant	PRE	devant
SainctOmer	NOMpro	Saint-tomer
par	PRE	par
plusieurs	DETind	plusieurs
jours	NOMcom	jour
.	PONfrt	.

La	DETdef	le
cause	NOMcom	cause
estoit	VERcjg	estre
que	CONsub	que
le	DETdef	le
sens	NOMcom	sens
et	CONcoo	et
vertu	NOMcom	vertu
de	PRE	de
nostre	DETpos	notre
roy	NOMcom	roi
precedoit	VERcjg	préceder
celuy	PROdem	cel
du	PRE.DETdef	de.le
roy	NOMcom	roi
Edouard	NOMpro	Edouard
d'	PRE	de
Angleterre	NOMpro	Angleterre
,	PONfbl	,
qui	PROrel	que
pour	PRE	pour
lors	ADVgen	lors
regnoit	VERcjg	regner
,	PONfbl	,
combien	ADVgen	combien
que	CONsub	que
ledict	DETcom	ledit
