Suvent	ADVgen	souvent
sui	VERcjg	estre
preiez	VERppe	préer
de	PRE	de
mes	DETpos	mon
disciples	NOMcom	disciple
que	CONsub	que
jeo	PROper	je
lur	PROper	leur
esclairasce	VERcjg	éclairer
unes	DETndf	un
questiuns	NOMcom	quétion
e	CONcoo	et
pas	ADVneg	pas
ne	ADVneg	ne
poi	VERcjg	pöoir
muer	VERinf	muer
que	CONsub	que
nel	ADVneg.PROper	ne
fesisse	VERcjg	faire
,	PONfbl	,
ker	CONcoo	car
joe	NOMcom	jöe
cremeie	VERcjg	crémir
comperer	VERinf	comparer
,	PONfbl	,
se	CONsub	se
jeo	PROper	je
tutasse	VERcjg	touter
le	DETdef	le
tensor	NOMcom	tensor
ki	PROrel	qui
m'	PROper	je
esteit	VERcjg	être
cumandez	VERppe	commander
.	PONfrt	.

Job	NOMpro	Job
dit:“Deus	ADJqua	ditios
trairat	VERcjg	traire
de	PRE	de
sun	DETpos	son
ventre	NOMcom	ventre
les	DETdef	le
richeises	NOMcom	richaise
qu'	PROrel	que
il	PROper	il
devorat	VERcjg	dévorer
”	PONpdr	”
,	PONfbl	,
e	CONcoo	et
pur	PRE	pour
ceo	PROdem	ce
que	PROrel	que
mis	DETpos	mon
laburs	NOMcom	labour
ne	ADVneg	ne
profitast	VERcjg	profiter
sulement	ADVgen	seulement
à	PRE	à
la	DETdef	le
presente	ADJqua	présent
eed	NOMcom	ée
,	PONfbl	,
si	ADVgen	si
establi	VERcjg	établir
que	CONsub	que
il	PROper	il
profitast	VERcjg	profiter
à	PRE	à
la	DETdef	le
dederaine	NOMcom	dederaine
e	CONcoo	et
preai	VERcjg	prier
que	CONsub	que
ki	PROrel	qui
unques	ADVgen	onques
se	PROper	soi
voldreit	VERcjg	vouloir
estudier	VERinf	étudier
lisant	VERppa	lire
,	PONfbl	,
si	ADVgen	si
facet	VERcjg	faire
preieres	NOMcom	prière
à	PRE	à
Deu	NOMpro	Dieu
.	PONfrt	.

Si	CONsub	si
li	DETdef	le
titres	NOMcom	titeur
plaist	VERcjg	plaire
issi	ADVgen	issi
faiteirement	ADVgen	faiterement
à	PRE	à
l'	DETdef	le
ovre	NOMcom	oeuvre
,	PONfbl	,
Elucidaires	NOMpro	Elucider
est	VERcjg	estre
diz	VERppe	dire
.	PONfrt	.

En	PRE	en
lui	PROper	il
est	VERcjg	estre
esclairïe	VERppe	éclairir
l'	DETdef	le
oscurté	NOMcom	oscurté
de	PRE	de
diverses	DETind	divers
choses	NOMcom	chose
;	PONfbl	;
pur	PRE	pour
ceo	PROdem	ce
ne	ADVneg	ne
vuil	VERcjg	vouloir
jeo	PROper	je
mun	DETpos	mon
num	NOMcom	nom
demustrer	VERinf	démontrer
que	CONsub	que
li	DETdef	le
enivrus	ADJqua	enivreux
ne	ADVneg	ne
despisissent	VERcjg	despire
la	DETdef	le
profitable	ADJqua	profitable
ovre	NOMcom	oeuvre
laquele	PROrel	lequel
requierget	VERcjg	requérir
li	DETdef	le
letrez	NOMcom	letré
que	PROrel	que
ele	PROper	il
seit	VERcjg	être
escrite	VERppe	escrire
el	PRE.DETdef	en
ciel	NOMcom	ciel
e	CONcoo	et
neient	PROind	néant
unques	ADVgen	onques
ostee	VERppe	oster
del	PRE.DETdef	de
livre	NOMcom	livre
de	PRE	de
vie	NOMcom	vie
.	PONfrt	.

Li	DETdef	le
fundemenz	NOMcom	fondement
de	PRE	de
l'	DETdef	le
ovre	NOMcom	oeuvre
seit	VERcjg	être
jetez	VERppe	jeter
sur	PRE	sur
pierre	NOMcom	piere
,	PONfbl	,
çoe	PROdem	ce
est	VERcjg	estre
sur	PRE	sur
Crist	NOMpro	Christ
,	PONfbl	,
e	CONcoo	et
tuit	DETind	tot
li	DETdef	le
engienz	NOMcom	engin
seit	VERcjg	être
apuiez	VERppe	appuyer
de	PRE	de
quatre	DETcar	quatre
fermes	ADJqua	ferme
columnes	NOMcom	colomme
.	PONfrt	.

La	DETdef	le
premeraine	ADJord	premerain
columne	NOMcom	colomme
esdreizt	VERcjg	esdre
l'	DETdef	le
autorité	NOMcom	autorité
des	PRE.DETdef	de.le
prophetes	NOMcom	prophète
,	PONfbl	,
la	ADVgen	là
secundeestabliset	VERcjg	secontablir
la	DETdef	le
dignité	NOMcom	dignité
des	PRE.DETdef	de.le
apostles	NOMcom	apôtre
,	PONfbl	,
la	DETdef	le
tierce	ADJord	tiers
esforzt	NOMcom	efforz
li	DETdef	le
sens	NOMcom	sens
des	PRE.DETdef	de.le
espositurs	NOMcom	espositur
,	PONfbl	,
la	DETdef	le
quarte	PROord	quart
ficht	VERcjg	ficher
la	DETdef	le
profitable	ADJqua	profitable
utilité	NOMcom	hutilité
des	PRE.DETdef	de.le
maistres	NOMcom	maître
.	PONfrt	.

Li	PROper	il
desciplesdit	VERcjg	déciplier
a	PRE	a
sun	DETpos	son
maistre:Maistre	NOMcom	maître
,	PONfbl	,
jeo	PROper	je
te	PROper	tu
pri	VERcjg	priier
que	CONsub	que
tu	PROper	tu
me	PROper	je
dies	VERcjg	dire
ceo	PROdem	ce
que	PROrel	que
jeo	PROper	je
te	PROper	tu
demanderai	VERcjg	demander
a	PRE	a
l'	DETdef	le
honur	NOMcom	honneur
de	PRE	de
Deu	NOMpro	Dieu
e	CONcoo	et
al	PRE.DETdef	à.le
pruffit	NOMcom	profit
de	PRE	de
sainte	ADJqua	saint
iglise	NOMcom	église
.	PONfrt	.

Li	DETdef	le
maistresrespunt:Jeol	NOMcom	maistresponté
ferai	VERcjg	faire
volentiers	ADVgen	volentiers
sulunc	PRE	selon
mun	DETpos	mon
sens	NOMcom	sens
,	PONfbl	,
e	CONcoo	et
cist	DETdem	cest
travailz	NOMcom	travail
ne	ADVneg	ne
me	PROper	je
greverat	VERcjg	grever
pas	ADVneg	pas
.	PONfrt	.

Li	DETdef	le
disciplesdit:Dit	NOMcom	disciplit
est	VERcjg	estre
que	CONsub	que
nuls	DETind	nul
huem	NOMcom	homme
ne	ADVneg	ne
set	VERcjg	savoir
que	PROrel	que
est	VERcjg	estre
Deus	NOMpro	Dieu
,	PONfbl	,
e	CONcoo	et
mult	ADVgen	moult
griefchose	ADJqua	griffos
estäurer	NOMcom	esturier
ceo	PROdem	ce
que	PROrel	que
huem	NOMcom	homme
ne	ADVneg	ne
set	VERcjg	savoir
.	PONfrt	.

Pernum	VERcjg	prendre
de	PRE	de
Deu	NOMpro	Dieu
cumencement	NOMcom	commencement
,	PONfbl	,
primes	ADVgen	prim
me	PROper	je
di	VERcjg	dire
que	CONsub	que
Deus	NOMpro	Dieu
est	VERcjg	estre
.	PONfrt	.

M.	ADVgen	mentil
:Tant	ADVgen	tant
cume	CONsub	comme
huem	NOMcom	homme
en	PROadv	en
puet	VERcjg	pöoir
saveir	VERinf	savoir
te	PROper	tu
dirrai	VERcjg	dire
.	PONfrt	.

Deus	NOMpro	Dieu
est	VERcjg	estre
substance	NOMcom	subtance
espirital	ADJqua	espirital
de	PRE	de
si	ADVgen	si
grant	ADJqua	grant
suatume	NOMcom	söatume
que	CONsub	que
li	DETdef	le
angle	NOMcom	ange
ki	PROrel	qui
venquent	VERcjg	vaincre
le	DETdef	le
soleil	NOMcom	soleil
de	PRE	de
lur	DETpos	leur
bealté	NOMcom	beauté
,	PONfbl	,
ne	ADVneg	ne
se	PROper	soi
puent	VERcjg	pouvoir
sauler	VERinf	sauler
de	PRE	de
lui	PROper	il
esgarder	VERinf	esgarder
.	PONfrt	.

D.	PRE	de
:Cument	ADVint	comment
est	VERcjg	estre
entendue	VERppe	entendre
trinité	NOMcom	trinité
uns	DETndf	un
Deus	NOMpro	Dieu
?	PONfrt	?

M.	ADVgen	mentil
:Esguarde	VERcjg	égarder
le	DETdef	le
soleil	NOMcom	soleil
,	PONfbl	,
el	PRE.PROrel	en.lequel
quel	PROrel	quel
sunt	VERcjg	être
treis	DETcar	trois
choses	NOMcom	chose
:	PONfbl	:
fume	VERcjg	fumer
substance	NOMcom	subtance
,	PONfbl	,
resplendur	NOMcom	resplendeur
e	CONcoo	et
chalur	NOMcom	chaleur
ki	PROrel	qui
sunt	VERcjg	être
nun	NOMcom	nom
desevrables	ADJqua	dessevrable
que	CONsub	que
,	PONfbl	,
se	CONsub	se
tu	PROper	tu
vuels	VERcjg	voloir
oster	VERinf	oster
la	DETdef	le
resplendur	NOMcom	resplendeur
,	PONfbl	,
tu	PROper	tu
toldras	VERcjg	tolir
le	DETdef	le
soleil	NOMcom	soleil
al	PRE.DETdef	à.le
munde	NOMcom	monde
.	PONfrt	.

E	CONcoo	et
derechief	ADVgen	derrechef
,	PONfbl	,
se	CONsub	se
tu	PROper	tu
essaies	VERcjg	essaiier
à	PRE	à
oster	VERinf	oster
la	DETdef	le
chalur	NOMcom	chaleur
,	PONfbl	,
tu	PROper	tu
n'	ADVneg	ne
avras	VERcjg	avoir
pas	ADVneg	pas
le	DETdef	le
soleil	NOMcom	soleil
.	PONfrt	.

En	PRE	en
la	DETdef	le
fume	NOMcom	fume
substance	NOMcom	subtance
entent	VERcjg	entendre
la	DETdef	le
perre	NOMcom	père
,	PONfbl	,
en	PRE	en
la	DETdef	le
resplendur	NOMcom	resplendeur
lu	DETdef	le
filz	NOMcom	fil
,	PONfbl	,
en	PRE	en
la	DETdef	le
chalur	NOMcom	chaleur
le	DETdef	le
seint	ADJqua	saint
espirt	NOMcom	espir
.	PONfrt	.

D.	PRE	de
:Pur	PRE	cour
quei	PROint	quoi
est	VERcjg	estre
apelé	VERppe	apeler
perre	NOMcom	père
?	PONfrt	?

M.	PONpga	mil
:Kar	CONcoo	car
il	PROper	il
est	VERcjg	estre
fontaine	NOMcom	fontaine
e	CONcoo	et
orine	NOMcom	orine
de	PRE	de
qui	PROrel	que
issent	VERcjg	issir
totes	DETind	tot
choses	NOMcom	chose
,	PONfbl	,
la	DETdef	le
sapience	NOMcom	sapience
delquel	PRE.PROrel	de.lequel
est	VERcjg	estre
apelé	VERppe	apeler
filz	NOMcom	fil
.	PONfrt	.

D.	PRE	de
:Pur	PRE	cour
quei	PROint	quoi
est	VERcjg	estre
apelé	VERppe	apeler
filz	NOMcom	fil
?	PONfrt	?

M.	PONpga	mil
:Ker	CONcoo	car
si	ADVgen	si
cume	CONsub	comme
la	DETdef	le
resplendur	NOMcom	resplendeur
ist	VERcjg	issir
del	PRE.DETdef	de
soleil	NOMcom	soleil
,	PONfbl	,
ensement	ADVgen	ensement
ist	VERcjg	issir
le	DETdef	le
filz	NOMcom	fil
del	PRE.DETdef	de
perre	NOMcom	père
.	PONfrt	.

L'	DETdef	le
amur	NOMcom	amour
d'	PRE	de
ambure	NOMcom	ambure
est	VERcjg	estre
aselee	VERppe	asseler
sainz	ADJqua	saint
espirit	NOMcom	esprit
.	PONfrt	.

D.	PRE	de
:Pur	PRE	cour
quei	PROint	quoi
est	VERcjg	estre
seinz	ADJqua	saint
espiriz	NOMcom	esprit
?	PONfrt	?

M.	PONfbl	meil
:Kar	CONcoo	car
il	PROper	il
est	VERcjg	estre
durablement	ADVgen	durablement
d'	PRE	de
amburre	NOMcom	amborre
.	PONfrt	.

Icele	DETdem	cil
force	NOMcom	force
de	PRE	de
divinitet	NOMcom	divinité
ki	PROrel	qui
criet	VERcjg	crier
totes	DETind	tot
choses	NOMcom	chose
,	PONfbl	,
est	VERcjg	estre
apelee	VERppe	appeler
perre	NOMcom	père
;	PONfbl	;
icele	PROdem	cil
ki	PROrel	qui
contient	VERcjg	contenir
tutes	DETind	tous
choses	NOMcom	chose
que	PROrel	que
elesne	NOMcom	élaisne
seientdeslïedes	VERppe	scenté
,	PONfbl	,
est	VERcjg	estre
apeleie	VERppe	appeler
filz	NOMcom	fil
.	PONfrt	.

Cele	PROdem	cel
qui	PROrel	que
vivifiet	VERcjg	vivier
e	CONcoo	et
aornet	VERcjg	aorner
tutes	DETind	tous
choses	NOMcom	chose
est	VERcjg	estre
apeleie	VERppe	appeler
sainz	ADJqua	saint
espiriz	NOMcom	esprit
.	PONfrt	.

Del	PRE.DETdef	de
perre	NOMcom	père
sunt	VERcjg	être
tutes	DETind	tous
choses	NOMcom	chose
,	PONfbl	,
par	PRE	par
le	DETdef	le
filz	NOMcom	fil
tutes	DETind	tous
choses	NOMcom	chose
,	PONfbl	,
el	PRE.DETdef	en
saint	ADJqua	saint
espirit	NOMcom	esprit
tutes	DETind	tous
choses	NOMcom	chose
.	PONfrt	.

Li	DETdef	le
perre	NOMcom	père
est	VERcjg	estre
entenduz	VERppe	entendre
memoire	NOMcom	mémoire
,	PONfbl	,
li	DETdef	le
filz	NOMcom	fil
entendance	NOMcom	entendance
,	PONfbl	,
li	DETdef	le
sainz	ADJqua	saint
espiriz	NOMcom	esprit
volentez	NOMcom	volenté
.	PONfrt	.

D.	PRE	de
:Cum	ADVint	comme
la	DETdef	le
tute	DETind	tout
puissance	NOMcom	poissance
e	CONcoo	et
la	DETdef	le
suvraine	ADJqua	souverain
pietez	NOMcom	piété
seit	VERcjg	être
dicte	VERppe	dire
del	PRE.DETdef	de
perre	NOMcom	père
,	PONfbl	,
pur	PRE	pour
quei	PROint	quoi
n'	ADVneg	ne
est	VERcjg	estre
apeleie	VERppe	appeler
merre	NOMcom	mère
?	PONfrt	?

M.	ETR	mil
:Ker	CONcoo	car
engendrement	ADVgen	engendrement
ist	VERcjg	issir
principalement	ADVgen	principalement
del	PRE.DETdef	de
perre	NOMcom	père
.	PONfrt	.

D.	PRE	de
:Cum	ADVint	comme
verité	NOMcom	verité
est	VERcjg	estre
sapience	NOMcom	sapience
est	VERcjg	estre
dite	VERppe	dire
del	PRE.DETdef	de
filz	NOMcom	fil
,	PONfbl	,
pur	PRE	pour
quei	PROint	quoi
n'	ADVneg	ne
est	VERcjg	estre
apelie	VERppe	apelir
fille	NOMcom	fille
?	PONfrt	?

M.	PROcar	mille
:Pur	PRE	cour
ceo	PROdem	ce
que	CONsub	que
filz	NOMcom	fil
est	VERcjg	estre
plus	ADVgen	plus
semblables	ADJqua	semblable
al	PRE.DETdef	à.le
perre	NOMcom	père
que	CONsub	que
la	DETdef	le
fille	NOMcom	fille
.	PONfrt	.

D.	PRE.DETdef	de.le
:Sainz	ADJqua	saint
espiriz	NOMcom	esprit
,	PONfbl	,
pur	PRE	pour
quei	PROint	quoi
n'	ADVneg	ne
est	VERcjg	estre
diz	VERppe	dire
filz	NOMcom	fil
d'	PRE	de
ambesdous	PROcar	ambedeux
que	CONsub	que
li	DETdef	le
