Signor	NOMcom	seigneur
,	PONfbl	,
oiiés	VERcjg	ouïr
,	PONfbl	,
tot	DETind	tot
li	DETdef	le
amant	VERppa	amant
,	PONfbl	,
cil	PROdem	cel
qui	PROrel	que
d'	PRE	de
amors	NOMcom	amor
se	PROper	soi
vont	VERcjg	aler
penant	VERppa	peiner
,	PONfbl	,
li	DETdef	le
chevalier	NOMcom	chevalier
et	CONcoo	et
les	DETdef	le
puceles	NOMcom	pucele
,	PONfbl	,
li	DETdef	le
damoisel	NOMcom	damoiseau
,	PONfbl	,
les	DETdef	le
damoiseles	NOMcom	damoiselle
!	PONfrt	!

Se	CONsub	se
mon	DETpos	mon
conte	NOMcom	conte
volés	VERcjg	vouloir
entendre	VERinf	entendre
,	PONfbl	,
molt	ADVgen	moult
i	PROadv	i
porrés	VERcjg	pöoir
d'	PRE	de
amors	NOMcom	amor
aprendre	VERinf	aprendre
:	PONfbl	:
çou	PROdem	ce
est	VERcjg	estre
du	PRE.DETdef	de.le
roi	NOMcom	roi
Flore	NOMpro	Flore
l'	DETdef	le
enfant	NOMcom	enfant
et	CONcoo	et
de	PRE	de
Blanceflor	NOMpro	Blanceflor
le	DETdef	le
vaillant	ADJqua	vaillant
,	PONfbl	,
de	PRE	de
cui	PROrel	que
Berte	NOMpro	Bertille
as	PRE.DETdef	à.le
grans	ADJqua	grand
piés	NOMcom	pied
fu	VERcjg	estre
nee	VERppe	naistre
;	PONfbl	;
puis	ADVgen	puis
fu	VERcjg	estre
en	PRE	en
France	NOMpro	France
mariee	VERppe	marïer
.	PONfrt	.

Berte	NOMpro	Bertille
fu	VERcjg	estre
mere	NOMcom	mere
Charlemaine	NOMpro	Charlemagne
,	PONfbl	,
qui	PROrel	que
puis	ADVgen	puis
tint	VERcjg	tenir
France	NOMpro	France
et	CONcoo	et
tot	DETind	tot
le	DETdef	le
Maine	NOMpro	Maine
.	PONfrt	.

Flores	NOMpro	Flores
ses	DETpos	son
amis	NOMcom	ami
que	PROrel	que
vos	PROper	vos
di	VERcjg	dire
uns	DETndf	un
rois	NOMcom	roi
paiiens	ADJqua	païen
l'	PROper	il
engenuï	VERcjg	engenoir
,	PONfbl	,
et	CONcoo	et
Blanceflor	NOMpro	Blanceflor
que	PROrel	que
tant	ADVgen	tant
ama	VERcjg	amer
uns	DETndf	un
cuens	NOMcom	conte
crestiiens	ADJqua	chrétien
l'	PROper	il
engenra	VERcjg	engendrer
.	PONfrt	.

Flores	NOMpro	Flores
fut	VERcjg	être
tos	ADVgen	tout
nés	VERppe	naître
de	PRE	de
paiiens	NOMcom	païen
et	CONcoo	et
Blanceflors	NOMpro	Blanceflor
de	PRE	de
crestiiens	NOMcom	chrétien
.	PONfrt	.

Bautisier	VERinf	bautiser
se	PROper	soi
fist	VERcjg	faire
en	PRE	en
sa	DETpos	son
vie	NOMcom	vie
Flores	NOMpro	Flores
por	PRE	por
Blanceflor	NOMpro	Blanceflor
s'	DETpos	son
amie	NOMcom	ami
,	PONfbl	,
car	CONcoo	car
en	PRE	en
un	DETndf	un
biau	ADJqua	bel
jor	NOMcom	jor
furent	VERcjg	estre
né	VERppe	naître
et	CONcoo	et
en	PRE	en
une	DETndf	un
nuit	NOMcom	nuit
engenré	VERppe	engendrer
.	PONfrt	.

Puis	ADVgen	puis
que	CONsub	que
Flores	NOMpro	Flores
fu	VERcjg	estre
crestiiens	ADJqua	chrétien
,	PONfbl	,
li	PROper	il
avint	VERcjg	advenir
grans	ADJqua	grand
honors	NOMcom	honneur
et	CONcoo	et
biens	NOMcom	bien
,	PONfbl	,
car	CONcoo	car
puis	ADVgen	puis
fu	VERcjg	estre
rois	NOMcom	roi
de	PRE	de
Hongerie	NOMpro	Hongerie
et	CONcoo	et
de	PRE	de
