Afin	ADVgen	afin
que	CONsub	que
les	DETdef	le
grans	ADJqua	grand
mervelles	NOMcom	merveille
et	CONcoo	et
li	DETdef	le
biau	ADJqua	bel
fait	NOMcom	fait
d'	PRE	de
armes	NOMcom	arme
,	PONfbl	,
liquel	PROrel	lequel
sont	VERcjg	estre
avenu	VERppe	avenir
par	PRE	par
les	DETdef	le
gerres	NOMcom	guerre
de	PRE	de
France	NOMpro	France
et	CONcoo	et
d'	PRE	de
Engleterre	NOMpro	Angleterre
et	CONcoo	et
des	PRE.DETdef	de.le
roiaulmes	NOMcom	royaume
voisins	NOMcom	voisin
,	PONfbl	,
conjoins	NOMcom	conjoin
et	CONcoo	et
ahers	NOMcom	aher
avoecques	PRE	avuec
euls	PROper	eux
,	PONfbl	,
dont	PROrel	dont
li	DETdef	le
roi	NOMcom	roi
sont	VERcjg	estre
cause	NOMcom	cause
,	PONfbl	,
soient	VERcjg	estre
notablement	ADVgen	noutablement
registré	VERppe	registrer
,	PONfbl	,
et	CONcoo	et
ou	PRE.DETdef	en.le
temps	NOMcom	temps
present	ADJqua	présent
et	CONcoo	et
a	PRE	a
venir	VERinf	venir
,	PONfbl	,
veu	VERppe	voir
et	CONcoo	et
congneu	VERppe	connaître
,	PONfbl	,
je	PROper	je
Jehans	NOMpro	Jean
Froissars	NOMpro	Froissart
,	PONfbl	,
tresoriers	NOMcom	trésorier
et	CONcoo	et
chanonnes	NOMcom	chanoine
de	PRE	de
Chimay	NOMpro	Chimay
,	PONfbl	,
me	PROper	je
voel	VERcjg	voloir
ensonniier	NOMcom	ensonnier
de	PRE	de
metre	VERinf	metre
en	PRE	en
prose	NOMcom	prose
et	CONcoo	et
ordonner	VERinf	ordonner
selonch	PRE	selon
la	DETdef	le
vraie	ADJqua	vrai
information	NOMcom	information
que	PROrel	que
je	PROper	je
ay	VERcjg	avoir
eu	VERppe	avoir
des	PRE.DETdef	de.le
vaillans	ADJqua	vaillant
honmes	NOMcom	homme
,	PONfbl	,
chevaliers	NOMcom	chevalier
et	CONcoo	et
esquiers	NOMcom	écuyer
qui	PROrel	que
les	DETdef	le
dittes	VERppe	dire
armes	NOMcom	arme
ont	VERcjg	avoir
aidiet	VERppe	aider
a	PRE	a
acroistre	VERinf	acroistre
;	PONfbl	;
et	CONcoo	et
ausi	ADVgen	aussi
par	PRE	par
auquns	DETind	aucun
rois	NOMcom	roi
d'	PRE	de
armes	NOMcom	arme
nonmés	VERcjg	nommer
hiraus	NOMcom	hiraut
et	CONcoo	et
lors	DETpos	leur
marescaus	NOMcom	maréchal
,	PONfbl	,
qui	PROrel	que
par	PRE	par
droit	NOMcom	droit
sont	VERcjg	estre
et	CONcoo	et
doient	VERcjg	devoir
estre	VERinf	estre
juste	PRE	jouxte
inquisiteur	NOMcom	inquisteur
et	CONcoo	et
raporteur	NOMcom	rapporteur
de	PRE	de
tels	DETind	tel
besongnes	NOMcom	besogne
.	PONfrt	.

Et	CONcoo	et
devés	VERcjg	devoir
savoir	VERinf	savoir
que	CONsub	que
je	PROper	je
ai	VERcjg	avoir
ce	DETdem	ce
livre	NOMcom	livre
cronisiet	VERppe	cronisser
et	CONcoo	et
historiiet	VERppe	historier
,	PONfbl	,
ditté	NOMcom	dité
et	CONcoo	et
ordonné	VERppe	ordonner
apriés	ADVgen	après
et	CONcoo	et
sus	PRE	sus
la	DETdef	le
relation	NOMcom	rélation
faite	VERppe	faire
des	PRE.DETdef	de.le
desus	ADVgen	desus
dis	VERppe	dire
,	PONfbl	,
a	PRE	a
mon	DETpos	mon
loial	ADJqua	loyal
pooir	NOMcom	pouvoir
,	PONfbl	,
sans	PRE	sans
faire	VERinf	faire
fait	VERppe	faire
ne	CONcoo	ne
porter	VERinf	porter
partie	NOMcom	partie
ne	CONcoo	ne
coulourer	VERinf	colorer
non	ADVneg	non
plus	ADVgen	plus
l'	DETdef	le
un	PROind	un
que	CONsub	que
l'	DETdef	le
autre	PROind	autre
.	PONfrt	.

Et	CONcoo	et
seront	VERcjg	estre
dedens	PRE	dedans
ce	DETdem	ce
livre	NOMcom	livre
li	DETdef	le
bien	ADVgen	bien
fait	VERppe	faire
ramenteu	NOMcom	ramenteu
de	PRE	de
ceuls	PROdem	celui
qui	PROrel	que
l'	PROper	il
ont	VERcjg	avoir
deservi	VERppe	desservir
,	PONfbl	,
de	PRE	de
quel	DETrel	quel
pais	NOMcom	paix
et	CONcoo	et
nation	NOMcom	nation
que	PROrel	que
il	PROper	il
soient	VERcjg	estre
.	PONfrt	.

Car	CONcoo	car
esploit	NOMcom	esploit
d'	PRE	de
armes	NOMcom	arme
sont	VERcjg	estre
si	ADVgen	si
chierement	ADVgen	chièrement
comparet	VERppe	comparer
et	CONcoo	et
achatet	VERppe	acheter
,	PONfbl	,
ce	PROdem	ce
sevent	VERcjg	savoir
chil	PROdem	cil
qui	PROrel	que
i	PROadv	i
travellent	VERcjg	travaillier
,	PONfbl	,
que	CONsub	que
nullement	ADVgen	nullement
on	PROind	on
n'	ADVneg	ne
en	PROadv	en
doit	VERcjg	devoir
mentir	VERinf	mentir
.	PONfrt	.

Or	ADVgen	or
ai	VERcjg	avoir
je	PROper	je
proposé	VERppe	proposer
ensi	ADVgen	ainsi
que	CONsub	que
je	PROper	je
voel	VERcjg	voloir
parler	VERinf	parler
et	CONcoo	et
tretier	VERinf	trettier
de	PRE	de
grans	ADJqua	grand
mervelles	NOMcom	merveille
:	PONfbl	:
voirement	ADVgen	voirement
se	PROper	soi
poront	VERcjg	pouvoir
et	CONcoo	et
deveront	VERcjg	devoir
ceuls	PROdem	celui
et	CONcoo	et
celles	PROdem	celui
qui	PROrel	que
che	DETdem	ce
livre	NOMcom	livre
liront	VERcjg	lire
,	PONfbl	,
oront	VERcjg	ouïr
et	CONcoo	et
veront	VERcjg	voir
esmervillier	VERinf	esmervillier
des	PRE.DETdef	de.le
grandes	ADJqua	grand
aventures	NOMcom	aventure
que	PROrel	que
il	PROper	il
i	PROadv	i
trouveront	VERcjg	trouver
.	PONfrt	.

Car	CONcoo	car
je	PROper	je
suppose	VERcjg	supposer
que	CONsub	que
,	PONfbl	,
depuis	PRE	depuis
la	DETdef	le
creation	NOMcom	création
dou	PRE.DETdef	de.le
monde	NOMcom	monde
et	CONcoo	et
que	CONsub	que
premierement	ADVgen	premièrement
on	PROind	on
se	PROper	soi
conmença	VERcjg	commencer
a	PRE	a
armer	VERinf	armer
,	PONfbl	,
on	PROind	on
ne	ADVneg	ne
trouveroit	VERcjg	trouver
en	PRE	en
nulle	DETind	nul
histore	NOMcom	histore
tant	ADVgen	tant
de	PRE	de
mervelles	NOMcom	merveille
ne	CONcoo	ne
de	PRE	de
grans	ADJqua	grand
fais	NOMcom	faix
d'	PRE	de
armes	NOMcom	arme
conme	CONsub	comme
il	PROper	il
sont	VERcjg	estre
avenu	VERppe	avenir
ens	ADVgen	ens
ou	PRE.DETdef	en.le
temps	NOMcom	temps
et	CONcoo	et
termes	NOMcom	terme
des	PRE.DETdef	de.le
guerres	NOMcom	guerre
desus	ADVgen	desus
dittes	VERppe	dire
,	PONfbl	,
tant	ADVgen	tant
par	PRE	par
terre	NOMcom	terre
que	CONsub	que
par	PRE	par
mer	NOMcom	mer
,	PONfbl	,
et	CONcoo	et
desquelles	PRE.PROrel	de.lequel
je	PROper	je
vous	PROper	vous
ferai	VERcjg	faire
recort	NOMcom	recort
et	CONcoo	et
mention	NOMcom	mention
.	PONfrt	.

Mais	CONcoo	mais
avant	PRE	avant
que	CONsub	que
j'	PROper	je
en	PRE	en
trette	NOMcom	trete
ne	ADVneg	ne
conmence	VERcjg	commencer
a	PRE	a
parler	VERinf	parler
,	PONfbl	,
je	PROper	je
voel	VERcjg	voloir
un	DETndf	un
petit	PROind	petit
tenir	VERinf	tenir
et	CONcoo	et
demener	VERinf	demener
le	DETdef	le
pourpos	NOMcom	pourpos
et	CONcoo	et
estat	NOMcom	état
de	PRE	de
Proece	NOMpro	Prouesse
pour	PRE	pour
exempliier	VERinf	exemplier
les	DETdef	le
bons	NOMcom	bon
et	CONcoo	et
ceuls	PROdem	celui
qui	PROrel	que
desirent	VERcjg	désirer
a	PRE	a
estre	VERinf	estre
de	PRE	de
son	DETpos	son
aliance	NOMcom	alliance
.	PONfrt	.

Premierement	ADVgen	premièrement
,	PONfbl	,
tout	DETind	tout
honme	NOMcom	homme
qui	PROrel	que
demande	VERcjg	demander
a	PRE	a
estre	VERinf	estre
preus	ADJqua	pro
doit	VERcjg	devoir
comsiderer	VERinf	comsidérer
l'	DETdef	le
estat	NOMcom	état
et	CONcoo	et
regarder	VERinf	regarder
a	PRE	a
la	DETdef	le
vie	NOMcom	vie
des	PRE.DETdef	de.le
anciiens	ADJqua	ancien
et	CONcoo	et
de	PRE	de
ceuls	PROdem	celui
qui	PROrel	que
on	PROind	on
vesqu	VERcjg	vivre
conment	ADVsub	comment
ne	CONcoo	ne
par	PRE	par
quel	DETrel	quel
incidense	NOMcom	incidense
il	PROper	il
i	PROadv	i
sont	VERcjg	estre
venu	VERppe	venir
,	PONfbl	,
desquels	PRE.PROrel	de.lequel
espoir	ADVgen	espoir
il	PROper	il
portent	VERcjg	porter
les	DETdef	le
armes	NOMcom	arme
et	CONcoo	et
tiennent	VERcjg	tenir
les	DETdef	le
hiretages	NOMcom	héritage
.	PONfrt	.

Le	DETdef	le
nom	NOMcom	nom
de	PRE	de
preu	ADVgen	pro
renlumine	VERcjg	renluminer
les	DETdef	le
coers	NOMcom	coeur
precheus	ADJqua	prechos
et	CONcoo	et
resplendist	VERcjg	réplandre
en	PRE	en
ces	DETdem	ce
salles	NOMcom	salle
et	CONcoo	et
en	PRE	en
ces	DETdem	ce
palais	NOMcom	palais
:	PONfbl	:
on	PROind	on
l'	PROper	il
ensengne	VERcjg	enseigner
au	PRE.DETdef	a
doi	NOMcom	doi
,	PONfbl	,
on	PROind	on
recorde	VERcjg	recorder
son	DETpos	son
bien	NOMcom	bien
fait	VERppe	faire
,	PONfbl	,
on	PROind	on
li	PROper	il
donne	VERcjg	donner
glore	NOMcom	glore
en	PRE	en
ce	DETdem	ce
monde	NOMcom	monde
.	PONfrt	.

Proeche	NOMcom	prouesse
ne	ADVneg	ne
voelt	VERcjg	vouloir
point	ADVneg	point
sejourner	VERinf	séjourner
a	PRE	a
l'	DETdef	le
ostel	NOMcom	ostel
,	PONfbl	,
mais	CONcoo	mais
errer	VERinf	errer
et	CONcoo	et
travillier	VERinf	travaillier
et	CONcoo	et
querre	VERinf	querre
partout	ADVgen	partout
ens	ADVgen	ens
es	PRE.DETdef	en.le
pais	NOMcom	paix
prochains	ADJqua	prochain
et	CONcoo	et
lontains	ADJqua	lontain
les	DETdef	le
armes	NOMcom	arme
et	CONcoo	et
les	DETdef	le
aventures	NOMcom	aventure
.	PONfrt	.

Or	ADVgen	or
sont	VERcjg	estre
auqun	DETind	aucun
baceler	NOMcom	bacelier
qui	PROrel	que
s'	PROper	soi
escusent	VERcjg	escuser
et	CONcoo	et
dient	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Je	PROper	je
travilleroie	VERcjg	travaillier
volentiers	ADVgen	volentiers
et	CONcoo	et
querroie	VERcjg	querre
les	DETdef	le
armes	NOMcom	arme
,	PONfbl	,
mais	ADVgen	mais
que	CONsub	que
je	PROper	je
euisse	VERcjg	avoir
bien	ADVgen	bien
de	PRE	de
qoi	PROrel	quoi
.	PONfbl	.
”	PONpdr	”
