GALERAN	NOMpro	Galeran
DE	PRE	de
BRETAGNE	NOMpro	Bretage
Haulx	ADJqua	haut
homs	NOMcom	homme
courtois	ADJqua	courtois
,	PONfbl	,
vaillans	ADJqua	vaillant
et	CONcoo	et
sages	ADJqua	sage
,	PONfbl	,
D'	PRE	de
assés	ADVgen	assez
pou	ADVgen	peu
d'	PRE	de
ans	NOMcom	an
est	VERcjg	estre
ses	DETpos	son
aages	NOMcom	âge
;	PONfbl	;
S'	ADVgen	si
est	VERcjg	estre
bons	ADJqua	bon
chevaliers	NOMcom	chevalier
et	CONcoo	et
hardiz	VERppe	hardi
,	PONfbl	,
Loyaux	NOMpro	Loyau
,	PONfbl	,
sans	PRE	sans
ire	NOMcom	ire
et	CONcoo	et
sans	PRE	sans
mesdiz	NOMcom	mesdit
.	PONfrt	.

Ces	DETdem	ce
graces	NOMcom	grâce
ot	VERcjg	avoir
li	DETdef	le
chevaliers	NOMcom	chevalier
.	PONfrt	.

Assez	ADVgen	assez
en	PROadv	en
eüt	VERcjg	avoir
sa	DETpos	son
moulliers	NOMcom	moulier
Se	CONsub	se
ne	ADVneg	ne
fust	VERcjg	estre
mautalent	NOMcom	maltalent
et	CONcoo	et
ire	NOMcom	ire
,	PONfbl	,
Qui	PROrel	que
souvent	ADVgen	souvent
fait	VERcjg	faire
a	PRE	a
plusieurs	PROind	plusieurs
dire	VERinf	dire
Mainte	DETind	maint
folie	NOMcom	folie
et	CONcoo	et
maint	DETind	maint
oultrage	NOMcom	outrage
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
estoit	VERcjg	estre
de	PRE	de
hault	ADJqua	haut
parage	NOMcom	parage
,	PONfbl	,
De	PRE	de
roys	NOMcom	roi
et	CONcoo	et
de	PRE	de
contes	NOMcom	conte
extroicte	ADJqua	extroit
;	PONfbl	;
Si	ADVgen	si
l'	PROper	il
ot	VERcjg	avoir
nature	NOMcom	nature
a	PRE	a
droit	ADJqua	droit
pourtroicte	NOMcom	pourtroicte
,	PONfbl	,
Car	CONcoo	car
elle	PROper	elle
estoit	VERcjg	estre
,	PONfbl	,
en	PRE	en
tous	DETind	tous
avis	NOMcom	avis
,	PONfbl	,
Bien	ADVgen	bien
faicte	VERppe	faire
de	PRE	de
corps	NOMcom	corps
et	CONcoo	et
de	PRE	de
vis	NOMcom	vis
,	PONfbl	,
