Plaist	VERcjg	plaire
vus	PROper	vous
oir	NOMcom	hoir
de	PRE	de
granz	ADJqua	grant
batailles	NOMcom	bataille
e	CONcoo	et
de	PRE	de
forz	ADJqua	fort
esturs	NOMcom	estour
,	PONfbl	,
De	PRE	de
Deramed	NOMpro	Deramet
,	PONfbl	,
uns	DETndf	un
reis	NOMcom	roi
sarazinurs	NOMcom	sarrasinour
,	PONfbl	,
Cun	CONsub	comme
il	PROper	il
prist	VERcjg	prendre
guere	NOMcom	guerre
vers	PRE	vers
Lowis	NOMpro	Louis
nostre	DETpos	notre
empereur	NOMcom	empereur
?	PONfrt	?

Mais	CONcoo	mais
dan	NOMcom	dan
Willame	NOMpro	Guillaume
la	PROper	il
prist	VERcjg	prendre
vers	PRE	vers
lui	PROper	il
forçur	NOMcom	fourçur
,	PONfbl	,
Tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
ocist	VERcjg	ocire
el	PRE.DETdef	en
Larchamp	NOMpro	Larchamp
par	PRE	par
grant	ADJqua	grant
onur	NOMcom	honneur
.	PONfrt	.

Mais	CONcoo	mais
sovent	ADVgen	souvent
se	PROper	soi
cunbati	VERcjg	combattre
a	PRE	a
la	DETdef	le
gent	NOMcom	gent
paienur	ADJqua	païenor
,	PONfbl	,
Si	ADVgen	si
perdi	VERcjg	perdre
de	PRE	de
ses	DETpos	son
homes	NOMcom	homme
les	DETdef	le
meillurs	ADJqua	meilleur
,	PONfbl	,
E	CONcoo	et
sun	DETpos	son
nevou	NOMcom	neveu
,	PONfbl	,
dan	NOMcom	dan
Vivien	NOMpro	Vivien
le	DETdef	le
preuz	ADJqua	pro
,	PONfbl	,
Pur	PRE	pour
qui	PROrel	que
il	PROper	il
out	VERcjg	avoir
tut	DETind	tout
tens	NOMcom	temps
al	PRE.DETdef	à.le
quor	NOMcom	coeur
grant	ADJqua	grant
dolur	NOMcom	douleur
.	PONfrt	.

Lunesdi	ADVgen	lunesdi
al	PRE.DETdef	à.le
vespre	NOMcom	vêpre
.	PONfrt	.

Oimas	NOMpro	Humas
comence	VERcjg	commencer
la	DETdef	le
chançun	NOMcom	chanson
d'	PRE	de
Willame	NOMpro	Guillaume
.	PONfrt	.

Reis	NOMcom	roi
Deramed	NOMpro	Deramet
il	PROper	il
est	VERcjg	estre
issu	VERppe	issir
de	PRE	de
Cordres	NOMpro	Cordres
,	PONfbl	,
En	PRE	en
halte	ADJqua	haut
mer	NOMcom	mer
en	PROadv	en
ad	VERcjg	avoir
