Mout	ADVgen	mout
ai	VERcjg	avoir
ce	PROdem	ce
pencé	VERppe	pencer
et	CONcoo	et
sovent	ADVgen	souvent
se	CONsub	se
l'	DETdef	le
abondance	NOMcom	abondance
de	PRE	de
parler	VERinf	parler
et	CONcoo	et
le	DETdef	le
soverain	ADJqua	souverain
estude	NOMcom	étude
d'	PRE	de
eloquence	NOMcom	eslochance
ait	VERcjg	avoir
plus	ADVgen	plus
fait	VERppe	faire
de	PRE	de
mal	NOMcom	mal
ou	CONcoo	o
de	PRE	de
bien	NOMcom	bien
as	PRE.DETdef	à.le
homes	NOMcom	homme
et	CONcoo	et
as	PRE.DETdef	à.le
cytez	NOMcom	cité
dou	PRE.DETdef	de.le
monde	NOMcom	monde
.	PONfrt	.

Quar	CONcoo	car
quant	CONsub	cant
je	PROper	je
regars	VERcjg	regarder
les	DETdef	le
amermances	NOMcom	amermance
de	PRE	de
nostre	DETpos	notre
chose	NOMcom	chose
publique	ADJqua	publique
ou	CONcoo	o
comune	ADJqua	comun
et	CONcoo	et
je	PROper	je
aüne	VERcjg	äuner
en	PRE	en
mon	DETpos	mon
corage	NOMcom	corage
et	CONcoo	et
assemble	VERcjg	assembler
les	DETdef	le
ancienes	ADJqua	anciien
chaitivetez	NOMcom	chaitiveté
et	CONcoo	et
les	DETdef	le
degastemens	NOMcom	dégâtement
des	PRE.DETdef	de.le
tres	ADVgen	très
grans	ADJqua	grand
cytez	NOMcom	cité
,	PONfbl	,
je	PROper	je
voi	VERcjg	vëoir
que	CONsub	que
la	DETdef	le
greignor	ADJqua	graignor
partie	NOMcom	partie
des	PRE.DETdef	de.le
domages	NOMcom	damage
est	VERcjg	estre
avenue	VERppe	avenir
par	PRE	par
les	DETdef	le
homes	NOMcom	homme
trop	ADVgen	trop
enparlez	VERppe	emparler
.	PONfrt	.

Mais	CONcoo	mais
quant	CONsub	cant
je	PROper	je
bien	ADVgen	bien
recors	VERcjg	recorre
par	PRE	par
les	DETdef	le
amonicions	NOMcom	admonicïon
des	PRE.DETdef	de.le
letres	NOMcom	lettre
et	CONcoo	et
par	PRE	par
les	DETdef	le
ancienes	ADJqua	anciien
ystoires	NOMcom	istoire
les	DETdef	le
choses	NOMcom	chose
qui	PROrel	que
par	PRE	par
ancieneté	NOMcom	ancieneté
sont	VERcjg	estre
esloignees	VERppe	esloignier
de	PRE	de
nostre	DETpos	notre
memoire	NOMcom	mémoire
et	CONcoo	et
ostees	VERppe	oster
,	PONfbl	,
je	PROper	je
truis	VERcjg	trover
et	CONcoo	et
entens	VERcjg	entendre
que	CONsub	que
mointes	DETind	moint
cytez	NOMcom	cité
sont	VERcjg	estre
ordenees	VERppe	ordonner
et	CONcoo	et
establies	VERppe	établir
et	CONcoo	et
plusors	DETind	plusor
batailles	NOMcom	bataille
sont	VERcjg	estre
restaintes	VERppe	resteindre
et	CONcoo	et
rapaisees	VERppe	rapaiser
et	CONcoo	et
tres	ADVgen	très
fermes	ADJqua	ferme
compaignies	NOMcom	compagnie
et	CONcoo	et
tres	ADVgen	très
saintes	ADJqua	saint
amistances	NOMcom	amitance
sont	VERcjg	estre
aquises	VERppe	acquérir
plus	ADVgen	plus
legierement	ADVgen	légèrement
et	CONcoo	et
faites	VERcjg	faire
que	CONsub	que
par	PRE	par
la	DETdef	le
raison	NOMcom	raison
dou	PRE.DETdef	de.le
corage	NOMcom	corage
que	CONsub	que
par	PRE	par
la	DETdef	le
faconde	NOMcom	faconde
de	PRE	de
parler	VERinf	parler
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
longuement	ADVgen	longuement
pensant	VERppa	penser
,	PONfbl	,
la	DETdef	le
vive	ADJqua	vif
raison	NOMcom	raison
me	PROper	je
mena	VERcjg	mener
meismement	ADVgen	mêmement
a	PRE	a
ceste	DETdem	cest
sentence	NOMcom	sentence
que	CONsub	que
je	PROper	je
cuidasse	VERcjg	cuidier
certainement	ADVgen	certainement
que	CONsub	que
le	DETdef	le
sens	NOMcom	sens
sans	PRE	sans
eloquence	NOMcom	eslochance
peut	VERcjg	pouvoir
profiter	VERinf	profiter
aucune	DETind	aucun
chose	NOMcom	chose
as	PRE.DETdef	à.le
contez	NOMcom	conté
,	PONfbl	,
mais	CONcoo	mais
eloquence	NOMcom	eslochance
ou	PRE.DETdef	en.le
faconde	NOMcom	faconde
de	PRE	de
parler	VERinf	parler
sans	PRE	sans
le	DETdef	le
sens	NOMcom	sens
mointes	DETind	moint
fois	NOMcom	fois
peut	VERcjg	pouvoir
trop	ADVgen	trop
nuire	VERinf	nuire
,	PONfbl	,
mais	CONcoo	mais
profiter	VERinf	profiter
jamais	ADVgen	jamais
.	PONfrt	.

Por	PRE	por
la	DETrel	lequel
quel	DETrel	quel
chose	NOMcom	chose
je	PROper	je
di	VERcjg	dire
que	CONsub	que
,	PONfbl	,
se	CONsub	se
aucun	PROind	aucun
delaisse	VERcjg	délaisser
et	CONcoo	et
met	VERcjg	metre
arrieres	ADVgen	ariere
les	DETdef	le
tres	ADVgen	très
honestes	ADJqua	honnête
et	CONcoo	et
droituriers	ADJqua	droiturier
estudes	NOMcom	étude
de	PRE	de
raison	NOMcom	raison
et	CONcoo	et
d'	PRE	de
ofice	NOMcom	ofice
et	CONcoo	et
consume	VERcjg	consumer
toute	DETind	tout
sa	DETpos	son
paine	NOMcom	peine
et	CONcoo	et
s'	DETpos	son
ayde	NOMcom	aide
au	PRE.DETdef	a
hantement	NOMcom	hantement
de	PRE	de
dire	VERinf	dire
et	CONcoo	et
de	PRE	de
parler	VERinf	parler
,	PONfbl	,
cestui	PROdem	cest
se	PROper	soi
norrit	VERcjg	nourrir
et	CONcoo	et
se	PROper	soi
fait	VERcjg	faire
neent	ADVgen	néant
profitable	ADJqua	profitable
a	PRE	a
soi	PROper	soi
et	CONcoo	et
domageus	ADJqua	domajos
cyteyen	NOMcom	cité
a	PRE	a
son	DETpos	son
paÿs	NOMcom	paix
.	PONfrt	.

Mais	CONcoo	mais
qui	PROrel	que
s'	PROper	soi
arme	VERcjg	armer
et	CONcoo	et
se	PROper	soi
garnist	VERcjg	garnir
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
d'	PRE	de
eloquence	NOMcom	eslochance
qu'	CONsub	que
il	PROper	il
puisse	VERcjg	pöoir
combatre	VERinf	combattre
por	PRE	por
les	DETdef	le
profis	NOMcom	profit
de	PRE	de
son	DETpos	son
paÿs	NOMcom	paix
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
contre	PRE	contre
aus	PROper	il
combatre	VERinf	combattre
,	PONfbl	,
itel	DETind	itel
home	NOMcom	ome
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
est	VERcjg	estre
avis	NOMcom	avis
,	PONfbl	,
se	PROper	soi
fait	VERcjg	faire
et	CONcoo	et
s'	PROper	soi
atorne	VERcjg	atorner
amiable	ADJqua	amiable
cyteyen	NOMcom	cité
et	CONcoo	et
tres	ADVgen	très
profitable	ADJqua	profitable
as	PRE.DETdef	à.le
siens	PROpos	sien
et	CONcoo	et
a	PRE	a
comunes	ADJqua	comun
raisons	NOMcom	raison
et	CONcoo	et
publiques	ADJqua	publique
de	PRE	de
son	DETpos	son
paÿs	NOMcom	paix
.	PONfrt	.

Et	CONcoo	et
se	CONsub	se
nos	PROper	nos
volons	VERcjg	vouloir
bien	ADVgen	bien
regarder	VERinf	regarder
le	DETdef	le
comencement	NOMcom	commencement
de	PRE	de
ceste	DETdem	cest
chose	NOMcom	chose
qui	PROrel	que
est	VERcjg	estre
apelee	VERppe	appeler
eloquence	NOMcom	eslochance
,	PONfbl	,
s'	CONsub	se
ele	PROper	il
est	VERcjg	estre
venue	VERppe	venir
de	PRE	de
nature	NOMcom	nature
,	PONfbl	,
d'	PRE	de
art	NOMcom	art
ou	CONcoo	o
de	PRE	de
estude	NOMcom	étude
ou	CONcoo	o
d'	PRE	de
aucun	DETind	aucun
hantement	NOMcom	hantement
ou	CONcoo	o
de	PRE	de
science	NOMcom	science
,	PONfbl	,
nos	PROper	nos
troverons	VERcjg	trover
que	CONsub	que
ele	PROper	il
a	VERcjg	avoir
eu	VERppe	avoir
comencement	NOMcom	commencement
et	CONcoo	et
naissance	NOMcom	naissance
de	PRE	de
tres	ADVgen	très
honestes	ADJqua	honnête
causes	NOMcom	cause
et	CONcoo	et
tres	ADVgen	très
bones	ADJqua	bon
raisons	NOMcom	raison
.	PONfrt	.

Quar	CONcoo	car
il	PROimp	il
fu	VERcjg	estre
jadis	ADVgen	jadis
un	DETndf	un
tens	NOMcom	temps
que	CONsub	que
les	DETdef	le
homes	NOMcom	homme
aloient	VERcjg	aler
vagant	VERppa	vagoir
comunaument	ADVgen	communaument
as	PRE.DETdef	à.le
chans	NOMcom	champ
en	PRE	en
maniere	NOMcom	manière
de	PRE	de
bestes	NOMcom	beste
et	CONcoo	et
multeplioient	VERcjg	multeplier
lor	DETpos	lor
vie	NOMcom	vie
par	PRE	par
vivre	VERinf	vivre
bestial	NOMcom	bestial
,	PONfbl	,
qu'	CONsub	que
ausi	ADVgen	aussi
come	CONsub	come
bestes	NOMcom	beste
sauvages	ADJqua	sauvage
desmesureement	ADVgen	démesurément
et	CONcoo	et
par	PRE	par
fierté	NOMcom	fierté
vivoient	VERcjg	vivre
et	CONcoo	et
nule	DETind	nul
riens	NOMcom	rien
n'	ADVneg	ne
amenistroient	VERcjg	amenir
par	PRE	par
raison	NOMcom	raison
de	PRE	de
corage	NOMcom	corage
,	PONfbl	,
mais	CONcoo	mais
toutes	DETind	tous
choses	NOMcom	chose
faisoient	VERcjg	faire
par	PRE	par
force	NOMcom	force
de	PRE	de
cors	NOMcom	corps
.	PONfrt	.

Encore	ADVgen	encore
la	DETdef	le
raison	NOMcom	raison
de	PRE	de
la	DETdef	le
devine	ADJqua	divin
religion	NOMcom	religion
et	CONcoo	et
de	PRE	de
l'	DETdef	le
umain	ADJqua	humain
office	NOMcom	office
n'	ADVneg	ne
estoit	VERcjg	estre
pas	ADVneg	pas
coneue	VERppe	connaître
ne	CONcoo	ne
cultivee	VERppe	cultiver
.	PONfrt	.

Nul	PROind	nul
ne	ADVneg	ne
savoit	VERcjg	savoir
encores	ADVgen	encore
quel	DETrel	quel
chose	NOMcom	chose
fucent	VERcjg	fucier
noces	NOMcom	noce
ne	CONcoo	ne
leaus	ADJqua	lëal
espousailles	NOMcom	esposaille
.	PONfrt	.

Nulz	DETind	nul
hom	NOMcom	homme
n'	ADVneg	ne
avoit	VERcjg	avoir
encores	ADVgen	encore
veu	VERppe	voir
ne	CONcoo	ne
coneu	VERppe	connaître
certains	DETind	certain
filz	NOMcom	fil
ou	CONcoo	o
enfans	NOMcom	enfant
,	PONfbl	,
ne	CONcoo	ne
quel	DETint	quel
chose	NOMcom	chose
fust	VERcjg	estre
droit	NOMcom	droit
ne	CONcoo	ne
leauté	NOMcom	lëauté
ne	CONcoo	ne
igalité	NOMcom	igalité
ou	CONcoo	o
droiture	NOMcom	droiture
ne	CONcoo	ne
quel	DETrel	quel
profit	NOMcom	profit
tenissent	VERcjg	tenir
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
,	PONfbl	,
par	PRE	par
tel	DETind	tel
errour	NOMcom	erreur
et	CONcoo	et
par	PRE	par
tel	DETind	tel
ignorance	NOMcom	ignorance
,	PONfbl	,
la	DETdef	le
seignorel	ADJqua	seignorel
covoitise	NOMcom	convoitise
de	PRE	de
l'	DETdef	le
umain	ADJqua	humain
corage	NOMcom	corage
estoit	VERcjg	estre
aveugle	ADJqua	aveugle
et	CONcoo	et
foleante	ADJqua	folëant
a	PRE	a
emplir	VERinf	emplir
soi	PROper	soi
et	CONcoo	et
complir	VERinf	complir
usoit	VERcjg	user
malement	ADVgen	malement
et	CONcoo	et
s'	PROper	soi
aydoit	VERcjg	aider
des	PRE.DETdef	de.le
forces	NOMcom	force
dou	PRE.DETdef	de.le
cors	NOMcom	corps
ausi	ADVgen	aussi
come	CONsub	come
de	PRE	de
tres	ADVgen	très
domageus	ADJqua	domajos
menistres	NOMcom	ministre
.	PONfrt	.

En	PRE	en
icel	DETdem	cil
tens	NOMcom	temps
,	PONfbl	,
un	DETndf	un
vaillant	ADJqua	vaillant
home	NOMcom	ome
et	CONcoo	et
sage	ADJqua	sage
s'	PROper	soi
apensa	VERcjg	apenser
et	CONcoo	et
aparsut	VERcjg	aparser
quel	DETrel	quel
