Comment	ADVsub	comment
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
,	PONfbl	,
par	PRE	par
sa	DETpos	son
grant	ADJqua	grant
vaillance	NOMcom	vaillance
,	PONfbl	,
fut	VERcjg	être
constitué	VERppe	constituer
lieutenant	NOMcom	lieutenant
de	PRE	de
Crathor	NOMpro	Crathor
et	CONcoo	et
de	PRE	de
tout	DETind	tout
le	DETdef	le
pays	NOMcom	pays
environ	ADVgen	environ
par	PRE	par
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
,	PONfbl	,
lieutenant	NOMcom	lieutenant
general	ADJqua	général
.	PONfrt	.

Aprez	PRE	après
ce	DETdem	ce
jugement	NOMcom	jugement
fait	VERcjg	faire
,	PONfbl	,
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
se	PROper	soi
tira	VERcjg	tirer
à	PRE	à
son	DETpos	son
logeiz	NOMcom	logel
et	CONcoo	et
manda	VERcjg	mander
querir	VERinf	quérir
tous	DETind	tous
les	DETdef	le
seigneurs	NOMcom	seigneur
,	PONfbl	,
cappitaines	NOMcom	chapitaine
et	CONcoo	et
chiefz	NOMcom	chef
de	PRE	de
guerre	NOMcom	guerre
,	PONfbl	,
qui	PROrel	que
estoient	VERcjg	être
venus	VERppe	venir
en	PRE	en
sa	DETpos	son
compaignie	NOMcom	compagnie
,	PONfbl	,
et	CONcoo	et
tint	VERcjg	tenir
conseil	NOMcom	conseil
pour	PRE	pour
savoir	VERinf	savoir
qu'	PROrel	que
il	PROimp	il
estoit	VERcjg	estre
à	PRE	à
faire	VERinf	faire
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
par	PRE	par
tous	DETind	tous
les	DETdef	le
seigneurs	NOMcom	seigneur
,	PONfbl	,
chiefz	NOMcom	chef
de	PRE	de
guerre	NOMcom	guerre
et	CONcoo	et
autres	DETind	autre
cappitaines	NOMcom	chapitaine
,	PONfbl	,
fut	VERcjg	être
advisé	VERppe	aviser
qu'	CONsub	que
il	PROper	il
envoiroit	VERcjg	envoyer
querir	VERinf	quérir
le	DETdef	le
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
,	PONfbl	,
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
et	CONcoo	et
le	DETdef	le
sire	NOMcom	seignor
de	PRE	de
Rocqueton	NOMpro	Rocqueton
et	CONcoo	et
le	DETdef	le
Mareschal	NOMpro	Mareschal
,	PONfbl	,
qui	PROrel	que
savoient	VERcjg	savoir
les	DETdef	le
necessitez	NOMcom	necessité
de	PRE	de
la	DETdef	le
ville	NOMcom	ville
et	CONcoo	et
les	DETdef	le
affaires	NOMcom	affaire
du	PRE.DETdef	de.le
payz	NOMcom	pay
plus	ADVgen	plus
que	CONsub	que
nulz	DETind	nul
aultres	PROind	autre
.	PONfrt	.

Et	CONcoo	et
leur	PROper	leur
demanda	VERcjg	demander
et	CONcoo	et
dist	VERcjg	dire
ainsi	ADVgen	ainsi
:	PONfbl	:
“	PONpga	“
Seigneurs	NOMcom	seigneur
,	PONfbl	,
vous	PROper	vous
avez	VERcjg	avoir
bien	ADVgen	bien
et	CONcoo	et
grandement	ADVgen	grandement
servi	VERcjg	servir
le	DETdef	le
Roy	NOMcom	roi
,	PONfbl	,
et	CONcoo	et
scay	VERcjg	savoir
bien	ADVgen	bien
que	CONsub	que
le	DETdef	le
Roy	NOMcom	roi
a	VERcjg	avoir
bonne	ADJqua	bon
et	CONcoo	et
grande	ADJqua	grand
fiance	NOMcom	fïance
en	PRE	en
vous	PROper	vous
;	PONfbl	;
et	CONcoo	et
aussi	ADVgen	aussi
la	PROper	il
y	PROadv	y
doit	VERcjg	devoir
”	PONpdr	”
“	PONpga	“
il	PROper	il
bien	ADVgen	bien
avoir	VERinf	avoir
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
,	PONfbl	,
nous	PROper	nous
,	PONfbl	,
qui	PROrel	que
sommes	VERcjg	être
venus	VERppe	venir
icy	ADVgen	ici
à	PRE	à
vostre	DETpos	vostre
aide	NOMcom	aide
et	CONcoo	et
secours	NOMcom	secours
par	PRE	par
le	DETdef	le
commandement	NOMcom	commandement
du	PRE.DETdef	de.le
Roy	NOMcom	roi
,	PONfbl	,
voulons	VERcjg	vouloir
avoir	VERinf	avoir
vostre	DETpos	vostre
conseil	NOMcom	conseil
.	PONfrt	.

Dictes	VERcjg	dire
,	PONfbl	,
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
,	PONfbl	,
